"nodes","max.update","n.seeds","threshold","z","time","n.run","cascade.fraction"
10000,100,1,0.02,1.9998,20,1,0.7657
10000,100,1,0.02,3.9994,9,1,1
10000,100,1,0.02,5.9988,9,1,1
10000,100,1,0.02,7.998,8,1,1
10000,100,1,0.02,9.997,7,1,1
10000,100,1,0.02,11.9958,7,1,1
10000,100,1,0.02,13.9944,7,1,1
10000,100,1,0.02,15.9928,7,1,1
10000,100,1,0.02,17.991,6,1,1
10000,100,1,0.02,19.989,7,1,1
10000,100,1,0.02,21.9868,6,1,1
10000,100,1,0.02,23.9844,7,1,1
10000,100,1,0.02,25.9818,7,1,1
10000,100,1,0.02,27.979,6,1,1
10000,100,1,0.02,29.976,6,1,1
10000,100,1,0.04,1.9998,18,1,0.071
10000,100,1,0.04,1.9998,13,2,0.0075
10000,100,1,0.04,1.9998,12,3,0.0229
10000,100,1,0.04,1.9998,19,4,0.0516
10000,100,1,0.04,1.9998,5,5,7e-04
10000,100,1,0.04,1.9998,5,6,5e-04
10000,100,1,0.04,1.9998,21,7,0.041
10000,100,1,0.04,1.9998,14,8,0.0585
10000,100,1,0.04,1.9998,15,9,0.0694
10000,100,1,0.04,1.9998,14,10,0.0313
10000,100,1,0.04,3.9994,12,1,1
10000,100,1,0.04,5.9988,9,1,1
10000,100,1,0.04,7.998,9,1,1
10000,100,1,0.04,9.997,8,1,1
10000,100,1,0.04,11.9958,8,1,1
10000,100,1,0.04,13.9944,9,1,1
10000,100,1,0.04,15.9928,8,1,1
10000,100,1,0.04,17.991,8,1,1
10000,100,1,0.04,19.989,8,1,1
10000,100,1,0.04,21.9868,7,1,1
10000,100,1,0.04,23.9844,8,1,1
10000,100,1,0.04,25.9818,7,1,1
10000,100,1,0.04,27.979,8,1,1
10000,100,1,0.04,29.976,8,1,1
10000,100,1,0.06,1.9998,11,1,0.0288
10000,100,1,0.06,1.9998,12,2,0.0085
10000,100,1,0.06,1.9998,17,3,0.0285
10000,100,1,0.06,1.9998,18,4,0.0219
10000,100,1,0.06,1.9998,8,5,0.0078
10000,100,1,0.06,1.9998,4,6,5e-04
10000,100,1,0.06,1.9998,10,7,0.0079
10000,100,1,0.06,1.9998,15,8,0.0293
10000,100,1,0.06,1.9998,9,9,0.0105
10000,100,1,0.06,1.9998,9,10,0.0069
10000,100,1,0.06,3.9994,12,1,1
10000,100,1,0.06,5.9988,10,1,1
10000,100,1,0.06,7.998,9,1,1
10000,100,1,0.06,9.997,9,1,1
10000,100,1,0.06,11.9958,9,1,1
10000,100,1,0.06,13.9944,9,1,1
10000,100,1,0.06,15.9928,9,1,1
10000,100,1,0.06,17.991,8,1,1
10000,100,1,0.06,19.989,9,1,1
10000,100,1,0.06,21.9868,8,1,1
10000,100,1,0.06,23.9844,10,1,1
10000,100,1,0.06,25.9818,12,1,1
10000,100,1,0.06,27.979,11,1,1
10000,100,1,0.06,29.976,2,1,1e-04
10000,100,1,0.06,29.976,2,2,1e-04
10000,100,1,0.06,29.976,6,3,0.001
10000,100,1,0.06,29.976,14,4,1
10000,100,1,0.08,1.9998,6,1,0.001
10000,100,1,0.08,1.9998,5,2,9e-04
10000,100,1,0.08,1.9998,2,3,1e-04
10000,100,1,0.08,1.9998,12,4,0.006
10000,100,1,0.08,1.9998,3,5,2e-04
10000,100,1,0.08,1.9998,12,6,0.0137
10000,100,1,0.08,1.9998,9,7,0.0049
10000,100,1,0.08,1.9998,12,8,0.0178
10000,100,1,0.08,1.9998,10,9,0.0019
10000,100,1,0.08,1.9998,6,10,0.0025
10000,100,1,0.08,3.9994,13,1,1
10000,100,1,0.08,5.9988,10,1,1
10000,100,1,0.08,7.998,11,1,1
10000,100,1,0.08,9.997,10,1,1
10000,100,1,0.08,11.9958,10,1,1
10000,100,1,0.08,13.9944,10,1,1
10000,100,1,0.08,15.9928,11,1,1
10000,100,1,0.08,17.991,12,1,1
10000,100,1,0.08,19.989,13,1,1
10000,100,1,0.08,21.9868,10,1,0.0016
10000,100,1,0.08,21.9868,2,2,1e-04
10000,100,1,0.08,21.9868,2,3,1e-04
10000,100,1,0.08,21.9868,6,4,0.001
10000,100,1,0.08,21.9868,4,5,5e-04
10000,100,1,0.08,21.9868,5,6,5e-04
10000,100,1,0.08,21.9868,7,7,0.0029
10000,100,1,0.08,21.9868,5,8,8e-04
10000,100,1,0.08,21.9868,6,9,0.0017
10000,100,1,0.08,21.9868,4,10,3e-04
10000,100,1,0.08,23.9844,3,1,2e-04
10000,100,1,0.08,23.9844,3,2,2e-04
10000,100,1,0.08,23.9844,3,3,2e-04
10000,100,1,0.08,23.9844,3,4,3e-04
10000,100,1,0.08,23.9844,3,5,4e-04
10000,100,1,0.08,23.9844,2,6,1e-04
10000,100,1,0.08,23.9844,3,7,2e-04
10000,100,1,0.08,23.9844,2,8,1e-04
10000,100,1,0.08,23.9844,3,9,2e-04
10000,100,1,0.08,23.9844,2,10,1e-04
10000,100,1,0.08,25.9818,2,1,1e-04
10000,100,1,0.08,25.9818,2,2,1e-04
