"nodes","max.update","n.seeds","threshold","z","time","n.run","cascade.fraction"
10000,100,1,0.1,17,2,1,1e-04
10000,100,1,0.1,17,2,2,1e-04
10000,100,1,0.1,17,2,3,1e-04
10000,100,1,0.1,17,2,4,1e-04
10000,100,1,0.1,17,2,5,1e-04
10000,100,1,0.1,17,2,6,1e-04
10000,100,1,0.1,17,2,7,1e-04
10000,100,1,0.1,17,2,8,1e-04
10000,100,1,0.1,17,4,9,3e-04
10000,100,1,0.1,17,2,10,1e-04
10000,100,1,0.1,18,2,1,1e-04
10000,100,1,0.1,18,2,2,1e-04
10000,100,1,0.1,18,2,3,1e-04
10000,100,1,0.1,18,2,4,1e-04
10000,100,1,0.1,18,3,5,2e-04
10000,100,1,0.1,18,3,6,2e-04
10000,100,1,0.1,18,2,7,1e-04
10000,100,1,0.1,18,2,8,1e-04
10000,100,1,0.1,18,2,9,1e-04
10000,100,1,0.1,18,2,10,1e-04
10000,100,1,0.1,19,2,1,1e-04
10000,100,1,0.1,19,2,2,1e-04
10000,100,1,0.1,19,2,3,1e-04
10000,100,1,0.1,19,2,4,1e-04
10000,100,1,0.1,19,2,5,1e-04
10000,100,1,0.1,19,2,6,1e-04
10000,100,1,0.1,19,3,7,3e-04
10000,100,1,0.1,19,2,8,1e-04
10000,100,1,0.1,19,3,9,2e-04
10000,100,1,0.1,19,2,10,1e-04
10000,100,1,0.1,20,2,1,1e-04
10000,100,1,0.1,20,2,2,1e-04
10000,100,1,0.1,20,3,3,2e-04
10000,100,1,0.1,20,2,4,1e-04
10000,100,1,0.1,20,2,5,1e-04
10000,100,1,0.1,20,2,6,1e-04
10000,100,1,0.1,20,2,7,1e-04
10000,100,1,0.1,20,3,8,2e-04
10000,100,1,0.1,20,2,9,1e-04
10000,100,1,0.1,20,2,10,1e-04
10000,100,1,0.1,21,2,1,1e-04
10000,100,1,0.1,21,2,2,1e-04
10000,100,1,0.1,21,2,3,1e-04
10000,100,1,0.1,21,2,4,1e-04
10000,100,1,0.1,21,2,5,1e-04
10000,100,1,0.1,21,2,6,1e-04
10000,100,1,0.1,21,2,7,1e-04
10000,100,1,0.1,21,2,8,1e-04
10000,100,1,0.1,21,2,9,1e-04
10000,100,1,0.1,21,2,10,1e-04
10000,100,1,0.1,22,2,1,1e-04
10000,100,1,0.1,22,2,2,1e-04
10000,100,1,0.1,22,2,3,1e-04
10000,100,1,0.1,22,2,4,1e-04
10000,100,1,0.1,22,2,5,1e-04
10000,100,1,0.1,22,2,6,1e-04
10000,100,1,0.1,22,2,7,1e-04
10000,100,1,0.1,22,2,8,1e-04
10000,100,1,0.1,22,2,9,1e-04
10000,100,1,0.1,22,2,10,1e-04
10000,100,1,0.1,23,2,1,1e-04
10000,100,1,0.1,23,2,2,1e-04
10000,100,1,0.1,23,2,3,1e-04
10000,100,1,0.1,23,2,4,1e-04
10000,100,1,0.1,23,2,5,1e-04
10000,100,1,0.1,23,2,6,1e-04
10000,100,1,0.1,23,2,7,1e-04
10000,100,1,0.1,23,2,8,1e-04
10000,100,1,0.1,23,2,9,1e-04
10000,100,1,0.1,23,2,10,1e-04
10000,100,1,0.1,24,2,1,1e-04
10000,100,1,0.1,24,2,2,1e-04
10000,100,1,0.1,24,2,3,1e-04
10000,100,1,0.1,24,2,4,1e-04
10000,100,1,0.1,24,2,5,1e-04
10000,100,1,0.1,24,2,6,1e-04
10000,100,1,0.1,24,2,7,1e-04
10000,100,1,0.1,24,2,8,1e-04
10000,100,1,0.1,24,2,9,1e-04
10000,100,1,0.1,24,2,10,1e-04
10000,100,1,0.1,25,2,1,1e-04
10000,100,1,0.1,25,2,2,1e-04
10000,100,1,0.1,25,2,3,1e-04
10000,100,1,0.1,25,2,4,1e-04
10000,100,1,0.1,25,2,5,1e-04
10000,100,1,0.1,25,2,6,1e-04
10000,100,1,0.1,25,2,7,1e-04
10000,100,1,0.1,25,2,8,1e-04
10000,100,1,0.1,25,2,9,1e-04
10000,100,1,0.1,25,2,10,1e-04
10000,100,1,0.1,26,2,1,1e-04
10000,100,1,0.1,26,2,2,1e-04
10000,100,1,0.1,26,2,3,1e-04
10000,100,1,0.1,26,2,4,1e-04
10000,100,1,0.1,26,2,5,1e-04
10000,100,1,0.1,26,2,6,1e-04
10000,100,1,0.1,26,2,7,1e-04
10000,100,1,0.1,26,2,8,1e-04
10000,100,1,0.1,26,2,9,1e-04
10000,100,1,0.1,26,2,10,1e-04
10000,100,1,0.1,27,2,1,1e-04
10000,100,1,0.1,27,2,2,1e-04
10000,100,1,0.1,27,2,3,1e-04
10000,100,1,0.1,27,2,4,1e-04
10000,100,1,0.1,27,2,5,1e-04
10000,100,1,0.1,27,2,6,1e-04
10000,100,1,0.1,27,2,7,1e-04
10000,100,1,0.1,27,2,8,1e-04
10000,100,1,0.1,27,2,9,1e-04
10000,100,1,0.1,27,2,10,1e-04
10000,100,1,0.1,28,2,1,1e-04
10000,100,1,0.1,28,2,2,1e-04
10000,100,1,0.1,28,2,3,1e-04
10000,100,1,0.1,28,2,4,1e-04
10000,100,1,0.1,28,2,5,1e-04
10000,100,1,0.1,28,2,6,1e-04
10000,100,1,0.1,28,2,7,1e-04
10000,100,1,0.1,28,2,8,1e-04
10000,100,1,0.1,28,2,9,1e-04
10000,100,1,0.1,28,2,10,1e-04
10000,100,1,0.1,29,2,1,1e-04
10000,100,1,0.1,29,2,2,1e-04
10000,100,1,0.1,29,2,3,1e-04
10000,100,1,0.1,29,2,4,1e-04
10000,100,1,0.1,29,2,5,1e-04
10000,100,1,0.1,29,2,6,1e-04
10000,100,1,0.1,29,2,7,1e-04
10000,100,1,0.1,29,2,8,1e-04
10000,100,1,0.1,29,2,9,1e-04
10000,100,1,0.1,29,2,10,1e-04
10000,100,1,0.1,30,2,1,1e-04
10000,100,1,0.1,30,2,2,1e-04
10000,100,1,0.1,30,2,3,1e-04
10000,100,1,0.1,30,2,4,1e-04
10000,100,1,0.1,30,2,5,1e-04
10000,100,1,0.1,30,2,6,1e-04
10000,100,1,0.1,30,2,7,1e-04
10000,100,1,0.1,30,2,8,1e-04
10000,100,1,0.1,30,2,9,1e-04
10000,100,1,0.1,30,2,10,1e-04
10000,100,1,0.11,17,2,1,1e-04
10000,100,1,0.11,17,2,2,1e-04
10000,100,1,0.11,17,2,3,1e-04
10000,100,1,0.11,17,2,4,1e-04
10000,100,1,0.11,17,2,5,1e-04
10000,100,1,0.11,17,2,6,1e-04
10000,100,1,0.11,17,3,7,2e-04
10000,100,1,0.11,17,2,8,1e-04
10000,100,1,0.11,17,2,9,1e-04
