"nodes","max.update","n.seeds","threshold","z","time","n.run","cascade.fraction"
10000,100,1,0.18,0.5,3,10,2e-04
10000,100,1,0.18,0.5,3,10,2e-04
10000,100,1,0.18,0.5,2,10,1e-04
10000,100,1,0.18,0.5,2,10,1e-04
10000,100,1,0.18,0.5,2,10,1e-04
10000,100,1,0.18,0.5,3,10,3e-04
10000,100,1,0.18,0.5,2,10,1e-04
10000,100,1,0.18,0.5,2,10,1e-04
10000,100,1,0.18,0.5,5,10,7e-04
10000,100,1,0.18,0.5,3,10,2e-04
10000,100,1,0.18,0.6,2,10,1e-04
10000,100,1,0.18,0.6,2,10,1e-04
10000,100,1,0.18,0.6,4,10,3e-04
10000,100,1,0.18,0.6,2,10,1e-04
10000,100,1,0.18,0.6,3,10,2e-04
10000,100,1,0.18,0.6,2,10,1e-04
10000,100,1,0.18,0.6,2,10,1e-04
10000,100,1,0.18,0.6,2,10,1e-04
10000,100,1,0.18,0.6,2,10,1e-04
10000,100,1,0.18,0.6,4,10,4e-04
10000,100,1,0.18,0.7,2,10,1e-04
10000,100,1,0.18,0.7,5,10,4e-04
10000,100,1,0.18,0.7,3,10,2e-04
10000,100,1,0.18,0.7,4,10,3e-04
10000,100,1,0.18,0.7,5,10,5e-04
10000,100,1,0.18,0.7,12,10,0.0014
10000,100,1,0.18,0.7,4,10,4e-04
10000,100,1,0.18,0.7,2,10,1e-04
10000,100,1,0.18,0.7,2,10,1e-04
10000,100,1,0.18,0.7,5,10,7e-04
10000,100,1,0.18,0.8,4,10,3e-04
10000,100,1,0.18,0.8,2,10,1e-04
10000,100,1,0.18,0.8,3,10,2e-04
10000,100,1,0.18,0.8,2,10,1e-04
10000,100,1,0.18,0.8,4,10,4e-04
10000,100,1,0.18,0.8,2,10,1e-04
10000,100,1,0.18,0.8,2,10,1e-04
10000,100,1,0.18,0.8,2,10,1e-04
10000,100,1,0.18,0.8,2,10,1e-04
10000,100,1,0.18,0.8,6,10,5e-04
10000,100,1,0.18,0.9,2,10,1e-04
10000,100,1,0.18,0.9,3,10,2e-04
10000,100,1,0.18,0.9,5,10,6e-04
10000,100,1,0.18,0.9,2,10,1e-04
10000,100,1,0.18,0.9,7,10,0.0021
10000,100,1,0.18,0.9,2,10,1e-04
10000,100,1,0.18,0.9,2,10,1e-04
10000,100,1,0.18,0.9,11,10,0.0027
10000,100,1,0.18,0.9,3,10,2e-04
10000,100,1,0.18,0.9,2,10,1e-04
10000,100,1,0.18,1,11,10,0.0015
10000,100,1,0.18,1,3,10,2e-04
10000,100,1,0.18,1,2,10,1e-04
10000,100,1,0.18,1,3,10,2e-04
10000,100,1,0.18,1,2,10,1e-04
10000,100,1,0.18,1,13,10,0.0042
10000,100,1,0.18,1,5,10,4e-04
10000,100,1,0.18,1,7,10,7e-04
10000,100,1,0.18,1,4,10,3e-04
10000,100,1,0.18,1,2,10,1e-04
10000,100,1,0.18,1.1,3,10,2e-04
10000,100,1,0.18,1.1,2,10,1e-04
10000,100,1,0.18,1.1,11,10,0.0026
10000,100,1,0.18,1.1,3,10,2e-04
10000,100,1,0.18,1.1,12,10,0.0025
10000,100,1,0.18,1.1,2,10,1e-04
10000,100,1,0.18,1.1,6,10,0.001
10000,100,1,0.18,1.1,98,10,0.198
10000,100,1,0.18,1.1,4,10,3e-04
10000,100,1,0.18,1.1,2,10,1e-04
10000,100,1,0.18,1.2,4,10,4e-04
10000,100,1,0.18,1.2,2,10,1e-04
10000,100,1,0.18,1.2,2,10,1e-04
10000,100,1,0.18,1.2,5,10,5e-04
10000,100,1,0.18,1.2,2,10,1e-04
10000,100,1,0.18,1.2,5,10,4e-04
10000,100,1,0.18,1.2,2,10,1e-04
10000,100,1,0.18,1.2,5,10,5e-04
10000,100,1,0.18,1.2,3,10,2e-04
10000,100,1,0.18,1.2,2,10,1e-04
10000,100,1,0.18,1.3,2,10,1e-04
10000,100,1,0.18,1.3,2,10,1e-04
10000,100,1,0.18,1.3,54,10,0.4276
10000,100,1,0.18,1.3,2,10,1e-04
10000,100,1,0.18,1.3,79,10,0.383
10000,100,1,0.18,1.3,7,10,0.0011
10000,100,1,0.18,1.3,57,10,0.42
10000,100,1,0.18,1.3,8,10,0.0023
10000,100,1,0.18,1.3,49,10,0.4139
10000,100,1,0.18,1.3,65,10,0.3935
10000,100,1,0.18,1.4,42,10,0.5083
10000,100,1,0.18,1.4,3,10,2e-04
10000,100,1,0.18,1.4,58,10,0.5156
10000,100,1,0.18,1.4,41,10,0.5134
10000,100,1,0.18,1.4,2,10,1e-04
10000,100,1,0.18,1.4,63,10,0.4943
10000,100,1,0.18,1.4,3,10,2e-04
10000,100,1,0.18,1.4,41,10,0.507
10000,100,1,0.18,1.4,46,10,0.497
10000,100,1,0.18,1.4,2,10,1e-04
10000,100,1,0.18,1.5,42,10,0.5901
10000,100,1,0.18,1.5,35,10,0.5866
10000,100,1,0.18,1.5,2,10,1e-04
10000,100,1,0.18,1.5,46,10,0.556
10000,100,1,0.18,1.5,36,10,0.5847
10000,100,1,0.18,1.5,38,10,0.5777
10000,100,1,0.18,1.5,40,10,0.575
10000,100,1,0.18,1.5,2,10,1e-04
10000,100,1,0.18,1.5,40,10,0.5801
10000,100,1,0.18,1.5,37,10,0.6006
10000,100,1,0.18,1.6,5,10,4e-04
10000,100,1,0.18,1.6,2,10,1e-04
10000,100,1,0.18,1.6,3,10,2e-04
10000,100,1,0.18,1.6,33,10,0.6378
10000,100,1,0.18,1.6,2,10,1e-04
10000,100,1,0.18,1.6,3,10,2e-04
10000,100,1,0.18,1.6,35,10,0.6337
10000,100,1,0.18,1.6,42,10,0.6255
10000,100,1,0.18,1.6,3,10,3e-04
10000,100,1,0.18,1.6,6,10,7e-04
10000,100,1,0.18,1.7,2,10,1e-04
10000,100,1,0.18,1.7,2,10,1e-04
10000,100,1,0.18,1.7,34,10,0.6996
10000,100,1,0.18,1.7,36,10,0.6969
10000,100,1,0.18,1.7,38,10,0.6845
10000,100,1,0.18,1.7,2,10,1e-04
10000,100,1,0.18,1.7,40,10,0.6653
10000,100,1,0.18,1.7,41,10,0.6959
10000,100,1,0.18,1.7,2,10,1e-04
10000,100,1,0.18,1.7,30,10,0.6821
10000,100,1,0.18,1.8,2,10,1e-04
10000,100,1,0.18,1.8,29,10,0.7249
10000,100,1,0.18,1.8,32,10,0.7395
10000,100,1,0.18,1.8,30,10,0.7275
10000,100,1,0.18,1.8,35,10,0.7286
10000,100,1,0.18,1.8,32,10,0.7307
10000,100,1,0.18,1.8,29,10,0.721
10000,100,1,0.18,1.8,2,10,1e-04
10000,100,1,0.18,1.8,34,10,0.7411
10000,100,1,0.18,1.8,29,10,0.7445
10000,100,1,0.18,1.9,28,10,0.7619
10000,100,1,0.18,1.9,35,10,0.7439
10000,100,1,0.18,1.9,2,10,1e-04
10000,100,1,0.18,1.9,28,10,0.7786
10000,100,1,0.18,1.9,3,10,2e-04
10000,100,1,0.18,1.9,28,10,0.7691
10000,100,1,0.18,1.9,2,10,1e-04
10000,100,1,0.18,1.9,31,10,0.7693
10000,100,1,0.18,1.9,29,10,0.7689
10000,100,1,0.18,1.9,25,10,0.7717
10000,100,1,0.18,2,27,10,0.8077
10000,100,1,0.18,2,31,10,0.7883
10000,100,1,0.18,2,29,10,0.7933
10000,100,1,0.18,2,32,10,0.7816
10000,100,1,0.18,2,25,10,0.8043
10000,100,1,0.18,2,25,10,0.7994
10000,100,1,0.18,2,26,10,0.7876
10000,100,1,0.18,2,27,10,0.7952
10000,100,1,0.18,2,26,10,0.7874
10000,100,1,0.18,2,30,10,0.7917
10000,100,1,0.18,2.1,24,10,0.823
10000,100,1,0.18,2.1,27,10,0.8194
10000,100,1,0.18,2.1,23,10,0.819
10000,100,1,0.18,2.1,3,10,3e-04
10000,100,1,0.18,2.1,2,10,1e-04
10000,100,1,0.18,2.1,26,10,0.825
10000,100,1,0.18,2.1,24,10,0.8213
10000,100,1,0.18,2.1,3,10,2e-04
10000,100,1,0.18,2.1,26,10,0.8131
10000,100,1,0.18,2.1,26,10,0.8222
10000,100,1,0.18,2.2,26,10,0.8416
10000,100,1,0.18,2.2,23,10,0.848
10000,100,1,0.18,2.2,28,10,0.8477
10000,100,1,0.18,2.2,25,10,0.8407
10000,100,1,0.18,2.2,29,10,0.8357
10000,100,1,0.18,2.2,29,10,0.8458
10000,100,1,0.18,2.2,28,10,0.8355
10000,100,1,0.18,2.2,26,10,0.8502
10000,100,1,0.18,2.2,2,10,1e-04
10000,100,1,0.18,2.2,23,10,0.8392
10000,100,1,0.18,2.3,21,10,0.8649
10000,100,1,0.18,2.3,24,10,0.8582
10000,100,1,0.18,2.3,2,10,1e-04
10000,100,1,0.18,2.3,22,10,0.8721
10000,100,1,0.18,2.3,24,10,0.8622
10000,100,1,0.18,2.3,25,10,0.8667
10000,100,1,0.18,2.3,25,10,0.8648
10000,100,1,0.18,2.3,24,10,0.8706
10000,100,1,0.18,2.3,22,10,0.8617
10000,100,1,0.18,2.3,24,10,0.8572
10000,100,1,0.18,2.4,24,10,0.8842
10000,100,1,0.18,2.4,21,10,0.8892
10000,100,1,0.18,2.4,23,10,0.8819
10000,100,1,0.18,2.4,26,10,0.8773
10000,100,1,0.18,2.4,25,10,0.8725
10000,100,1,0.18,2.4,24,10,0.8789
10000,100,1,0.18,2.4,23,10,0.8779
10000,100,1,0.18,2.4,22,10,0.8876
10000,100,1,0.18,2.4,3,10,3e-04
10000,100,1,0.18,2.4,22,10,0.8846
10000,100,1,0.18,2.5,3,10,2e-04
10000,100,1,0.18,2.5,22,10,0.8887
10000,100,1,0.18,2.5,2,10,1e-04
10000,100,1,0.18,2.5,22,10,0.8927
10000,100,1,0.18,2.5,19,10,0.8908
10000,100,1,0.18,2.5,21,10,0.8911
10000,100,1,0.18,2.5,21,10,0.8951
10000,100,1,0.18,2.5,22,10,0.8933
10000,100,1,0.18,2.5,3,10,2e-04
10000,100,1,0.18,2.5,26,10,0.8893
10000,100,1,0.18,2.6,21,10,0.9027
10000,100,1,0.18,2.6,23,10,0.9078
10000,100,1,0.18,2.6,20,10,0.9027
10000,100,1,0.18,2.6,22,10,0.9121
10000,100,1,0.18,2.6,24,10,0.8978
10000,100,1,0.18,2.6,24,10,0.9039
10000,100,1,0.18,2.6,22,10,0.9088
10000,100,1,0.18,2.6,22,10,0.9089
10000,100,1,0.18,2.6,22,10,0.8988
10000,100,1,0.18,2.6,21,10,0.908
10000,100,1,0.18,2.7,23,10,0.9175
10000,100,1,0.18,2.7,21,10,0.9216
10000,100,1,0.18,2.7,21,10,0.9142
10000,100,1,0.18,2.7,2,10,1e-04
10000,100,1,0.18,2.7,21,10,0.918
10000,100,1,0.18,2.7,2,10,1e-04
10000,100,1,0.18,2.7,20,10,0.919
10000,100,1,0.18,2.7,23,10,0.9129
10000,100,1,0.18,2.7,19,10,0.9197
10000,100,1,0.18,2.7,23,10,0.9147
10000,100,1,0.18,2.8,20,10,0.9279
10000,100,1,0.18,2.8,22,10,0.9273
10000,100,1,0.18,2.8,21,10,0.9201
10000,100,1,0.18,2.8,22,10,0.9258
10000,100,1,0.18,2.8,23,10,0.9287
10000,100,1,0.18,2.8,21,10,0.9222
10000,100,1,0.18,2.8,23,10,0.9284
10000,100,1,0.18,2.8,3,10,2e-04
10000,100,1,0.18,2.8,21,10,0.9237
10000,100,1,0.18,2.8,23,10,0.9226
10000,100,1,0.18,2.9,20,10,0.9401
10000,100,1,0.18,2.9,19,10,0.9329
10000,100,1,0.18,2.9,20,10,0.9295
10000,100,1,0.18,2.9,19,10,0.9363
10000,100,1,0.18,2.9,2,10,1e-04
10000,100,1,0.18,2.9,21,10,0.9293
10000,100,1,0.18,2.9,19,10,0.93
10000,100,1,0.18,2.9,22,10,0.9339
10000,100,1,0.18,2.9,20,10,0.9323
10000,100,1,0.18,2.9,21,10,0.932
