
"nodes","max.update","n.seeds","threshold","z","time","n.run","cascade.fraction"
10000,100,1,0.1,1,28,1,0.2001
10000,100,1,0.1,2,15,1,0.801
10000,100,1,0.1,3,12,1,0.9416
10000,100,1,0.1,4,10,1,0.9806
10000,100,1,0.1,5,9,1,0.9927
10000,100,1,0.1,6,9,1,0.9975
10000,100,1,0.1,7,8,1,0.999
10000,100,1,0.1,8,8,1,0.9997
10000,100,1,0.1,9,7,1,0.9999
10000,100,1,0.1,10,7,1,0.9999
10000,100,1,0.1,11,7,1,1
10000,100,1,0.1,12,7,1,0.9999
10000,100,1,0.1,13,7,1,1
10000,100,1,0.1,14,7,1,1
10000,100,1,0.1,15,7,1,1
10000,100,1,0.12,1,38,1,0.1205
10000,100,1,0.12,2,19,1,0.7899
10000,100,1,0.12,3,15,1,0.9421
10000,100,1,0.12,4,11,1,0.98
10000,100,1,0.12,5,10,1,0.9929
10000,100,1,0.12,6,9,1,0.9983
10000,100,1,0.12,7,9,1,0.9993
10000,100,1,0.12,8,8,1,0.9999
10000,100,1,0.12,9,9,1,1
10000,100,1,0.12,10,8,1,1
10000,100,1,0.12,11,8,1,1
10000,100,1,0.12,12,8,1,1
10000,100,1,0.12,13,9,1,1
10000,100,1,0.12,14,8,1,1
10000,100,1,0.12,15,8,1,1
10000,100,1,0.14,1,10,1,0.01
10000,100,1,0.14,1,29,2,0.0285
10000,100,1,0.14,1,35,3,0.0512
10000,100,1,0.14,1,44,4,0.0533
10000,100,1,0.14,1,19,5,0.0219
10000,100,1,0.14,1,61,6,0.1184
10000,100,1,0.14,2,27,1,0.7901
10000,100,1,0.14,3,15,1,0.9431
10000,100,1,0.14,4,14,1,0.9791
10000,100,1,0.14,5,11,1,0.9928
10000,100,1,0.14,6,11,1,0.9976
10000,100,1,0.14,7,11,1,0.9992
10000,100,1,0.14,8,10,1,0.9994
10000,100,1,0.14,9,10,1,0.9998
10000,100,1,0.14,10,10,1,1
10000,100,1,0.14,11,11,1,1
10000,100,1,0.14,12,11,1,1
10000,100,1,0.14,13,12,1,1
10000,100,1,0.14,14,13,1,1
10000,100,1,0.14,15,13,1,1
10000,100,1,0.16,1,8,1,0.0019
10000,100,1,0.16,1,8,2,0.001
10000,100,1,0.16,1,50,3,0.0563
10000,100,1,0.16,1,59,4,0.0545
10000,100,1,0.16,1,28,5,0.0191
10000,100,1,0.16,1,15,6,0.0045
10000,100,1,0.16,1,4,7,4e-04
10000,100,1,0.16,1,13,8,0.0101
10000,100,1,0.16,1,36,9,0.0396
10000,100,1,0.16,1,18,10,0.0119
10000,100,1,0.16,2,23,1,0.8022
10000,100,1,0.16,3,17,1,0.9374
10000,100,1,0.16,4,14,1,0.9839
10000,100,1,0.16,5,13,1,0.9927
10000,100,1,0.16,6,13,1,0.997
10000,100,1,0.16,7,14,1,0.9992
