# source, target, length
1,285,31.1658
11,292,32.9638
26,228,195.893
58,388,107.372
67,17,25.7911
67,10,12.0151
67,287,63.8701
68,478,43.1326
69,78,48.999
70,110,141.4871
70,482,67.2413
71,468,121.675
72,86,57.0544
73,475,103.4541
74,485,17.571
74,347,56.5593
75,477,110.2696
75,69,29.5865
76,90,52.9868
76,102,198.1884
77,98,58.4077
77,88,103.368
78,93,55.5643
78,87,59.6378
79,73,46.3468
79,89,65.0305
80,91,41.423
80,18,41.423
81,71,66.0014
81,98,106.9915
82,89,23.107
82,75,28.6384
83,476,186.9529
83,482,87.861
84,86,36.2911
85,96,53.07
85,84,102.675
86,68,97.9064
86,107,54.0264
87,105,59.5708
88,112,78.6251
88,483,101.793
89,95,19.1694
90,120,99.949
90,19,59.0905
90,125,220.9957
91,138,172.3452
91,21,54.5549
92,85,21.376
92,84,103.1701
93,82,55.4006
93,105,58.164
94,27,36.6595
94,74,14.8851
95,106,35.9202
95,123,159.8403
96,83,41.1679
97,88,52.3006
97,111,107.0036
98,118,66.393
99,70,164.8242
100,87,55.7926
100,86,49.4344
101,7,35.6751
101,8,13.8188
102,81,63.9419
102,118,116.729
103,124,69.4573
103,92,54.019
103,96,31.1359
104,79,86.358
104,113,55.8879
105,115,50.754
107,100,46.1355
108,206,33.28
108,463,100.8328
108,213,112.1308
109,404,41.655
109,144,11.359
110,114,16.549
111,119,22.7179
111,104,22.718
112,128,54.0763
112,98,91.0564
113,106,29.3052
113,131,89.0594
114,103,62.1724
115,100,65.4899
115,129,67.1764
116,250,65.882
116,20,94.0204
117,251,83.1881
117,414,61.0749
118,146,85.0817
119,126,34.0769
120,140,109.523
121,112,51.3444
121,97,81.3352
122,130,49.2651
122,99,86.6895
123,132,36.7683
123,115,29.6295
124,147,74.3522
124,107,126.179
125,102,79.3666
125,146,125.8869
126,135,33.6492
126,143,94.0698
127,110,102.3703
127,122,109.7019
128,149,75.4941
128,118,71.6993
129,165,109.5749
129,134,43.4682
130,162,110.9519
132,142,42.2048
132,106,150.3704
133,124,61.9793
133,114,72.5222
134,107,91.8952
134,154,59.6821
135,121,96.2152
135,160,138.3669
136,128,49.1463
136,121,56.3569
137,94,49.6397
138,169,112.9183
138,130,45.7798
139,136,13.2467
139,151,84.7382
140,163,87.0693
141,72,237.9361
142,131,54.4348
142,155,63.2499
143,119,129.0083
144,255,78.73
145,481,88.3666
146,161,40.4481
147,141,40.2894
147,156,61.8444
148,143,34.959
148,131,75.2097
149,146,51.9386
149,152,16.4137
150,140,56.224
150,185,216.8906
151,135,53.1619
151,172,133.2222
152,164,36.6316
152,159,44.9792
153,127,101.2932
154,176,70.537
154,141,38.9556
155,178,84.7466
156,133,72.4469
156,183,155.3954
157,262,98.0036
158,145,11.8917
159,173,68.1538
159,139,63.6102
160,172,41.1439
160,148,30.8998
160,166,50.0311
161,185,82.8877
162,153,58.3199
162,169,43.9997
163,179,62.0329
163,23,43.6987
164,161,62.7319
165,155,74.9956
165,154,78.3135
166,175,39.6751
166,174,46.1265
166,142,93.148
167,144,34.2751
167,424,52.6154
167,157,37.7145
168,22,45.7402
168,177,48.9693
169,181,91.8744
170,265,102.1852
170,157,39.0787
171,117,33.9432
171,245,80.3624
172,195,102.5706
173,187,50.5646
173,164,67.2697
173,190,147.9232
174,186,50.6394
175,172,45.4449
176,200,91.7371
176,165,80.43
176,188,58.7552
177,217,166.0597
177,180,24.5846
178,174,22.87
178,184,38.689
179,189,55.7956
180,221,165.9459
180,24,53.939
181,168,53.5266
182,201,88.0387
182,175,24.1612
183,211,115.6548
183,153,104.5574
184,165,101.0483
185,234,173.2829
186,182,17.0463
187,191,74.4738
188,156,117.558
189,193,26.6681
189,150,147.4041
190,205,59.4194
190,195,34.3785
191,185,71.1364
191,208,81.6048
192,137,68.0254
192,434,117.8442
193,222,121.1905
194,186,67.8249
194,184,53.3771
194,199,44.222
195,198,30.0186
196,187,57.0082
196,205,94.5949
197,229,118.4077
197,183,98.9734
197,169,109.9207
198,201,34.0768
198,175,103.5895
199,220,73.6009
200,214,46.1276
200,184,142.9506
201,219,63.4315
202,158,45.3107
202,378,92.5644
203,232,111.6467
203,188,111.3962
204,216,43.1326
204,199,46.222
205,223,61.5065
205,219,96.1186
206,253,50.442
206,248,108.31
207,201,39.2869
208,237,105.2198
209,39,126.2494
209,197,91.9753
209,181,114.6564
210,208,54.6761
210,196,58.6985
211,203,43.8757
211,229,99.157
212,207,43.5349
212,194,78.769
213,248,31.1658
213,413,74.9416
213,247,85.5474
214,204,72.09
214,225,69.7912
215,193,142.5991
215,226,47.7618
216,235,69.5774
216,230,78.9026
217,38,97.792
217,209,49.4233
218,210,50.0309
219,224,39.8509
220,241,90.6265
220,212,54.6149
221,217,18.4384
222,28,68.1732
222,32,83.1004
222,238,96.3841
223,218,36.9821
224,207,61.9793
224,231,39.7311
225,240,55.525
225,232,56.6294
226,46,69.1162
226,234,75.9267
227,3,15.7722
227,269,33.7726
228,48,64.9105
228,221,23.5045
228,41,60.3854
229,33,60.4394
229,47,54.9894
230,44,62.1725
230,214,45.589
231,236,22.5018
231,212,62.4231
232,35,37.161
232,34,90.1867
233,29,31.6392
233,37,39.2436
233,223,93.5288
233,219,59.1843
234,30,30.3094
234,237,62.8019
235,40,32.0271
235,45,68.2333
236,242,34.6476
237,42,20.5468
237,243,106.5183
238,31,23.9779
238,49,42.864
238,215,86.2324
239,36,17.7355
239,233,43.0989
239,224,57.8854
240,43,11.2106
240,230,76.0561
241,236,55.7145
242,239,41.3089
243,218,90.3762
244,192,65.4954
244,249,53.6418
246,202,69.7185
246,285,140.9683
247,258,31.0829
247,257,86.3259
248,258,89.7343
249,414,106.9814
249,251,42.0884
250,252,37.9599
251,263,35.1419
252,109,108.3085
253,170,113.6254
253,278,117.1013
254,283,102.1629
254,245,35.3583
254,51,10.6795
255,252,26.0415
255,259,34.4983
256,50,69.0938
256,250,20.9449
257,280,75.1822
257,158,75.1823
257,268,114.1562
259,167,79.6878
260,299,146.1912
260,246,122.4789
260,264,76.8995
261,137,94.6225
261,266,72.0044
262,288,90.9228
262,259,37.7555
263,295,109.767
263,267,61.3438
264,379,174.7792
265,262,38.4598
265,270,31.5116
266,284,75.3735
266,192,96.1344
267,254,120.534
268,289,71.6462
268,246,78.73
269,16,24.4257
269,348,65.6544
270,294,92.5487
270,277,73.5795
271,298,94.8837
271,52,85.4719
271,258,45.2366
272,266,53.9726
273,261,45.7758
273,284,58.8353
274,271,24.1495
274,280,52.3696
275,308,134.871
275,267,21.0507
276,264,51.6657
276,313,133.7286
277,303,94.4913
277,253,72.4485
278,286,34.3785
279,307,108.6097
279,53,49.8244
279,256,71.7325
280,323,169.4762
280,289,115.0254
281,275,24.856
282,279,66.4935
283,290,24.0619
283,281,36.411
284,312,132.858
284,293,59.3111
285,324,144.7652
286,277,104.4283
287,9,32.3431
288,282,67.8154
