# index, pos, _pos
0,"array([-8.0000e-02,  5.9175e+02])","array([0.69617542, 3.61693952])"
1,"array([-8.0000e-02,  7.2789e+02])","array([0.82017069, 3.58630604])"
2,"array([-8.0000e-02,  8.0917e+02])","array([1.0909084 , 3.59739577])"
3,"array([-8.000e-02,  9.575e+02])","array([1.3946428 , 3.50053563])"
4,"array([ -0.39, 199.41])","array([-0.22591653,  4.60719924])"
5,"array([-5.9000e-01,  1.1419e+03])","array([1.56487755, 3.29460056])"
6,"array([-5.90000e-01,  1.21912e+03])","array([1.69605881, 3.2835581 ])"
7,"array([-5.90000e-01,  1.32884e+03])","array([1.86150439, 3.29226387])"
8,"array([  -1.61, 1291.25])","array([1.90877003, 3.22810755])"
9,"array([4.0000e-02, 3.2172e+02])","array([0.34850499, 4.22877054])"
10,"array([4.0000e-02, 3.8735e+02])","array([0.45788487, 4.18494535])"
11,"array([2.6000e-01, 4.5301e+02])","array([0.50389239, 3.9039266 ])"
12,"array([4.20000e-01, 1.37964e+03])","array([2.02663554, 2.9964688 ])"
13,"array([4.20000e-01, 1.42841e+03])","array([2.26403984, 2.88311319])"
14,"array([  0.46, 249.7 ])","array([-0.05639909,  4.44571255])"
15,"array([  0.93, 517.59])","array([0.57840291, 3.6791632 ])"
16,"array([  0.93, 921.95])","array([1.30971622, 3.60821225])"
17,"array([  1.77, 416.79])","array([0.50290143, 4.12393457])"
18,"array([ 1.00705e+03, -3.00000e-02])","array([-0.9916836 ,  2.79274419])"
19,"array([1029.1 , 1558.96])","array([0.83187909, 1.13651829])"
20,"array([ 105.07, 1559.47])","array([2.27694302, 2.61373161])"
21,"array([1099.95,    1.68])","array([-1.11519805,  2.68834368])"
22,"array([1265.3 ,   70.71])","array([-1.43235255,  2.47283836])"
23,"array([1265.31, 1561.5 ])","array([0.80758181, 0.77556756])"
24,"array([1.29939e+03, 8.20000e-01])","array([-1.6454091 ,  2.42492523])"
25,"array([133.85, 450.42])","array([0.31285419, 3.79664223])"
26,"array([ 1.34457e+03, -3.00000e-02])","array([-1.80370977,  2.25228012])"
