# source, target, length
0,197,39.4541
1,179,41.6729
6,259,72.8405
8,166,21.381
10,199,46.4351
59,327,138.4265
60,320,105.6619
61,332,47.6465
62,329,43.7943
64,177,273.8099
64,11,106.2771
64,165,76.4917
65,106,260.0619
65,56,135.6231
65,297,234.3893
66,63,14.8376
66,329,156.0608
67,18,64.6957
67,333,75.7471
68,62,34.6108
69,77,57.6235
69,310,155.6556
70,81,132.7751
71,68,30.0654
72,66,44.7884
72,62,153.9471
73,61,109.626
73,60,95.6185
74,77,36.9334
74,92,137.6855
75,71,28.518
75,89,92.6748
76,72,34.6668
76,68,156.4833
78,86,61.4517
78,19,25.0617
79,85,49.9163
79,71,67.1802
80,172,100.788
81,84,19.8742
82,113,189.2734
82,23,178.677
82,77,50.7014
83,76,60.699
83,87,13.6796
84,93,306.7911
84,20,42.1211
85,75,77.7574
86,100,89.9087
86,21,24.9603
87,79,91.7268
88,102,123.2637
88,81,33.0018
88,73,111.087
89,94,115.0657
89,93,16.8023
90,229,121.9937
91,168,119.3986
92,99,83.687
92,63,221.6313
93,67,189.2543
94,98,59.0223
94,85,42.3511
95,108,97.5295
95,83,87.8543
96,182,145.7565
96,17,96.4143
97,95,83.2604
97,76,172.3935
98,118,152.8346
98,87,84.4878
99,97,21.3809
100,109,55.8081
100,22,25.2675
101,82,139.6357
101,112,87.8727
101,92,90.1654
103,102,65.7333
103,105,101.4411
104,174,97.5892
104,319,62.4964
105,111,52.9013
105,88,142.2083
105,325,355.6608
105,106,165.26
106,147,171.9312
107,93,124.1874
108,121,111.955
108,99,73.5835
109,119,69.4549
109,25,26.2726
110,135,120.8686
110,108,20.3729
111,145,135.4642
112,121,58.2103
113,101,123.1025
114,123,69.1554
114,107,40.7935
115,103,75.1162
115,111,92.5248
116,98,121.9009
116,126,54.4575
116,93,184.6793
117,130,62.8477
117,24,97.2302
118,110,75.7941
119,128,27.5243
119,26,28.5407
120,131,66.5977
120,119,48.2988
122,114,48.8808
122,125,87.0011
123,138,56.9587
123,127,42.3511
124,153,100.305
124,117,45.6689
124,113,45.2416
125,143,74.7319
125,102,153.2071
126,107,197.5957
127,122,42.3511
128,131,19.0762
128,28,27.5244
129,124,60.6009
129,112,114.3103
130,32,92.1705
130,27,57.7806
131,149,42.4886
132,170,42.6558
132,286,87.2799
132,4,146.1336
133,121,69.4392
134,118,81.1893
134,136,125.7495
135,137,25.0617
135,134,33.0018
136,36,142.0487
136,116,102.9051
137,133,20.6099
137,150,33.921
138,139,67.1513
139,136,97.3134
139,126,48.635
139,158,79.9031
140,138,27.4065
140,127,38.7597
141,37,127.1658
141,129,51.2097
141,133,109.9357
142,156,75.7944
142,140,82.662
142,122,75.3829
142,125,77.6287
142,40,129.7763
143,142,76.254
143,144,46.6716
144,159,88.1388
144,146,76.8672
145,146,40.9678
145,147,225.3687
146,115,107.0681
147,105,241.0854
147,43,107.0259
147,148,63.89
148,149,187.7827
149,41,121.3418
149,154,25.6112
149,30,38.6332
150,157,79.9273
150,155,24.6185
