# index, pos, _pos
0,"array([-2.4000e-01,  5.2248e+02])","array([3.56968263, 7.6995748 ])"
1,"array([-2.4000e-01,  8.3998e+02])","array([2.63633036, 7.54411112])"
2,"array([-2.4000e-01,  9.0143e+02])","array([2.7201196 , 7.57211069])"
3,"array([-8.10000e-01,  1.20585e+03])","array([2.25345813, 7.24141814])"
4,"array([-8.10000e-01,  1.26047e+03])","array([2.1092565 , 7.22293913])"
5,"array([-8.1000e-01,  1.4232e+03])","array([1.6374549 , 6.93214625])"
6,"array([ -0.81, 733.58])","array([3.05154144, 7.60685413])"
7,"array([ -1.62, 330.03])","array([3.65352487, 7.92375252])"
8,"array([  -1.95, 1480.1 ])","array([1.5454062 , 6.98204525])"
9,"array([ -1.95, 191.9 ])","array([3.74806987, 8.13126781])"
10,"array([ -1.95, 669.85])","array([3.21059957, 7.59093496])"
11,"array([ -1.95, 792.76])","array([2.80984978, 7.71178483])"
12,"array([3.20000e-01, 1.08294e+03])","array([2.44819722, 7.37977629])"
13,"array([3.20000e-01, 1.31623e+03])","array([2.01042627, 7.10265151])"
14,"array([3.20000e-01, 1.38679e+03])","array([1.85738442, 7.09654198])"
15,"array([  0.89, 417.79])","array([3.6509706 , 7.75040045])"
16,"array([  0.89, 568.  ])","array([3.28233763, 7.74158295])"
17,"array([103.88,   0.71])","array([3.7849972 , 8.26755867])"
18,"array([1071.18,  729.03])","array([2.63914186, 9.97602704])"
19,"array([1.09678e+03, 1.40000e-01])","array([4.21295626, 9.70053529])"
20,"array([1120.68,  614.66])","array([ 2.77648502, 10.11608226])"
21,"array([1163.92,    1.28])","array([4.38756133, 9.7393293 ])"
22,"array([1243.58,    1.28])","array([4.49894206, 9.87287028])"
23,"array([1257.81, 1560.9 ])","array([1.42787075, 9.38330405])"
24,"array([1302.19, 1559.76])","array([1.11758388, 9.59732467])"
25,"array([1305.03,    2.42])","array([ 4.442517  , 10.03168309])"
26,"array([1374.45,    2.42])","array([ 4.29472005, 10.08417963])"
27,"array([1377.3 , 1559.76])","array([0.93992715, 9.64528021])"
28,"array([1.4029e+03, 1.4000e-01])","array([ 4.21008876, 10.19369273])"
29,"array([ 142.57, 1559.76])","array([1.60596941, 7.14756535])"
30,"array([1.45354e+03, 7.10000e-01])","array([ 3.86652722, 10.30529176])"
31,"array([1476.3 , 1474.41])","array([1.15069813, 9.81389324])"
32,"array([1485.41, 1560.9 ])","array([0.95086259, 9.74482071])"
33,"array([1.54458e+03, 7.10000e-01])","array([ 4.06346012, 10.41134839])"
34,"array([1557.1 , 1448.24])","array([1.21666776, 9.87771969])"
35,"array([1557.67, 1329.32])","array([ 1.48471191, 10.17009443])"
36,"array([1558.81, 1097.17])","array([ 2.20941397, 10.33426121])"
37,"array([1558.81, 1374.84])","array([1.44425015, 9.98899811])"
38,"array([1559.38, 1005.56])","array([ 2.44223869, 10.61683135])"
39,"array([1559.38,   66.72])","array([ 3.97801589, 10.46034063])"
40,"array([1559.38,  698.3 ])","array([ 2.88626871, 10.58631779])"
41,"array([1559.38,   82.65])","array([ 3.98325299, 10.24408551])"
42,"array([1559.94, 1149.52])","array([ 1.86862389, 10.33609888])"
43,"array([1559.94,  286.92])","array([ 3.57679525, 10.22251662])"
44,"array([1559.94,  557.76])","array([ 3.48406832, 10.53681819])"
45,"array([ 218.25, 1561.47])","array([1.51982587, 7.51618335])"
46,"array([ 270.6 , 1560.33])","array([1.57105058, 7.43276023])"
47,"array([ 334.33, 1560.33])","array([1.59467912, 7.73594063])"
48,"array([ 384.4 , 1561.47])","array([1.46426857, 7.96117574])"
49,"array([ 452.68, 1560.33])","array([1.2508646 , 8.14621463])"
50,"array([ 478.85, 1560.33])","array([1.2643216 , 8.04771058])"
51,"array([ 6.8198e+02, -4.3000e-01])","array([3.8832757 , 9.59889333])"
52,"array([737.18, 536.14])","array([2.93998409, 9.14456999])"
53,"array([ 765.06, 1560.9 ])","array([1.50294004, 8.27182005])"
54,"array([ 816.27, 1559.76])","array([1.43285928, 8.59771456])"
55,"array([831.06,  -3.84])","array([3.91633962, 9.69790251])"
56,"array([887.96, 257.9 ])","array([3.6604308 , 9.81817006])"
57,"array([904.46, 458.75])","array([3.30540055, 9.72120891])"
58,"array([ 918.69, 1559.76])","array([1.36364578, 8.92315385])"
59,"array([  0.32, 221.48])","array([3.60571358, 8.1005331 ])"
60,"array([1000.05,  413.24])","array([3.17482968, 9.81972946])"
61,"array([1002.33,  554.35])","array([3.04119202, 9.8090904 ])"
62,"array([1004.03,  977.11])","array([2.17388133, 9.47670871])"
63,"array([1009.16, 1148.38])","array([1.97762584, 9.32356429])"
64,"array([102.17, 781.94])","array([2.76337673, 7.79131704])"
65,"array([1021.1 ,  280.66])","array([3.57086146, 9.79498356])"
66,"array([1021.67, 1140.41])","array([2.08432807, 9.38351052])"
67,"array([1030.21,  779.1 ])","array([2.63410722, 9.90368897])"
68,"array([1034.76,  961.18])","array([2.17899577, 9.60266638])"
69,"array([1037.04, 1406.13])","array([1.57767561, 9.056117  ])"
70,"array([1044.43,  656.77])","array([2.85150228, 9.85399635])"
71,"array([1060.93,  946.39])","array([2.28365174, 9.69050896])"
72,"array([1061.5 , 1119.93])","array([2.08324863, 9.50357591])"
73,"array([1075.16,  472.41])","array([3.11326259, 9.91825469])"
74,"array([1080.28, 1382.24])","array([1.70162867, 9.26235365])"
75,"array([1085.97,  932.73])","array([2.41723924, 9.71571538])"
76,"array([1093.37, 1106.27])","array([2.06069814, 9.63195086])"
77,"array([1093.94, 1415.24])","array([1.56252782, 9.2126892 ])"
78,"array([1095.64,   25.18])","array([4.1699689 , 9.77858282])"
79,"array([1103.04,  998.73])","array([2.24904556, 9.79552949])"
80,"array([ 112.99, 1422.07])","array([1.80199892, 7.28219246])"
81,"array([1138.89,  563.45])","array([ 2.91968364, 10.00021814])"
82,"array([1144.01, 1423.2 ])","array([1.52105296, 9.40216234])"
83,"array([1145.71, 1075.55])","array([2.06122646, 9.76474902])"
84,"array([1146.85,  581.66])","array([ 2.73917745, 10.03854638])"
85,"array([1148.56,  978.25])","array([2.34461868, 9.81334792])"
86,"array([1157.09,   25.18])","array([4.30983479, 9.80042005])"
