# source, target, length
22,582,25.3548
83,732,11.9163
85,736,31.0503
87,749,78.7807
114,805,14.7362
122,1400,86.1222
156,1377,81.1368
178,1224,33.5392
201,547,111.3125
202,1348,57.4169
237,1621,77.6335
252,1335,90.4193
260,1176,46.1405
323,1346,36.2829
370,1515,26.4389
390,1575,18.418
397,1586,18.6585
402,670,51.2127
414,1736,54.6166
415,1825,16.0536
418,1687,29.9878
430,1704,31.037
467,1806,42.013
472,1802,24.8623
476,760,30.6959
476,1419,51.6145
477,493,56.2745
477,1806,29.0833
477,1833,20.4057
479,544,61.1972
479,1830,46.8677
479,511,54.1284
480,510,45.4262
480,1839,14.2346
481,486,24.7994
481,1808,33.9489
482,501,19.5997
482,471,52.5726
482,1,39.5292
483,1828,19.2116
483,478,27.7266
484,136,57.5884
484,1569,25.7744
484,1680,38.5447
485,1838,38.793
486,10,22.1245
487,491,20.6144
488,494,25.8619
488,538,48.8123
489,503,13.0327
489,1788,61.7366
490,485,13.7561
491,478,19.8537
491,512,61.1627
492,490,14.7436
493,481,15.3533
494,500,13.0253
494,540,44.0355
495,496,31.4378
495,483,16.604
496,552,44.4259
497,477,25.2637
497,496,12.7723
498,489,29.6747
499,492,13.3347
500,485,14.9497
500,517,13.652
501,513,9.6235
501,3,38.6858
502,1832,38.3423
502,11,9.8982
503,504,10.5587
503,530,23.3731
504,509,20.8522
504,509,45.9011
505,12,33.9325
505,1831,46.3101
506,711,19.9966
506,761,33.3634
507,629,16.0745
507,1581,43.5037
508,493,23.997
508,611,91.9771
509,519,19.2564
510,518,11.1007
511,564,43.4286
511,1813,57.7777
512,487,28.3119
513,8,47.1932
513,522,18.2693
514,554,62.5328
514,505,7.4253
515,27,72.6493
515,497,12.836
516,524,8.2781
516,510,10.5381
517,520,11.5128
517,540,18.0289
518,529,11.5951
518,1831,76.2797
519,521,26.0707
519,557,32.1448
520,527,12.3338
520,490,27.8805
520,561,31.4482
521,9,24.6631
522,539,16.3768
522,6,46.0842
523,1824,59.4719
523,508,35.9559
524,535,13.5331
524,21,34.9771
525,13,19.0252
525,14,12.3152
526,551,28.2761
526,514,11.4516
527,543,17.0045
527,492,28.8581
527,563,30.0217
528,542,12.123
528,505,27.8765
529,528,19.7779
529,535,10.4594
530,559,21.2856
530,15,8.5419
531,5,36.5583
531,573,33.8683
531,533,10.3648
532,885,54.753
532,43,29.4282
533,521,32.0759
534,498,27.0821
534,16,8.2889
535,585,79.0501
536,502,36.265
536,531,23.2561
537,516,56.4202
537,525,10.087
538,523,24.1537
539,558,22.9111
539,555,19.4099
541,495,34.9159
541,24,19.1371
542,526,16.5246
542,553,12.1589
543,20,15.5513
543,499,33.7259
544,566,21.731
544,556,33.1147
545,574,32.9903
545,512,63.6201
545,513,25.0431
546,621,16.4172
546,1582,41.0133
547,787,51.2905
547,827,37.3128
547,457,21.2546
548,537,13.4492
548,576,44.2227
549,535,10.3002
549,23,13.5652
550,557,19.918
550,18,11.0103
551,605,78.4976
551,577,32.0447
552,25,16.7629
552,541,16.604
553,569,19.7601
553,562,12.3152
554,534,18.0826
555,603,46.0198
555,17,35.1645
556,591,30.959
557,565,7.4602
558,567,7.6988
558,545,24.5352
559,550,33.1122
559,571,13.2472
560,540,16.9685
560,538,49.7054
561,560,10.8566
562,549,17.114
563,581,22.0731
563,561,12.5468
564,604,36.6767
564,556,31.9038
