# index, pos, _pos
0,"array([1004.08, 1024.99])","array([0.99662723, 4.46082592])"
1,"array([1004.6, 1066.4])","array([1.50592912, 4.40738843])"
2,"array([1006.38,  660.29])","array([-0.21342456,  6.33882149])"
3,"array([1009.46, 1147.96])","array([1.60545223, 4.48178016])"
4,"array([1009.92,  596.27])","array([-0.39412163,  6.79279996])"
5,"array([1013.72,  951.98])","array([0.78666055, 5.08764682])"
6,"array([1017.99, 1061.53])","array([1.62654737, 4.69127062])"
7,"array([1018.05,  614.41])","array([-0.22765009,  6.43489485])"
8,"array([1018.59, 1160.13])","array([1.71525147, 4.56202057])"
9,"array([1018.59,  913.03])","array([0.51881523, 5.05420281])"
10,"array([1020.96, 1418.56])","array([2.86704023, 4.3416451 ])"
11,"array([1031.21, 1001.3 ])","array([0.91384717, 4.94169673])"
12,"array([1032.86,  759.33])","array([0.1115831 , 5.86430404])"
13,"array([1033.69,  622.13])","array([-0.08419959,  6.50137452])"
14,"array([1034.11,  602.11])","array([-0.04256936,  6.55837293])"
15,"array([1049.08,  833.92])","array([0.21067923, 5.32055228])"
16,"array([1050.89,  789.21])","array([0.1310798 , 5.57469866])"
17,"array([1053.29, 1040.84])","array([1.61738365, 4.93405886])"
18,"array([1057.26,  839.2 ])","array([0.31730376, 5.27555944])"
19,"array([1059.16, 1192.38])","array([2.00554389, 4.8183753 ])"
20,"array([1061.47, 1557.67])","array([3.32304325, 4.82262784])"
21,"array([1062.47,  642.98])","array([0.05513119, 6.24977812])"
22,"array([1065.46,  985.45])","array([1.08305734, 5.14458932])"
23,"array([1070.39,  679.68])","array([0.26184062, 6.26300589])"
24,"array([1072.96, 1249.86])","array([2.19317927, 4.45156087])"
25,"array([1078.07, 1268.38])","array([2.30650058, 4.49692242])"
26,"array([1080.82,  612.95])","array([0.21368097, 6.4479917 ])"
27,"array([1083.82, 1333.52])","array([2.4438646 , 4.54245427])"
28,"array([1085.1 , 1201.97])","array([2.18638559, 4.7141507 ])"
29,"array([1088.53,  890.91])","array([0.47798065, 5.28425324])"
30,"array([1089.39, 1556.83])","array([3.16735861, 4.9915635 ])"
31,"array([1091.48, 1238.37])","array([2.29215015, 4.7436047 ])"
32,"array([1092.12, 1257.52])","array([2.42235285, 4.7053534 ])"
33,"array([1094.07, 1092.57])","array([1.77915961, 4.90329138])"
34,"array([1098.33, 1004.93])","array([1.03881642, 5.09211621])"
35,"array([1099.79, 1301.59])","array([2.6115835 , 4.60500121])"
36,"array([1100.63,  619.42])","array([0.44124174, 6.53005261])"
37,"array([1101.46,  886.74])","array([0.52316555, 5.4072192 ])"
38,"array([1106.47,  829.61])","array([0.51122861, 5.83637946])"
39,"array([1107.47, 1314.77])","array([2.75275802, 4.6222615 ])"
40,"array([1110.85, 1176.05])","array([2.07616108, 4.70306355])"
41,"array([1112.93, 1025.62])","array([1.52137841, 5.11188563])"
42,"array([1116.06,  883.4 ])","array([0.50483991, 5.57769621])"
43,"array([112.33, 331.25])","array([-4.19240785,  5.24859847])"
44,"array([1120.02,  738.06])","array([0.75933707, 6.37957556])"
45,"array([1120.23,  796.24])","array([0.65122179, 5.87686633])"
46,"array([1127.54, 1097.44])","array([1.48572143, 4.95722607])"
47,"array([1128.57,  880.07])","array([0.67190019, 5.55752274])"
48,"array([1129.2 ,  665.08])","array([0.50069802, 6.37281463])"
49,"array([113.77, 754.16])","array([-3.99788396,  3.34067303])"
50,"array([1133.02,  911.2 ])","array([0.74521482, 5.2330544 ])"
51,"array([1136.51, 1420.05])","array([2.9859683 , 4.77889505])"
52,"array([1136.67,  918.5 ])","array([0.95732828, 5.35644773])"
53,"array([1139.38, 1144.49])","array([2.09555221, 5.08072114])"
54,"array([114.5 , 659.86])","array([-4.20352492,  3.61552843])"
55,"array([1146.41, 1054.84])","array([1.37969992, 5.18028417])"
56,"array([1147.36, 1450.07])","array([3.06110838, 5.04940426])"
57,"array([1151.93,  847.96])","array([0.72297668, 5.73797004])"
58,"array([1166.73,  741.4 ])","array([0.67340055, 6.27660324])"
59,"array([1168.78, 1107.62])","array([1.92878275, 5.23327882])"
60,"array([1170.99, 1386.21])","array([2.87385707, 4.91622572])"
61,"array([ 118.82, 1557.87])","array([4.3790913 , 1.41920283])"
62,"array([1180.49, 1085.27])","array([1.83232532, 5.43610871])"
63,"array([1181.54,  852.96])","array([0.88786849, 5.82151748])"
64,"array([1183.62,  781.23])","array([0.90292651, 6.08857357])"
65,"array([1184.45,  644.44])","array([0.59368895, 6.56474416])"
66,"array([119.05, 319.88])","array([-3.72554037,  5.56921142])"
67,"array([119.94, 730.46])","array([-4.23717754,  3.52669408])"
68,"array([1190.23, 1007.97])","array([1.63052475, 5.5138863 ])"
69,"array([1195.63,  771.93])","array([1.01187904, 6.03765329])"
70,"array([1201.42,  754.56])","array([0.84603766, 6.52284372])"
71,"array([1203.24, 1170.03])","array([2.14942453, 5.42697468])"
72,"array([1206.66,  956.24])","array([1.16448913, 5.6562129 ])"
73,"array([1215.11,  779.3 ])","array([1.41421357, 6.31723123])"
74,"array([1215.73,  581.46])","array([0.47609116, 6.808121  ])"
75,"array([1220.66, 1048.14])","array([1.57023044, 5.43793998])"
76,"array([1221.95,  681.92])","array([0.94865635, 6.73953398])"
77,"array([1226.14, 1071.27])","array([1.79733274, 5.34269146])"
78,"array([1226.16,  768.25])","array([1.08900436, 6.49196033])"
79,"array([1229.67,  529.81])","array([0.30414015, 7.23837371])"
80,"array([1239.53,  985.45])","array([1.80700802, 5.68768297])"
81,"array([1239.64, 1239.  ])","array([2.41977347, 5.74314229])"
82,"array([1240.28, 1288.82])","array([2.29544539, 5.16735935])"
83,"array([1246.16,  637.44])","array([0.39393161, 7.06223313])"
84,"array([1251.95,  590.33])","array([0.5758224 , 6.96968578])"
85,"array([1253.53,  903.9 ])","array([1.37848164, 6.01829929])"
86,"array([1254.42,  730.1 ])","array([1.03717958, 6.6496593 ])"
87,"array([1257.18,  961.11])","array([1.49564099, 5.96230136])"
88,"array([1259.44, 1244.11])","array([2.50887649, 5.76040928])"
89,"array([1267.43,  639.25])","array([0.39205949, 6.99516791])"
90,"array([1274.13, 1176.42])","array([2.22978771, 5.65199068])"
91,"array([1275.41, 1355.87])","array([2.46853936, 5.28944082])"
92,"array([1276.98,  730.1 ])","array([1.23537791, 6.67819287])"
93,"array([1277.87, 1007.97])","array([1.8784651 , 5.81360126])"
94,"array([1278.6 , 1217.29])","array([2.36305933, 5.74679234])"
95,"array([1280.21,  517.18])","array([0.25989217, 7.20453977])"
96,"array([1284.98, 1195.58])","array([2.35166703, 5.59158614])"
97,"array([1287.54, 1338.63])","array([2.49168044, 5.53971948])"
98,"array([1293.54,  625.6 ])","array([0.67688619, 7.05373725])"
99,"array([1295.2 , 1221.12])","array([2.54610114, 5.71654082])"
100,"array([1303.01,  807.2 ])","array([1.38327582, 6.46095394])"
101,"array([1310.38,  564.54])","array([0.48160072, 7.28546325])"
102,"array([1311.43,  635.6 ])","array([1.016921  , 7.05543715])"
103,"array([132.43, 707.65])","array([-4.18474426,  3.67094694])"
104,"array([1331.17,  719.03])","array([1.17834488, 6.9896955 ])"
105,"array([1336.7 ,  652.44])","array([0.96445743, 7.02596179])"
106,"array([1336.71, 1307.98])","array([2.55850445, 5.62839111])"
107,"array([1339.35,  968.41])","array([1.94419977, 6.04362193])"
108,"array([1350.91,  690.87])","array([1.11536219, 7.17783344])"
109,"array([1359.07,  787.46])","array([1.31538737, 6.79753283])"
110,"array([1364.33,  776.93])","array([1.26940927, 6.88477949])"
111,"array([1375.91,  714.29])","array([1.27213267, 7.06494644])"
112,"array([1378.91,  966.59])","array([2.07974378, 6.25343707])"
113,"array([  14.78, 1376.31])","array([4.78654306, 1.15975841])"
114,"array([ 141.4 , 1429.74])","array([4.40580084, 1.26710456])"
115,"array([1411.17,  961.11])","array([2.15384675, 6.33122893])"
116,"array([1412.78,  945.83])","array([1.92599976, 6.44707951])"
117,"array([1444.34,  733.77])","array([1.56430706, 7.18202199])"
118,"array([1445.25,  948.93])","array([2.13673034, 6.46175762])"
119,"array([1456.45,  763.25])","array([1.62507858, 7.09039373])"
120,"array([1493.33,  939.2 ])","array([2.12801118, 6.57808482])"
121,"array([1494.87,  667.45])","array([1.49925582, 7.73396106])"
122,"array([  15.32, 1037.17])","array([-3.2943555 ,  1.63392125])"
123,"array([1546.68,  985.59])","array([2.38503558, 6.36140128])"
124,"array([1546.98,  626.39])","array([1.41323156, 7.84284344])"
125,"array([1553.3 ,  646.92])","array([1.4826101 , 7.63332159])"
126,"array([1562.78,  668.5 ])","array([1.36516222, 7.5598119 ])"
127,"array([1562.94,  953.59])","array([2.32402369, 6.45561037])"
128,"array([1563.04,  500.85])","array([0.62204179, 7.37941604])"
129,"array([1563.3 ,  577.44])","array([1.48347444, 7.84329292])"
130,"array([1563.3 ,  720.61])","array([1.57757066, 7.42509552])"
131,"array([1563.46, 1051.17])","array([2.44535595, 6.2821044 ])"
132,"array([1563.46, 1158.71])","array([2.35380264, 6.1168351 ])"
133,"array([1563.83,  689.03])","array([1.33919933, 7.44078136])"
134,"array([157.96, 383.94])","array([-4.28658943,  5.35979425])"
135,"array([ 158.49, 1458.43])","array([4.36268397, 1.62303915])"
136,"array([158.5 , 542.54])","array([-4.15308514,  4.11507736])"
137,"array([  16.49, 1231.56])","array([-3.07025381,  1.258438  ])"
138,"array([ 160.66, 1519.84])","array([4.34070658, 1.46521307])"
139,"array([162.84, 355.69])","array([-4.29712123,  5.25629806])"
140,"array([167.73, 620.75])","array([-4.09652267,  3.80802385])"
141,"array([ 168.5 , 1134.95])","array([-3.02798373,  1.97031759])"
142,"array([ 175.84, 1046.51])","array([-2.88580341,  1.93784807])"
143,"array([ 182.52, 1108.92])","array([-2.5672492 ,  1.77971782])"
144,"array([183.48, 498.  ])","array([-4.23797292,  4.3487833 ])"
145,"array([193.8, 442.6])","array([-4.0037532 ,  5.20256978])"
146,"array([ 194.2 , 1047.18])","array([-2.71735715,  2.0275991 ])"
147,"array([202.32, 310.44])","array([-3.62479866,  5.85448652])"
148,"array([202.83, 124.29])","array([-3.8952346 ,  6.29167595])"
149,"array([204.67, 380.68])","array([-4.32671098,  5.3109258 ])"
150,"array([ 206.21, 1094.9 ])","array([-2.84756781,  2.08224465])"
151,"array([207.38, 640.3 ])","array([-3.98431146,  3.84141461])"
152,"array([ 209.72, 1001.29])","array([-3.25427336,  2.39859621])"
153,"array([ 212.05, 1277.28])","array([-1.9516447 ,  1.24278661])"
154,"array([212.7 , 911.61])","array([-3.54411389,  2.63275607])"
155,"array([ 225.9 , 1256.42])","array([-2.20016189,  1.30988824])"
156,"array([  23.7 , 1312.98])","array([-2.76365187,  0.95245295])"
157,"array([230.91, 790.21])","array([-3.53913243,  3.3000191 ])"
158,"array([231.58, 899.24])","array([-3.30574043,  3.11982274])"
159,"array([ 234.75, 1225.89])","array([-2.14855192,  1.60227903])"
160,"array([236.15, 665.24])","array([-3.85174105,  3.83993117])"
161,"array([ 236.41, 1213.54])","array([-2.28960307,  1.53193854])"
162,"array([236.48, 988.93])","array([-3.11792814,  2.50906166])"
163,"array([241.2 , 915.15])","array([-3.40899677,  2.81588009])"
164,"array([242.51, 530.48])","array([-2.88839677,  7.52849278])"
165,"array([ 243.41, 1107.96])","array([-2.56173721,  1.95210337])"
166,"array([ 244.95, 1265.41])","array([-2.00536168,  1.65187845])"
167,"array([245.26, 713.45])","array([-3.66302803,  3.77021422])"
168,"array([245.81, 516.33])","array([-2.98495456,  7.4677383 ])"
169,"array([250.7, 306.2])","array([-3.47060716,  6.17862805])"
170,"array([ 256.6, 1066.2])","array([-2.45287962,  2.26136644])"
171,"array([258.31, 903.81])","array([-3.15836011,  3.17506336])"
172,"array([ 263.37, 1430.72])","array([4.14305047, 1.7394673 ])"
173,"array([ 263.78, 1340.36])","array([-1.88887727,  1.342673  ])"
174,"array([267.98, 423.91])","array([-3.08992902,  7.21695343])"
175,"array([268.08, 664.59])","array([-3.74949438,  3.83130594])"
176,"array([268.72, 937.9 ])","array([-3.18429641,  2.6944612 ])"
177,"array([269.39, 753.24])","array([-3.45500751,  3.69534818])"
178,"array([  27.33, 1153.64])","array([-3.22630565,  1.55600721])"
179,"array([ 272.46, 1338.02])","array([-1.76993395,  1.42750028])"
180,"array([ 274.59, 1009.1 ])","array([-2.810627  ,  2.67783281])"
181,"array([277.01, 280.74])","array([-3.49509561,  6.10988325])"
182,"array([277.88, 386.19])","array([-3.15667605,  7.00269141])"
183,"array([278.82, 598.38])","array([-2.73642445,  7.4328482 ])"
184,"array([281.2 , 909.65])","array([-3.00678409,  3.18510322])"
185,"array([281.25,  -2.  ])","array([-4.20706066,  6.33054014])"
186,"array([ 282.01, 1558.26])","array([4.32809203, 1.79234744])"
187,"array([284.38, 667.85])","array([-3.5298788 ,  3.87748059])"
188,"array([284.38, 831.46])","array([-3.25108783,  3.30217887])"
189,"array([ 287.81, 1362.38])","array([-1.6901844 ,  1.49566756])"
190,"array([ 293.07, 1034.57])","array([-2.75530932,  2.73387825])"
191,"array([294.04, 911.85])","array([-2.87394687,  3.2143476 ])"
192,"array([  3.16, 569.69])","array([-4.61178794,  4.12047598])"
193,"array([  3.16, 675.06])","array([-4.41063799,  3.26729831])"
194,"array([   3.2 , 1506.02])","array([4.73155527, 1.32247858])"
195,"array([  3.31, 876.64])","array([-3.94168851,  2.76083014])"
196,"array([  3.47, 990.94])","array([-3.5934454 ,  2.23501134])"
197,"array([   3.64, 1087.89])","array([-3.17840014,  1.52107478])"
198,"array([  3.64, 929.04])","array([-3.84666362,  2.66844711])"
199,"array([   3.69, 1002.84])","array([-3.5611399 ,  2.17755501])"
200,"array([  3.7, 529.5])","array([-4.51640821,  4.06730854])"
201,"array([  3.79, 104.13])","array([-4.03350152,  6.07879729])"
202,"array([  3.82, 743.52])","array([-4.29944864,  3.20253633])"
203,"array([  3.97, 978.43])","array([-3.74030035,  2.58703752])"
204,"array([300.04, 351.76])","array([-3.15905105,  6.8972684 ])"
205,"array([ 303.33, 1107.92])","array([-2.54299661,  2.3096676 ])"
206,"array([ 309.  , 1131.28])","array([-2.40285345,  1.73210013])"
