"","alpha","mean","err","mean_random","err_mean_random"
"1",0,0.0106,0.00497068328378426,0.2773,0.198190170265186
"2",0.05,0.013725,0.00862907280279275,0.860575,0.192788031267504
"3",0.1,0.019225,0.0148505158332235,0.92305,0.14807966497628
"4",0.2,0.03315,0.0283933451935846,0.97465,0.0453530594337361
"5",0.3,0.051275,0.0330236803148659,0.9958,0.00550151494287407
"6",0.4,0.079025,0.0792977147470377,0.995925,0.00631801453720295
"7",0.5,0.146075,0.166230823069795,0.9948,0.01004400573885
"8",0.6,0.183325,0.228043786562457,0.9968,0.00472961211614978
"9",0.7,0.261,0.247927615573785,0.996675,0.00606540209418161
"10",0.8,0.240675,0.190995823219199,0.99615,0.00444077840254531
"11",0.9,0.32365,0.26422373483713,0.996875,0.00369467739128074
"12",1,0.413075,0.239740713303737,0.997175,0.00306249018836733
"13",1.1,0.378125,0.288925080121261,0.997425,0.00295164013510785
"14",1.2,0.445325,0.293953544864595,0.99755,0.00300384369151874
"15",1.5,0.4293,0.303790768077687,0.9974,0.00382166563230331
