"","alpha","mean","err"
"1",0.1,0.03592,0.0288120881064291
"2",0.15,0.15099,0.213616444025021
"3",0.2,0.21696,0.254649353136095
"4",0.25,0.43151,0.262632049793903
"5",0.3,0.40893,0.284564422638493
"6",0.35,0.55282,0.302913598242139
"7",0.4,0.58798,0.305620493250595
"8",0.45,0.57559,0.263532388701535
"9",0.5,0.66655,0.23370844522272
"10",0.55,0.64873,0.31345269952914
"11",0.6,0.65946,0.267181523943633
"12",0.65,0.6743,0.348470096882147
"13",0.7,0.72497,0.223224883304518
"14",0.75,0.76297,0.221947582953605
"15",0.8,0.69262,0.285316466217316
"16",0.85,0.85489,0.141674533981755
"17",0.9,0.74769,0.268022532242111
