"nodes","max.update","n.seeds","threshold","z","time","n.run","cascade.fraction"
10000,100,1,0.1,1.9998,11,1,0.0064
10000,100,1,0.1,1.9998,10,2,0.0021
10000,100,1,0.1,1.9998,5,3,8e-04
10000,100,1,0.1,1.9998,10,4,0.0048
10000,100,1,0.1,1.9998,9,5,0.0067
10000,100,1,0.1,1.9998,10,6,0.0045
10000,100,1,0.1,1.9998,6,7,0.0019
10000,100,1,0.1,1.9998,2,8,1e-04
10000,100,1,0.1,1.9998,5,9,8e-04
10000,100,1,0.1,1.9998,2,10,1e-04
10000,100,1,0.1,3.9994,16,1,1
10000,100,1,0.1,5.9988,12,1,1
10000,100,1,0.1,7.998,11,1,1
10000,100,1,0.1,9.997,11,1,1
10000,100,1,0.1,11.9958,11,1,1
10000,100,1,0.1,13.9944,20,1,1
10000,100,1,0.1,15.9928,20,1,1
10000,100,1,0.1,17.991,5,1,5e-04
10000,100,1,0.1,17.991,2,2,1e-04
10000,100,1,0.1,17.991,4,3,4e-04
10000,100,1,0.1,17.991,5,4,0.001
10000,100,1,0.1,17.991,4,5,3e-04
10000,100,1,0.1,17.991,6,6,0.0012
10000,100,1,0.1,17.991,2,7,1e-04
10000,100,1,0.1,17.991,2,8,1e-04
10000,100,1,0.1,17.991,6,9,0.0013
10000,100,1,0.1,17.991,2,10,1e-04
10000,100,1,0.1,19.989,3,1,3e-04
10000,100,1,0.1,19.989,3,2,2e-04
10000,100,1,0.1,19.989,3,3,3e-04
10000,100,1,0.1,19.989,3,4,7e-04
10000,100,1,0.1,19.989,2,5,1e-04
10000,100,1,0.1,19.989,3,6,2e-04
10000,100,1,0.1,19.989,3,7,2e-04
10000,100,1,0.1,19.989,2,8,1e-04
10000,100,1,0.1,19.989,3,9,2e-04
10000,100,1,0.1,19.989,2,10,1e-04
10000,100,1,0.1,21.9868,2,1,1e-04
10000,100,1,0.1,21.9868,2,2,1e-04
10000,100,1,0.1,21.9868,2,3,1e-04
10000,100,1,0.1,21.9868,2,4,1e-04
10000,100,1,0.1,21.9868,2,5,1e-04
10000,100,1,0.1,21.9868,2,6,1e-04
10000,100,1,0.1,21.9868,2,7,1e-04
10000,100,1,0.1,21.9868,2,8,1e-04
10000,100,1,0.1,21.9868,2,9,1e-04
10000,100,1,0.1,21.9868,2,10,1e-04
10000,100,1,0.1,23.9844,2,1,1e-04
10000,100,1,0.1,23.9844,2,2,1e-04
10000,100,1,0.1,23.9844,2,3,1e-04
10000,100,1,0.1,23.9844,2,4,1e-04
10000,100,1,0.1,23.9844,2,5,1e-04
10000,100,1,0.1,23.9844,2,6,1e-04
10000,100,1,0.1,23.9844,2,7,1e-04
10000,100,1,0.1,23.9844,2,8,1e-04
10000,100,1,0.1,23.9844,2,9,1e-04
10000,100,1,0.1,23.9844,2,10,1e-04
10000,100,1,0.1,25.9818,2,1,1e-04
10000,100,1,0.1,25.9818,2,2,1e-04
10000,100,1,0.1,25.9818,2,3,1e-04
10000,100,1,0.1,25.9818,2,4,1e-04
10000,100,1,0.1,25.9818,2,5,1e-04
10000,100,1,0.1,25.9818,2,6,1e-04
10000,100,1,0.1,25.9818,2,7,1e-04
10000,100,1,0.1,25.9818,2,8,1e-04
10000,100,1,0.1,25.9818,2,9,1e-04
10000,100,1,0.1,25.9818,2,10,1e-04
10000,100,1,0.1,27.979,2,1,1e-04
10000,100,1,0.1,27.979,2,2,1e-04
10000,100,1,0.1,27.979,2,3,1e-04
10000,100,1,0.1,27.979,2,4,1e-04
10000,100,1,0.1,27.979,2,5,1e-04
10000,100,1,0.1,27.979,2,6,1e-04
10000,100,1,0.1,27.979,2,7,1e-04
10000,100,1,0.1,27.979,2,8,1e-04
10000,100,1,0.1,27.979,2,9,1e-04
10000,100,1,0.1,27.979,2,10,1e-04
10000,100,1,0.1,29.976,2,1,1e-04
10000,100,1,0.1,29.976,2,2,1e-04
10000,100,1,0.1,29.976,2,3,1e-04
10000,100,1,0.1,29.976,2,4,1e-04
10000,100,1,0.1,29.976,2,5,1e-04
10000,100,1,0.1,29.976,2,6,1e-04
10000,100,1,0.1,29.976,2,7,1e-04
10000,100,1,0.1,29.976,2,8,1e-04
10000,100,1,0.1,29.976,2,9,1e-04
10000,100,1,0.1,29.976,2,10,1e-04
10000,100,1,0.12,1.9998,8,1,0.0011
10000,100,1,0.12,1.9998,5,2,6e-04
10000,100,1,0.12,1.9998,9,3,0.0063
10000,100,1,0.12,1.9998,6,4,0.0047
10000,100,1,0.12,1.9998,9,5,0.0068
10000,100,1,0.12,1.9998,2,6,1e-04
10000,100,1,0.12,1.9998,6,7,0.003
10000,100,1,0.12,1.9998,3,8,2e-04
10000,100,1,0.12,1.9998,5,9,5e-04
10000,100,1,0.12,1.9998,8,10,0.0014
10000,100,1,0.12,3.9994,15,1,1
10000,100,1,0.12,5.9988,14,1,1
10000,100,1,0.12,7.998,14,1,1
10000,100,1,0.12,9.997,21,1,1
10000,100,1,0.12,11.9958,2,1,1e-04
10000,100,1,0.12,11.9958,2,2,1e-04
10000,100,1,0.12,11.9958,2,3,1e-04
10000,100,1,0.12,11.9958,8,4,0.0014
10000,100,1,0.12,11.9958,21,5,1
10000,100,1,0.12,13.9944,3,1,2e-04
10000,100,1,0.12,13.9944,2,2,1e-04
10000,100,1,0.12,13.9944,4,3,4e-04
10000,100,1,0.12,13.9944,3,4,3e-04
10000,100,1,0.12,13.9944,3,5,2e-04
10000,100,1,0.12,13.9944,2,6,1e-04
10000,100,1,0.12,13.9944,10,7,0.003
10000,100,1,0.12,13.9944,5,8,5e-04
10000,100,1,0.12,13.9944,2,9,1e-04
10000,100,1,0.12,13.9944,4,10,5e-04
10000,100,1,0.12,15.9928,3,1,2e-04
10000,100,1,0.12,15.9928,2,2,1e-04
10000,100,1,0.12,15.9928,3,3,4e-04
10000,100,1,0.12,15.9928,2,4,1e-04
10000,100,1,0.12,15.9928,3,5,3e-04
10000,100,1,0.12,15.9928,3,6,2e-04
10000,100,1,0.12,15.9928,3,7,5e-04
10000,100,1,0.12,15.9928,2,8,1e-04
10000,100,1,0.12,15.9928,3,9,3e-04
10000,100,1,0.12,15.9928,3,10,2e-04
