"nodes","max.update","n.seeds","threshold","z","time","n.run","cascade.fraction"
10000,100,1,0.1,1.9998,10,1,0.0041
10000,100,1,0.1,1.9998,6,2,9e-04
10000,100,1,0.1,1.9998,5,3,6e-04
10000,100,1,0.1,1.9998,6,4,6e-04
10000,100,1,0.1,1.9998,6,5,7e-04
10000,100,1,0.1,1.9998,9,6,0.0034
10000,100,1,0.1,1.9998,5,7,0.0011
10000,100,1,0.1,1.9998,13,8,0.0088
10000,100,1,0.1,1.9998,11,9,0.0034
10000,100,1,0.1,1.9998,8,10,0.0024
10000,100,1,0.1,1.9998,3,11,3e-04
10000,100,1,0.1,1.9998,12,12,0.0098
10000,100,1,0.1,1.9998,7,13,0.0017
10000,100,1,0.1,1.9998,6,14,0.0019
10000,100,1,0.1,1.9998,11,15,0.0065
10000,100,1,0.1,1.9998,7,16,0.002
10000,100,1,0.1,1.9998,11,17,0.0073
10000,100,1,0.1,1.9998,4,18,5e-04
10000,100,1,0.1,1.9998,7,19,0.0028
10000,100,1,0.1,1.9998,5,20,7e-04
10000,100,1,0.1,1.9998,3,21,3e-04
10000,100,1,0.1,1.9998,10,22,0.0067
10000,100,1,0.1,1.9998,7,23,0.001
10000,100,1,0.1,1.9998,12,24,0.0056
10000,100,1,0.1,1.9998,10,25,0.0037
10000,100,1,0.1,3.9994,14,1,1
10000,100,1,0.1,5.9988,14,1,1
10000,100,1,0.1,7.998,12,1,1
10000,100,1,0.1,9.997,11,1,1
10000,100,1,0.1,11.9958,2,1,1e-04
10000,100,1,0.1,11.9958,12,2,1
10000,100,1,0.1,13.9944,13,1,1
10000,100,1,0.1,15.9928,18,1,1
10000,100,1,0.1,17.991,8,1,0.0014
10000,100,1,0.1,17.991,27,2,1
10000,100,1,0.1,19.989,3,1,0.0017
10000,100,1,0.1,19.989,3,2,2e-04
10000,100,1,0.1,19.989,3,3,2e-04
10000,100,1,0.1,19.989,3,4,4e-04
10000,100,1,0.1,19.989,3,5,2e-04
10000,100,1,0.1,19.989,3,6,4e-04
10000,100,1,0.1,19.989,2,7,1e-04
10000,100,1,0.1,19.989,2,8,1e-04
10000,100,1,0.1,19.989,3,9,2e-04
10000,100,1,0.1,19.989,3,10,2e-04
10000,100,1,0.1,19.989,3,11,2e-04
10000,100,1,0.1,19.989,2,12,1e-04
10000,100,1,0.1,19.989,3,13,3e-04
10000,100,1,0.1,19.989,2,14,1e-04
10000,100,1,0.1,19.989,3,15,4e-04
10000,100,1,0.1,19.989,3,16,4e-04
10000,100,1,0.1,19.989,3,17,4e-04
10000,100,1,0.1,19.989,2,18,1e-04
10000,100,1,0.1,19.989,3,19,2e-04
10000,100,1,0.1,19.989,2,20,1e-04
10000,100,1,0.1,19.989,2,21,1e-04
10000,100,1,0.1,19.989,3,22,3e-04
10000,100,1,0.1,19.989,3,23,2e-04
10000,100,1,0.1,19.989,3,24,4e-04
10000,100,1,0.1,19.989,2,25,1e-04
10000,100,1,0.1,21.9868,2,1,1e-04
10000,100,1,0.1,21.9868,2,2,1e-04
10000,100,1,0.1,21.9868,2,3,1e-04
10000,100,1,0.1,21.9868,2,4,1e-04
10000,100,1,0.1,21.9868,2,5,1e-04
10000,100,1,0.1,21.9868,2,6,1e-04
10000,100,1,0.1,21.9868,2,7,1e-04
10000,100,1,0.1,21.9868,2,8,1e-04
10000,100,1,0.1,21.9868,2,9,1e-04
10000,100,1,0.1,21.9868,2,10,1e-04
10000,100,1,0.1,21.9868,2,11,1e-04
10000,100,1,0.1,21.9868,2,12,1e-04
10000,100,1,0.1,21.9868,2,13,1e-04
10000,100,1,0.1,21.9868,2,14,1e-04
10000,100,1,0.1,21.9868,2,15,1e-04
10000,100,1,0.1,21.9868,2,16,1e-04
10000,100,1,0.1,21.9868,2,17,1e-04
10000,100,1,0.1,21.9868,2,18,1e-04
10000,100,1,0.1,21.9868,2,19,1e-04
10000,100,1,0.1,21.9868,2,20,1e-04
10000,100,1,0.1,21.9868,2,21,1e-04
10000,100,1,0.1,21.9868,2,22,1e-04
10000,100,1,0.1,21.9868,2,23,1e-04
10000,100,1,0.1,21.9868,2,24,1e-04
10000,100,1,0.1,21.9868,2,25,1e-04
10000,100,1,0.1,23.9844,2,1,1e-04
10000,100,1,0.1,23.9844,2,2,1e-04
10000,100,1,0.1,23.9844,2,3,1e-04
10000,100,1,0.1,23.9844,2,4,1e-04
10000,100,1,0.1,23.9844,2,5,1e-04
10000,100,1,0.1,23.9844,2,6,1e-04
10000,100,1,0.1,23.9844,2,7,1e-04
10000,100,1,0.1,23.9844,2,8,1e-04
10000,100,1,0.1,23.9844,2,9,1e-04
10000,100,1,0.1,23.9844,2,10,1e-04
10000,100,1,0.1,23.9844,2,11,1e-04
10000,100,1,0.1,23.9844,2,12,1e-04
10000,100,1,0.1,23.9844,2,13,1e-04
10000,100,1,0.1,23.9844,2,14,1e-04
10000,100,1,0.1,23.9844,2,15,1e-04
10000,100,1,0.1,23.9844,2,16,1e-04
