"nodes","max.update","n.seeds","threshold","z","time","n.run","cascade.fraction"
10000,100,1,0.1,1,2,1,1e-04
10000,100,1,0.1,1,2,2,1e-04
10000,100,1,0.1,1,3,3,2e-04
10000,100,1,0.1,1,2,4,1e-04
10000,100,1,0.1,1,2,5,1e-04
10000,100,1,0.1,1,2,6,1e-04
10000,100,1,0.1,1,2,7,1e-04
10000,100,1,0.1,1,6,8,6e-04
10000,100,1,0.1,1,4,9,3e-04
10000,100,1,0.1,1,7,10,0.0012
10000,100,1,0.1,1,2,11,1e-04
10000,100,1,0.1,1,5,12,7e-04
10000,100,1,0.1,1,6,13,8e-04
10000,100,1,0.1,1,73,14,0.1071
10000,100,1,0.1,2,30,1,0.8081
10000,100,1,0.1,3,16,1,0.9439
10000,100,1,0.1,4,13,1,0.9824
10000,100,1,0.1,5,11,1,0.994
10000,100,1,0.1,6,12,1,0.9978
10000,100,1,0.1,7,10,1,0.9994
10000,100,1,0.1,8,10,1,0.9997
10000,100,1,0.1,9,10,1,0.9999
10000,100,1,0.1,10,11,1,0.9999
10000,100,1,0.1,11,12,1,0.9997
10000,100,1,0.1,12,13,1,1
10000,100,1,0.1,13,17,1,1
10000,100,1,0.1,14,4,1,3e-04
10000,100,1,0.1,14,3,2,2e-04
10000,100,1,0.1,14,3,3,2e-04
10000,100,1,0.1,14,3,4,3e-04
10000,100,1,0.1,14,5,5,7e-04
10000,100,1,0.1,14,4,6,6e-04
10000,100,1,0.1,14,6,7,0.0013
10000,100,1,0.1,14,8,8,0.001
10000,100,1,0.1,14,8,9,7e-04
10000,100,1,0.1,14,2,10,1e-04
10000,100,1,0.1,14,2,11,1e-04
10000,100,1,0.1,14,6,12,0.001
10000,100,1,0.1,14,2,13,1e-04
10000,100,1,0.1,14,4,14,3e-04
10000,100,1,0.1,14,3,15,2e-04
10000,100,1,0.1,14,6,16,7e-04
10000,100,1,0.1,14,6,17,8e-04
10000,100,1,0.1,14,21,18,1
10000,100,1,0.1,15,2,1,1e-04
10000,100,1,0.1,15,9,2,0.0013
10000,100,1,0.1,15,2,3,1e-04
10000,100,1,0.1,15,5,4,7e-04
10000,100,1,0.1,15,3,5,3e-04
10000,100,1,0.1,15,6,6,6e-04
10000,100,1,0.1,15,3,7,2e-04
10000,100,1,0.1,15,3,8,2e-04
