"nodes","max.update","n.seeds","threshold","z","time","n.run","cascade.fraction"
10000,100,1,0.1,1,15,1,0.4156
10000,100,1,0.1,2,14,1,0.8292
10000,100,1,0.1,3,9,1,0.9424
10000,100,1,0.1,4,8,1,0.9825
10000,100,1,0.1,5,7,1,0.9918
10000,100,1,0.1,6,7,1,0.9978
10000,100,1,0.1,7,7,1,0.9992
10000,100,1,0.1,8,7,1,0.9997
10000,100,1,0.1,9,7,1,1
10000,100,1,0.1,10,6,1,0.9999
10000,100,1,0.1,11,6,1,1
10000,100,1,0.1,12,6,1,1
10000,100,1,0.1,13,6,1,1
10000,100,1,0.1,14,6,1,1
10000,100,1,0.1,15,6,1,1
10000,100,1,0.12,1,21,1,0.3597
10000,100,1,0.12,2,15,1,0.812
10000,100,1,0.12,3,13,1,0.9398
10000,100,1,0.12,4,10,1,0.9805
10000,100,1,0.12,5,9,1,0.9937
10000,100,1,0.12,6,8,1,0.9975
10000,100,1,0.12,7,7,1,0.9991
10000,100,1,0.12,8,7,1,0.9998
10000,100,1,0.12,9,6,1,0.9999
10000,100,1,0.12,10,7,1,1
10000,100,1,0.12,11,6,1,1
10000,100,1,0.12,12,6,1,1
10000,100,1,0.12,13,6,1,1
10000,100,1,0.12,14,6,1,1
10000,100,1,0.12,15,6,1,1
10000,100,1,0.14,1,23,1,0.3069
10000,100,1,0.14,2,14,1,0.8121
10000,100,1,0.14,3,13,1,0.9397
10000,100,1,0.14,4,10,1,0.9808
10000,100,1,0.14,5,9,1,0.9933
10000,100,1,0.14,6,8,1,0.9974
10000,100,1,0.14,7,7,1,0.9993
10000,100,1,0.14,8,7,1,0.9997
10000,100,1,0.14,9,7,1,0.9999
10000,100,1,0.14,10,7,1,1
10000,100,1,0.14,11,7,1,1
10000,100,1,0.14,12,7,1,1
10000,100,1,0.14,13,7,1,1
10000,100,1,0.14,14,6,1,1
10000,100,1,0.14,15,7,1,1
10000,100,1,0.16,1,19,1,0.25
10000,100,1,0.16,2,21,1,0.7983
10000,100,1,0.16,3,12,1,0.9429
10000,100,1,0.16,4,10,1,0.9827
10000,100,1,0.16,5,10,1,0.9927
10000,100,1,0.16,6,9,1,0.9976
10000,100,1,0.16,7,8,1,0.9991
10000,100,1,0.16,8,8,1,0.9999
10000,100,1,0.16,9,8,1,0.9999
10000,100,1,0.16,10,7,1,0.9999
10000,100,1,0.16,11,7,1,0.9999
10000,100,1,0.16,12,7,1,1
10000,100,1,0.16,13,7,1,1
10000,100,1,0.16,14,7,1,1
10000,100,1,0.16,15,7,1,1
10000,100,1,0.18,1,23,1,0.1851
10000,100,1,0.18,2,18,1,0.7905
10000,100,1,0.18,3,12,1,0.9407
10000,100,1,0.18,4,11,1,0.98
10000,100,1,0.18,5,10,1,0.9932
10000,100,1,0.18,6,9,1,0.9965
10000,100,1,0.18,7,9,1,0.9997
10000,100,1,0.18,8,9,1,0.9998
10000,100,1,0.18,9,8,1,1
10000,100,1,0.18,10,9,1,1
10000,100,1,0.18,11,8,1,1
10000,100,1,0.18,12,9,1,1
10000,100,1,0.18,13,8,1,1
10000,100,1,0.18,14,8,1,1
10000,100,1,0.18,15,8,1,1
10000,100,1,0.2,1,27,1,0.1222
10000,100,1,0.2,2,25,1,0.7911
10000,100,1,0.2,3,15,1,0.9419
10000,100,1,0.2,4,13,1,0.9796
10000,100,1,0.2,5,11,1,0.9935
10000,100,1,0.2,6,11,1,0.9965
10000,100,1,0.2,7,10,1,0.9992
10000,100,1,0.2,8,10,1,0.9999
10000,100,1,0.2,9,10,1,1
10000,100,1,0.2,10,10,1,1
10000,100,1,0.2,11,9,1,1
10000,100,1,0.2,12,10,1,1
10000,100,1,0.2,13,9,1,1
10000,100,1,0.2,14,9,1,1
10000,100,1,0.2,15,9,1,0.9999
10000,100,1,0.22,1,25,1,0.0698
10000,100,1,0.22,1,23,2,0.071
10000,100,1,0.22,1,17,3,0.0767
10000,100,1,0.22,1,29,4,0.0734
10000,100,1,0.22,1,29,5,0.0706
10000,100,1,0.22,1,27,6,0.0922
10000,100,1,0.22,1,21,7,0.0602
10000,100,1,0.22,1,30,8,0.0956
10000,100,1,0.22,1,13,9,0.0512
10000,100,1,0.22,1,26,10,0.0593
10000,100,1,0.22,2,25,1,0.7714
10000,100,1,0.22,3,16,1,0.9364
10000,100,1,0.22,4,15,1,0.9778
10000,100,1,0.22,5,14,1,0.9934
10000,100,1,0.22,6,12,1,0.9965
10000,100,1,0.22,7,13,1,0.9987
10000,100,1,0.22,8,12,1,0.9992
10000,100,1,0.22,9,11,1,0.9998
10000,100,1,0.22,10,12,1,0.9999
10000,100,1,0.22,11,14,1,1
10000,100,1,0.22,12,13,1,1
10000,100,1,0.22,13,14,1,1
10000,100,1,0.22,14,13,1,1
10000,100,1,0.22,15,13,1,1
10000,100,1,0.24,1,22,1,0.0408
10000,100,1,0.24,1,15,2,0.0417
10000,100,1,0.24,1,19,3,0.0332
10000,100,1,0.24,1,28,4,0.0531
10000,100,1,0.24,1,33,5,0.0507
