network,eta,clus,diam,m
scale-free,0.609109090909091,0.00720287531389978,7,30000
scale-free,0.5987,0.00885929773300692,6,37500
scale-free,0.589515789473684,0.0116285183497494,5,50000
scale-free,0.580391666666667,0.0143979608715921,5,62500
scale-free,0.576924137931035,0.0168975733082544,4,75000
scale-free,0.573107692307692,0.0227392339303174,4,1e+05
scale-free,0.572983673469388,0.0276434960671222,4,125000
erdosrenie,0.611272727272727,0.00248063908366191,6,30000
erdosrenie,0.624328571428571,0.00313982098919516,5,37500
erdosrenie,0.634884210526316,0.00401705623878734,5,50000
erdosrenie,0.647425,0.00486659264923738,4,62500
erdosrenie,0.660696551724138,0.00603961614884032,4,75000
erdosrenie,0.680225641025641,0.00793974246780848,4,1e+05
erdosrenie,0.698163265306123,0.00991275336925606,3,125000
small-world,0.642654545454546,0.660387469459305,20,30000
small-world,0.633615384615385,0.671818792742223,17,35000
small-world,0.636957894736842,0.688110978786438,12,50000
small-world,0.644165217391304,0.695237833104328,10,60000
small-world,0.647958620689655,0.701501852899582,8,75000
small-world,0.703061538461539,0.708040386370843,7,1e+05
small-world,0.704563265306122,0.712176121316904,6,125000
barabasis,0.59177917682594,0.011100532559869,5,29979
barabasis,0.583779871889628,0.0125898075853372,5,34972
barabasis,0.566013278533038,0.0173900137995596,4,49945
barabasis,0.557260283515029,0.0205322237477859,4,59922
barabasis,0.554697430229345,0.0247935700592007,4,74880
barabasis,0.551207729468599,0.0307946938269406,4,99790
barabasis,0.536922447309188,0.0372502062747781,4,124675
