# source, target
0,3490
1,701
1,2914
1,2828
1,286
1,293
1,3561
1,725
1,2497
1,1239
1,1800
1,189
1,5727
1,5527
1,86
1,913
1,2685
1,4001
1,1673
1,5006
1,4200
1,6461
1,2548
1,6301
1,5696
1,914
1,1740
1,4550
1,6453
1,6338
1,6201
1,5650
1,71
1,33
1,6134
1,4069
1,3
1,3360
1,6172
1,200
1,1619
1,209
1,1691
1,919
1,155
1,3847
1,2113
1,3356
1,3914
1,6467
1,32
1,174
1,5646
1,226
1,3161
1,3182
1,4565
1,688
1,436
1,2856
1,3549
1,1833
1,3137
1,3967
1,3303
1,5413
1,2950
1,3257
1,882
1,1621
1,2666
1,3410
1,2667
1,1581
1,2597
1,3126
1,6132
1,6135
1,5814
1,1288
1,4079
1,1369
1,6141
1,3495
1,1391
1,4544
1,3491
1,5737
1,6227
1,166
1,6007
1,567
1,4006
1,3932
1,46
1,199
1,5691
1,6
1,48
1,2637
1,1244
1,297
1,1004
1,1256
1,5892
1,600
1,5330
1,6415
1,3450
1,3479
1,601
1,5723
1,3527
1,63
1,3749
1,1923
1,89
1,744
1,4648
1,3404
1,70
1,4911
1,2326
1,220
1,1185
1,3422
1,2087
1,1236
1,1043
1,3292
1,691
1,2551
1,3209
1,668
1,5406
1,5693
1,144
1,5452
1,6261
1,3651
1,1099
1,4156
1,1141
1,763
1,3381
1,625
1,2670
1,4125
1,1746
1,4010
1,1830
1,3481
1,290
1,306
1,728
1,936
1,2143
1,300
1,295
1,2014
1,935
1,5886
1,2142
1,2141
1,6350
1,2013
1,5238
1,3614
1,1786
1,1311
1,109
1,4355
1,4504
1,5000
1,1513
1,110
1,1668
1,2166
1,5159
1,792
1,2041
1,461
1,2065
1,367
1,2024
1,2714
1,6221
1,5764
1,1617
1,6370
1,895
1,773
1,2511
1,4583
1,3134
1,5968
1,6113
1,1125
1,757
1,4436
1,301
1,708
1,1173
1,5684
1,3529
1,1684
1,4497
1,153
1,653
1,4527
1,3147
1,4454
1,90
1,5297
1,3578
1,157
1,2010
1,3720
1,5917
1,2110
1,4278
1,3900
1,1669
1,2111
1,6245
1,126
1,1947
1,6202
1,4731
1,1576
1,3880
1,5243
1,1083
1,201
1,2974
1,273
1,6442
1,5143
1,946
1,2071
1,680
1,512
1,5462
1,6320
1,202
1,3178
1,2699
1,5390
1,4000
1,6139
1,727
1,2171
1,1993
1,6024
1,2001
1,883
1,6070
1,3737
1,1346
1,2035
1,1894
1,898
1,3645
1,900
1,5585
1,240
1,5662
1,6352
1,1530
1,3357
1,5988
1,502
1,5091
1,2180
1,296
1,6469
1,2152
1,2195
1,1764
1,2093
1,3796
1,6300
1,5205
1,4335
1,6041
1,4568
1,5659
1,1147
1,848
1,6432
1,3418
1,1579
1,5258
1,6433
1,5760
1,6150
1,1028
1,4421
1,2679
1,4257
1,2101
1,6425
1,5528
1,2473
1,6316
1,612
1,6073
1,171
1,1090
1,5779
1,6170
1,5249
1,871
1,5907
1,2149
1,6160
1,5865
1,1013
1,134
1,5190
1,5152
1,784
1,5736
1,1138
1,5825
1,6274
1,1718
1,5790
1,3703
1,2600
1,1067
1,904
1,1073
1,6379
1,1886
1,962
1,2112
1,591
1,735
1,2227
1,4139
1,1181
1,2904
1,5586
1,4574
1,4168
1,5819
1,1062
1,1165
1,1870
1,5766
1,3791
1,857
1,5267
1,4247
1,748
1,1101
1,4963
1,6019
1,4124
1,4127
1,1199
1,4131
1,4957
1,3837
1,3775
1,3522
1,931
1,4067
1,930
1,2817
1,2720
1,925
1,2114
1,2122
1,4137
1,4126
1,4407
1,2779
2,5696
2,1146
3,145
3,293
4,1052
6,3215
7,786
8,114
8,4557
9,5050
9,9
9,145
12,145
12,1423
12,1785
13,668
13,913
13,213
14,14
14,1785
14,145
14,1423
16,293
17,701
17,1423
18,601
18,145
18,3354
20,145
20,1423
21,21
22,913
22,5855
22,5881
24,297
24,5932
25,1055
25,1852
25,293
26,1785
26,145
27,2548
27,6087
29,145
31,226
31,1052
31,293
32,2828
32,1055
32,3196
33,701
33,3557
33,2497
33,2828
34,3932
34,1423
35,1633
35,35
35,5949
37,3739
37,3520
38,1225
38,5646
38,293
38,1224
39,39
40,5508
41,297
43,293
43,1785
45,293
46,701
46,145
47,1052
