# index, as_id, _pos
0,6474,"array([-1.99611808,  0.70907996])"
1,1,"array([-1.55002715,  0.79089158])"
2,2,"array([-1.85927051,  0.96890109])"
3,3,"array([-1.32575254,  0.7184572 ])"
4,4,"array([-1.04958321,  0.52602621])"
5,6475,"array([-1.56786698,  0.59335811])"
6,6,"array([-1.38983529,  1.21330034])"
7,7,"array([-1.11332122,  1.4500778 ])"
8,8,"array([-1.15764928,  0.41290376])"
9,9,"array([-1.24505362,  0.35476149])"
10,11066,"array([-1.28301231,  0.74656692])"
11,6477,"array([-1.99162514,  0.55188987])"
12,12,"array([-1.18785191,  0.47912297])"
13,13,"array([-1.12117985,  0.62192815])"
14,14,"array([-1.18274969,  0.49970862])"
15,11067,"array([-1.87390731,  0.53528325])"
16,16,"array([-1.2742576 ,  1.02768148])"
17,17,"array([-1.48892953,  0.53701858])"
18,18,"array([-1.35573826,  0.29061606])"
19,6479,"array([-1.90375163,  0.51657359])"
20,20,"array([-1.20672494,  0.33963805])"
21,6480,"array([-1.78021313,  0.80903079])"
22,22,"array([-0.84556242,  0.43102239])"
23,6481,"array([-1.63722448,  1.16401527])"
24,24,"array([-1.31210071,  1.03109589])"
25,25,"array([-1.22925434,  0.77396726])"
26,26,"array([-1.14053687,  0.5209787 ])"
27,27,"array([-1.5746173 ,  0.39940989])"
28,6482,"array([-1.47702844,  0.67321485])"
29,29,"array([-1.20702854,  0.27617218])"
30,11068,"array([-1.86517841,  0.78758726])"
31,31,"array([-1.34350075,  0.89135546])"
32,32,"array([-1.35042402,  0.94251294])"
33,33,"array([-1.67403868,  0.98972959])"
34,34,"array([-1.30967632,  0.62144587])"
35,6484,"array([-1.88003429,  0.94447672])"
36,6485,"array([-1.57533351,  0.81069187])"
37,37,"array([-1.05635333,  0.30603292])"
38,38,"array([-1.70367272,  0.77976884])"
39,11069,"array([-1.89786943,  0.44877163])"
40,6487,"array([-1.60739109,  0.95066402])"
41,41,"array([-1.15152019,  0.81900999])"
42,6488,"array([-2.18075961,  0.31652963])"
43,43,"array([-1.23879608,  0.84680979])"
44,6489,"array([-1.74001258,  1.14898824])"
45,45,"array([-1.23714297,  0.95594191])"
46,46,"array([-1.39568279,  0.69469917])"
47,47,"array([-1.02457415,  0.56619111])"
48,48,"array([-1.19272919,  0.6768471 ])"
49,49,"array([-1.96829515,  0.54569344])"
50,50,"array([-1.32705182,  0.69189777])"
51,11070,"array([-2.25729969,  0.45921752])"
52,52,"array([-1.29179467,  0.56428428])"
53,11071,"array([-2.00357966,  0.39202573])"
54,13722,"array([-2.04588014,  0.47884672])"
55,55,"array([-1.13854555,  0.4382349 ])"
56,6493,"array([-1.75539839,  1.13790567])"
57,6494,"array([-1.3679597 ,  0.68714082])"
58,6495,"array([-1.01317778,  0.21827709])"
59,6496,"array([-1.83871059,  1.18521351])"
60,11073,"array([-1.64260178,  0.26007341])"
61,11074,"array([-1.99571753,  0.89907362])"
62,6499,"array([-1.88963744,  0.36524965])"
63,63,"array([-1.56082881,  0.50260408])"
64,11075,"array([-1.18393532,  0.85940339])"
65,6501,"array([-1.41390706,  0.30630891])"
66,11076,"array([-2.04388946,  0.93403893])"
67,6503,"array([-1.1228498 ,  0.53937016])"
68,68,"array([-1.26515103,  0.97801166])"
69,6504,"array([-1.62773417,  0.6728884 ])"
70,70,"array([-1.60611398,  0.48676813])"
71,71,"array([-1.66671956,  0.6524551 ])"
72,72,"array([-1.64710856,  1.38156446])"
73,73,"array([-1.63956319,  0.67725024])"
74,74,"array([-1.16289397,  1.04477076])"
75,6505,"array([-1.84611606,  1.57626603])"
76,6506,"array([-1.50400286,  0.75245329])"
77,77,"array([-1.41241371,  0.75157073])"
