"","alpha","g_ratio","g_ratio_sd","type"
"1",0,0.0837194933580476,0,"Betw Targeted"
"2",0.05,0.0756873648439914,0,"Betw Targeted"
"3",0.1,0.100710534445474,0,"Betw Targeted"
"4",0.15,0.115693543404387,0,"Betw Targeted"
"5",0.2,0.229842446709917,0,"Betw Targeted"
"6",0.25,0.299042323138709,0,"Betw Targeted"
"7",0.3,0.424776027185666,0,"Betw Targeted"
"8",0.4,0.612449799196787,0,"Betw Targeted"
"9",0.5,0.761507568736484,0,"Betw Targeted"
"10",0.6,0.787920914426939,0,"Betw Targeted"
"11",0.7,0.805993203583565,0,"Betw Targeted"
"12",0.8,0.81371640407785,0,"Betw Targeted"
"13",0.9,0.82375656472042,0,"Betw Targeted"
"14",1,0.830707445165277,0,"Betw Targeted"
"15",0,0.799938214396046,0.396202178630054,"Random"
"16",0.05,0.997652147049737,0.00388070651774905,"Random"
"17",0.1,0.999845535990114,0,"Random"
"18",0.15,0.99978375038616,0.000138156810472622,"Random"
"19",0.2,0.945319740500463,0.121923385242111,"Random"
"20",0.25,0.999443929564411,0.000898019268072216,"Random"
"21",0.3,0.999598393574297,0.000552627241890587,"Random"
"22",0.4,0.999845535990114,0,"Random"
"23",0.5,0.999845535990114,0,"Random"
"24",0.6,0.999845535990114,0,"Random"
"25",0.7,0.995304294099475,0.0101545255697395,"Random"
"26",0.8,0.99978375038616,0.000138156810472622,"Random"
"27",0.9,0.999814643188137,6.90784052363358e-05,"Random"
"28",1,0.999845535990114,0,"Random"
"29",0,0.104139635464937,0.0492703147833338,"Deg targeted"
"30",0.05,0.687086808773556,0.208605157960129,"Deg targeted"
"31",0.1,0.761816496756256,0.343901222642832,"Deg targeted"
"32",0.15,0.943466172381835,0.0370357863998393,"Deg targeted"
"33",0.2,0.90960766141489,0.0434213415258725,"Deg targeted"
"34",0.25,0.832097621254248,0.298477449467627,"Deg targeted"
"35",0.3,0.805375347544022,0.216183846303467,"Deg targeted"
"36",0.4,0.976305220883534,0.0111522587258508,"Deg targeted"
"37",0.5,0.958541859746679,0.0167924474029311,"Deg targeted"
"38",0.6,0.969663268458449,0.0291858510228588,"Deg targeted"
"39",0.7,0.973710225517454,0.023167129926873,"Deg targeted"
"40",0.8,0.974420759962929,0.0203897173722966,"Deg targeted"
"41",0.9,0.947451343836886,0.0693042161272536,"Deg targeted"
"42",1,0.944763670064875,0.0652639780129605,"Deg targeted"
