# index, label, _pos
0,8001,"array([0.94881901, 8.18513986])"
1,64666,"array([0.94142618, 8.17809085])"
2,7018,"array([0.94626582, 8.21284421])"
3,701,"array([0.94333117, 8.20656304])"
4,703,"array([0.92517387, 8.1855316 ])"
5,80,"array([0.91258612, 8.20094256])"
6,2914,"array([0.94045034, 8.18687448])"
7,3277,"array([0.94955646, 8.15152532])"
8,3267,"array([0.94546748, 8.1441598 ])"
9,3343,"array([0.94905309, 8.15805901])"
10,1299,"array([0.9576931 , 8.17280354])"
11,4513,"array([0.95079177, 8.1820944 ])"
12,5650,"array([0.93837024, 8.1927012 ])"
13,3292,"array([0.95171243, 8.17741304])"
14,1239,"array([0.9532058 , 8.20357444])"
15,6939,"array([0.94907741, 8.18391742])"
16,2905,"array([0.94345983, 8.1795204 ])"
17,12956,"array([0.95298357, 8.18882737])"
18,16150,"array([0.95088231, 8.17745961])"
19,6395,"array([0.94024722, 8.19851607])"
20,286,"array([0.95424034, 8.17746602])"
21,3333,"array([0.95283007, 8.17848071])"
22,3356,"array([0.95324834, 8.191124  ])"
23,6539,"array([0.94331115, 8.18571207])"
24,2828,"array([0.93873333, 8.19860867])"
25,1668,"array([0.947672  , 8.19107274])"
26,6461,"array([0.94994681, 8.18345985])"
27,6079,"array([0.94663876, 8.18979471])"
28,852,"array([0.9409974 , 8.18886528])"
29,7500,"array([0.9391485 , 8.17784804])"
30,2518,"array([0.93510613, 8.18049107])"
31,10026,"array([0.92936694, 8.18566222])"
32,5056,"array([0.94690814, 8.21812913])"
33,11608,"array([0.94132373, 8.18804737])"
34,293,"array([0.942443  , 8.18979688])"
35,8075,"array([0.94505903, 8.18842711])"
36,5511,"array([0.95396206, 8.18303376])"
37,3257,"array([0.95701783, 8.18145719])"
38,3303,"array([0.95352758, 8.18007167])"
39,3549,"array([0.95462818, 8.19061812])"
40,1221,"array([0.9142118 , 8.18667991])"
41,4637,"array([0.93911313, 8.18401805])"
42,6453,"array([0.95137103, 8.18063147])"
43,14608,"array([0.93471502, 8.19506758])"
44,19029,"array([0.94308053, 8.19094653])"
45,2497,"array([0.93958346, 8.18189259])"
46,2493,"array([0.93447808, 8.17639054])"
47,3602,"array([0.94034281, 8.18508057])"
48,812,"array([0.94662202, 8.18898375])"
49,2603,"array([0.95462895, 8.17012834])"
50,3561,"array([0.95391013, 8.19774202])"
51,7660,"array([0.93031081, 8.17876753])"
52,2516,"array([0.93950414, 8.18312549])"
53,13716,"array([0.95275666, 8.20952714])"
54,209,"array([0.94044539, 8.2123067 ])"
55,4323,"array([0.93540426, 8.19745015])"
56,1103,"array([0.94842364, 8.17596697])"
57,1273,"array([0.95779894, 8.1780569 ])"
58,174,"array([0.95799522, 8.19195469])"
59,21889,"array([0.96237469, 8.20129144])"
60,5459,"array([0.9512793 , 8.17923958])"
61,14135,"array([0.95776085, 8.19846815])"
62,6320,"array([0.94994796, 8.17925086])"
