"","alpha","mean","err","mean_random","err_mean_random"
"1",0,0.005925,0.00340728856785207,0.536925,0.230982115802312
"2",0.05,0.00765,0.00611240856467714,0.96235,0.0659423018970917
"3",0.1,0.008975,0.00605736466350398,0.979875,0.0503022594690567
"4",0.2,0.02365,0.0484834362410874,0.992825,0.0175672882194326
"5",0.3,0.05485,0.0850711768356658,0.997025,0.00480644599230274
"6",0.4,0.07405,0.119066658770494,0.9944,0.0114708102233228
"7",0.5,0.1184,0.150416993038924,0.9966,0.00930618763001952
"8",0.6,0.200125,0.206536541436904,0.997725,0.0036513959395952
"9",0.7,0.2525,0.211213465965426,0.997725,0.00319444630248924
"10",0.8,0.241825,0.229042363957368,0.997875,0.00271923348928164
"11",0.9,0.280875,0.230397670427593,0.997425,0.00365069364676963
"12",1,0.276975,0.194020814043368,0.9982,0.00204061328136974
"13",1.1,0.304575,0.252060726047087,0.99845,0.00106096231113128
"14",1.2,0.318575,0.279163116318794,0.998525,0.00117642439577491
"15",1.5,0.395375,0.294035205244333,0.9988,0.000607643620250201
