"","alpha","mean","err","c"
"1",0.001,0.01419,0.00824096953928168,"er"
"2",0.01,0.01226,0.0124017146522483,"er"
"3",0.03,0.01959,0.0116688474152334,"er"
"4",0.05,0.02819,0.0134875342056051,"er"
"5",0.08,0.02883,0.0182709749689443,"er"
"6",0.1,0.03592,0.0288120881064291,"er"
"7",0.15,0.15099,0.213616444025021,"er"
"8",0.2,0.21696,0.254649353136095,"er"
"9",0.25,0.43151,0.262632049793903,"er"
"10",0.3,0.40893,0.284564422638493,"er"
"11",0.35,0.55282,0.302913598242139,"er"
"12",0.4,0.58798,0.305620493250595,"er"
"13",0.45,0.57559,0.263532388701535,"er"
"14",0.5,0.66655,0.23370844522272,"er"
"15",0.55,0.64873,0.31345269952914,"er"
"16",0.6,0.65946,0.267181523943633,"er"
"17",0.65,0.6743,0.348470096882147,"er"
"18",0.7,0.72497,0.223224883304518,"er"
"19",0.75,0.76297,0.221947582953605,"er"
"20",0.8,0.69262,0.285316466217316,"er"
"21",0.85,0.85489,0.141674533981755,"er"
"22",0.9,0.74769,0.268022532242111,"er"
