"","alpha","mean","err","mean_random","err_mean_random"
"1",0,0.0144396569494737,0.00830333071654462,0.99975,NA
"2",0.05,0.325917569099629,0.375156222865395,0.99975,NA
"3",0.1,0.997443476494124,0.00175474678059751,0.99975,NA
"4",0.2,0.998993649957791,0.000440309147627755,0.99975,NA
"5",0.3,0.99916868592148,0.000242807921078252,0.99975,NA
"6",0.4,0.999181137455448,0.000178944176271652,0.99975,NA
"7",0.5,0.999199928090601,0.000151944739123584,0.99975,NA
"8",0.6,0.999237435916789,5.52236636033891e-05,0.99975,NA
"9",0.7,0.999249929665226,1.09844228647517e-07,0.99975,NA
"10",0.8,0.999249943733588,9.68567161385865e-08,0.99975,NA
"11",0.9,0.999224915585133,9.47103657604764e-05,0.99975,NA
"12",1,0.999249910905847,1.2734612417503e-07,0.99975,NA
"13",1.1,0.999249910908192,1.20049459329178e-07,0.99975,NA
"14",1.2,0.999243671849991,3.95970469188423e-05,0.99975,NA
"15",1.5,0.999249915594517,1.27091280986794e-07,0.99975,NA
