"","alpha","mean","err","c"
"1",0.001,0.013290850271695,0.00550821439591871,"er"
"2",0.01,0.0105912803889309,0.0064742455197922,"er"
"3",0.03,0.160990962274888,0.361165869720874,"er"
"4",0.05,0.995809707904766,0.00565271489454313,"er"
"5",0.08,0.999029923971989,0.00110947268271761,"er"
"6",0.1,0.999299951990398,0.000552550467655978,"er"
"7",0.15,0.999739977992397,0.000268322979231693,"er"
"8",0.2,0.999659985996399,0.000234859153663175,"er"
"9",0.25,0.999789979992797,4.47354960565905e-05,"er"
"10",0.3,0.999799979991996,3.555800157956e-08,"er"
"11",0.35,0.999739983996799,0.000195751941417981,"er"
"12",0.4,0.999779985997199,8.94394252648779e-05,"er"
"13",0.45,0.999749975991997,0.000157335751451709,"er"
"14",0.5,0.999799977994799,2.41990724654036e-08,"er"
"15",0.55,0.999799975992798,3.01682082778191e-08,"er"
"16",0.6,0.999799975993598,2.72311943919389e-08,"er"
"17",0.65,0.999799977994799,2.41990724654036e-08,"er"
"18",0.7,0.999799979994398,2.75390681871639e-08,"er"
"19",0.75,0.999769983996799,9.78669353987065e-05,"er"
"20",0.8,0.999799985995598,2.68423285897397e-08,"er"
"21",0.85,0.999799985996399,2.34927840935585e-08,"er"
"22",0.9,0.999799985997199,1.95783350534349e-08,"er"
