"","alpha","mean","err"
"1",0.1,0.999299951990398,0.000552550467655978
"2",0.15,0.999739977992397,0.000268322979231693
"3",0.2,0.999659985996399,0.000234859153663175
"4",0.25,0.999789979992797,4.47354960565905e-05
"5",0.3,0.999799979991996,3.555800157956e-08
"6",0.35,0.999739983996799,0.000195751941417981
"7",0.4,0.999779985997199,8.94394252648779e-05
"8",0.45,0.999749975991997,0.000157335751451709
"9",0.5,0.999799977994799,2.41990724654036e-08
"10",0.55,0.999799975992798,3.01682082778191e-08
"11",0.6,0.999799975993598,2.72311943919389e-08
"12",0.65,0.999799977994799,2.41990724654036e-08
"13",0.7,0.999799979994398,2.75390681871639e-08
"14",0.75,0.999769983996799,9.78669353987065e-05
"15",0.8,0.999799985995598,2.68423285897397e-08
"16",0.85,0.999799985996399,2.34927840935585e-08
"17",0.9,0.999799985997199,1.95783350534349e-08
