"","alpha","mean","err","mean_random","err_mean_random"
"1",0,0.007525,0.00253172182212331,0.347025,0.181695785128146
"2",0.05,0.0102,0.00397556640054322,0.8831,0.192031220752225
"3",0.1,0.013975,0.00763422623822547,0.94965,0.0796889948326361
"4",0.2,0.045525,0.0306752949121719,0.988425,0.0196428201797854
"5",0.3,0.09245,0.0777299566051992,0.9959,0.00706671504579473
"6",0.4,0.196175,0.131065434333096,0.998475,0.00126059611458332
"7",0.5,0.333225,0.153977935065968,0.99835,0.00144204271070145
"8",0.6,0.453275,0.160711875887509,0.994725,0.0198649123730698
"9",0.7,0.538475,0.141759092775791,0.998425,0.00158336707116552
"10",0.8,0.636425,0.12656930553086,0.997075,0.00489577264010389
"11",0.9,0.644625,0.12146830070814,0.998675,0.00102250321295966
"12",1,0.687375,0.144512210024461,0.998775,0.0011432634351064
"13",1.1,0.759275,0.0915728622604104,0.998675,0.000916724939872706
"14",1.2,0.765425,0.0933306467104167,0.998225,0.00140489072483163
"15",1.5,0.823375,0.0788080067193488,0.99885,0.000699816825850587
