"","alpha","mean","err","mean_random","err_mean_random"
"1",0,0.00675,0.00162906296804211,0.00305,0.0017823925148303
"2",0.05,0.009125,0.00328311531229809,0.6519,0.47883656009337
"3",0.1,0.011225,0.00322241747124335,0.70245,0.457671920899117
"4",0.2,0.007975,0.00351179331790644,0.99735,0.0041109609582189
"5",0.3,0.0106,0.00557834641430135,0.97395,0.149374413420155
"6",0.4,0.0158,0.00823438693559686,0.9988,0.00088288571145261
"7",0.5,0.015775,0.00757014209127222,0.998425,0.00135660776032891
"8",0.6,0.02265,0.0135392118090477,0.998975,0.000158113883008419
"9",0.7,0.03055,0.0197470543080773,0.998775,0.000919517710820636
"10",0.8,0.037375,0.0363816574663662,0.9981,0.00243689588174414
"11",0.9,0.070925,0.129887601804653,0.998925,0.000474341649025257
"12",1,0.142975,0.226291675577997,0.998775,0.000800240348510756
"13",1.1,0.296925,0.368665117131718,0.998975,0.000158113883008419
"14",1.2,0.44755,0.404400154074383,0.999,0
"15",1.5,0.798275,0.260430707108682,0.9989,0.000632455532033676
