"","alpha","mean","err","mean_random","err_mean_random"
"1",0,0.2037,0.064238792399761,0.99666,0.00777649519713222
"2",0.04,0.19904,0.0526827083121401,0.99124,0.0307906426283926
"3",0.08,0.20826,0.0599097314162511,0.98612,0.07509086740308
"4",0.1,0.20516,0.0536376200601246,0.9952,0.0134224910246244
"5",0.12,0.21008,0.0558199876424938,0.99472,0.0136352484392474
"6",0.15,0.19762,0.0579253178582525,0.9968,0.00561339505839672
"7",0.16,0.19712,0.0536978090230649,0.99546,0.0088044747435724
"8",0.2,0.21526,0.0689651819872217,0.99662,0.00608742430703476
"9",0.24,0.20196,0.0622001246799722,0.99744,0.00355229158575195
"10",0.25,0.19698,0.0587055919875802,0.99362,0.0199682298685094
"11",0.28,0.19078,0.0510055179087798,0.98604,0.0737651983647839
"12",0.3,0.20004,0.0596462223173831,0.99684,0.00348384024564027
"13",0.32,0.2024,0.0548627229304829,0.99744,0.00333906989371323
"14",0.35,0.1956,0.0565057338611196,0.99694,0.00570860431850958
"15",0.36,0.20344,0.0559687084586612,0.9979,0.00256546928515257
"16",0.4,0.21298,0.060156086091746,0.99728,0.00436142646577087
"17",0.44,0.1954,0.0551672780860953,0.99512,0.0129404286589568
"18",0.45,0.18152,0.0450923044251161,0.995,0.0148268922803761
"19",0.48,0.20166,0.0548707609584856,0.9969,0.00565775609951796
"20",0.5,0.2001,0.0508074596804807,0.99594,0.00617238749163878
"21",0.55,0.19144,0.0586299916285799,0.99552,0.0131494393455402
"22",0.6,0.2024,0.0573467789960734,0.99732,0.00388319245897875
"23",0.65,0.19814,0.0594937863330693,0.99728,0.00509517578956121
"24",0.7,0.20268,0.060692076610257,0.99306,0.0297934453824176
"25",0.75,0.2126,0.0701060421280302,0.99594,0.0139714139643511
"26",0.8,0.20732,0.0599460437665848,0.99798,0.00154510418379329
"27",0.85,0.19994,0.0643363007316766,0.9911,0.0289765915377026
"28",0.9,0.18816,0.0502562251195343,0.99764,0.00264775607730357
"29",0.95,0.1998,0.0630370801147052,0.99726,0.00413452363813363
"30",1,0.19584,0.0537839062492543,0.99802,0.00259111511728453
"31",1.1,0.1959,0.058076743738482,0.99604,0.0113945207025489
"32",1.2,0.20378,0.0665224497935142,0.9978,0.00256347977784663
"33",1.5,0.19212,0.0502047399990016,0.99734,0.00340833312542621
"34",1.7,0.20932,0.0607787691180909,0.998,0.00227676820721561
"35",2,0.20238,0.0572976083128026,0.99682,0.00518903868254801
