"","alpha","mean","err","mean_random","err_mean_random"
"1",0,0.02922,0.0199338600253489,0.74334,0.35471170299963
"2",0.04,0.03622,0.0185893210511535,0.94228,0.132812748343105
"3",0.08,0.0484,0.0264590557778062,0.97522,0.0709404147787394
"4",0.1,0.06036,0.0425132680369749,0.97498,0.0789255629678745
"5",0.12,0.06332,0.0359412445697765,0.9816,0.0492676985706556
"6",0.15,0.09426,0.0572943741227919,0.98916,0.0285316580346127
"7",0.16,0.09382,0.0635942783974939,0.99394,0.0161313612670019
"8",0.2,0.1049,0.0635713483145561,0.99164,0.0274499618973008
"9",0.24,0.11848,0.0661304338842131,0.99096,0.026690180109653
"10",0.25,0.12162,0.0688547391400245,0.98096,0.076332505713958
"11",0.28,0.14452,0.0916237292141181,0.9968,0.00503862631101383
"12",0.3,0.16146,0.115254502767412,0.99658,0.00649674957975455
"13",0.32,0.17036,0.10929958081963,0.9975,0.00507997268191273
"14",0.35,0.17764,0.120491808511481,0.99012,0.042351608889276
"15",0.36,0.21084,0.149613155593118,0.99774,0.00386934577605749
"16",0.4,0.21628,0.155117866969157,0.99786,0.00242445028484262
"17",0.44,0.2139,0.146815620867169,0.99714,0.00417480294047956
"18",0.45,0.23646,0.177888087956262,0.99782,0.00384224636675697
"19",0.48,0.30378,0.193460568149097,0.99752,0.00392916878575339
"20",0.5,0.3642,0.211944255281757,0.99738,0.0034040192330208
"21",0.55,0.33762,0.229634304661893,0.99752,0.00283736008375708
"22",0.6,0.38104,0.226027446409971,0.99644,0.00694632482478531
"23",0.65,0.36884,0.211727911649429,0.99694,0.00499963263956586
"24",0.7,0.40124,0.24238589236242,0.99794,0.00280967715481436
"25",0.75,0.47416,0.257066048846182,0.99786,0.00225886010624648
"26",0.8,0.5367,0.237462714581314,0.99688,0.0100603079435158
"27",0.85,0.58426,0.235422226856258,0.99796,0.00185119928033429
"28",0.9,0.5779,0.256251490787102,0.99802,0.00218052605523324
"29",0.95,0.62456,0.229355544328638,0.99708,0.0040296857628032
"30",1,0.58976,0.230463026385171,0.99494,0.0178101209474631
"31",1.1,0.70234,0.187704240870622,0.99708,0.00674866577894612
"32",1.2,0.6619,0.217376683314885,0.99808,0.00191492526629898
"33",1.5,0.73968,0.212916428944048,0.99838,0.00139810367196107
"34",1.7,0.75746,0.205666483533364,0.99762,0.00363593179253957
"35",2,0.78822,0.234238086622329,0.99802,0.00341957152107616
