"","alpha","mean","err","mean_random","err_mean_random"
"1",0,0.0108,0.00619677335393187,0.3782,0.217544784661304
"2",0.04,0.0124,0.00747142705393168,0.9324,0.13080876627097
"3",0.08,0.0288,0.0349628374134595,0.9292,0.131953527172764
"4",0.1,0.037,0.0383115880351856,0.9456,0.0688302259185599
"5",0.12,0.0412,0.0432378435067142,0.9848,0.0320998442363822
"6",0.15,0.072,0.0580038312910832,0.9868,0.0149725675078718
"7",0.16,0.0818,0.0690407287202433,0.9916,0.0181793533682826
"8",0.2,0.1488,0.0711005547720191,0.9956,0.00631048510197293
"9",0.24,0.1894,0.101316007290721,0.9784,0.053148011356128
"10",0.25,0.2356,0.148822937300225,0.9768,0.0310297348432829
"11",0.28,0.1504,0.158037407667369,0.9812,0.0276357256704674
"12",0.3,0.2602,0.161777487789728,0.991,0.0175182444579612
"13",0.32,0.319,0.115713247104882,0.9858,0.0298209471494265
"14",0.35,0.2108,0.22112279142795,0.9938,0.00881665091365953
"15",0.36,0.2326,0.124247244548029,0.991,0.0207685659912603
"16",0.4,0.4772,0.195252998269766,0.9898,0.0232560625309712
"17",0.44,0.3468,0.148207662120118,0.9968,0.00214993539954628
"18",0.45,0.4312,0.16892128344291,0.9972,0.00252982212813471
"19",0.48,0.4286,0.221076256325982,0.9966,0.00250333111406915
"20",0.5,0.389,0.252254280879874,0.9912,0.0161987653850533
"21",0.55,0.487,0.144235147511894,0.9974,0.00189736659610103
"22",0.6,0.409,0.260898021797364,0.9962,0.00304776785350999
"23",0.65,0.6784,0.116603030263654,0.9976,0.00126491106406735
"24",0.7,0.6486,0.143096082716785,0.9976,0.00126491106406735
"25",0.75,0.6546,0.129638985905732,0.998,0
"26",0.8,0.7524,0.079144312633456,0.9922,0.0123089849748512
"27",0.85,0.6248,0.310508114046781,0.9958,0.00446716415140026
"28",0.9,0.612,0.197596671137052,0.998,0
"29",0.95,0.7374,0.115154196141039,0.9954,0.00754541803569116
"30",1,0.7136,0.155302715151195,0.9968,0.00269979423084221
"31",1.1,0.7568,0.264543548189875,0.998,0
"32",1.2,0.8094,0.0954616851586715,0.9976,0.00126491106406735
"33",1.5,0.8136,0.114238736376454,0.9978,0.000632455532033676
"34",1.7,0.897,0.0290478532387125,0.998,0
"35",2,0.764,0.280301425056829,0.9976,0.00126491106406735
