"","alpha","mean","err","mean_random","err_mean_random"
"1",0,0.029375,0.009909041455363,0.02985,0.0110837140863845
"2",0.05,0.03005,0.0150927899240766,0.0351,0.0238518934366398
"3",0.1,0.495825,0.482823049154524,0.8306,0.368999256478995
"4",0.2,0.997,0,0.999,0
"5",0.3,0.997,0,0.999,0
"6",0.4,0.997,0,0.999,0
"7",0.5,0.997,0,0.999,0
"8",0.6,0.997,0,0.999,0
"9",0.7,0.997,0,0.999,0
"10",0.8,0.997,0,0.999,0
"11",0.9,0.997,0,0.999,0
"12",1,0.997,0,0.999,0
"13",1.1,0.997,0,0.999,0
"14",1.2,0.997,0,0.999,0
"15",1.5,0.997,0,0.999,0
