"","alpha","mean","err","mean_random","err_mean_random"
"1",0,0.08925,0.0326683018952309,0.1461,0.0597695574686646
"2",0.05,0.1223,0.0422169002493867,0.230775,0.198156566885884
"3",0.1,0.13065,0.0459361597135717,0.278575,0.224711654268537
"4",0.2,0.15655,0.0718566771516889,0.532025,0.318670031698251
"5",0.3,0.187525,0.0813233455931416,0.813225,0.286020215127425
"6",0.4,0.20975,0.0960944380577826,0.8602,0.243725697013293
"7",0.5,0.22485,0.0915758197846504,0.9235,0.186688551830623
"8",0.6,0.31335,0.154633155631361,0.976,0.0499219904271167
"9",0.7,0.311075,0.139414230134885,0.96825,0.10203261167957
"10",0.8,0.37935,0.20881442503468,0.993425,0.0188133715404217
"11",0.9,0.3806,0.194252386712724,0.985725,0.0635968824828581
"12",1,0.460475,0.205598811168368,0.989275,0.0242677241598267
"13",1.1,0.484125,0.199700440724704,0.977475,0.0786426476260879
"14",1.2,0.5761,0.231221594235974,0.9929,0.022358156889314
"15",1.5,0.62365,0.208370792529777,0.996075,0.0104939237607978
