"","alpha","g_ratio","g_ratio_sd","type"
"1",0,0.005275,0.00225306059645143,"Betw Targeted"
"2",0.05,0.0074,0.00400512492202498,"Betw Targeted"
"3",0.1,0.009575,0.00802843504244565,"Betw Targeted"
"4",0.2,0.021525,0.029581688289401,"Betw Targeted"
"5",0.3,0.04455,0.0613581123301389,"Betw Targeted"
"6",0.4,0.065675,0.0932749966496917,"Betw Targeted"
"7",0.5,0.11065,0.142668982128347,"Betw Targeted"
"8",0.6,0.170075,0.199193423264411,"Betw Targeted"
"9",0.7,0.18335,0.19381203556076,"Betw Targeted"
"10",0.8,0.234625,0.20677358948302,"Betw Targeted"
"11",0.9,0.21665,0.207567665828365,"Betw Targeted"
"12",1,0.384675,0.252791937097563,"Betw Targeted"
"13",1.1,0.33655,0.241634492995367,"Betw Targeted"
"14",1.2,0.342775,0.274248482453787,"Betw Targeted"
"15",1.5,0.4688,0.251395918209321,"Betw Targeted"
"16",0,0.55705,0.269751637907625,"Random"
"17",0.05,0.94925,0.0834262302722345,"Random"
"18",0.1,0.970675,0.0474851596250385,"Random"
"19",0.2,0.997825,0.00543911521839485,"Random"
"20",0.3,0.997025,0.00505095827414754,"Random"
"21",0.4,0.996575,0.00832939650598087,"Random"
"22",0.5,0.994575,0.0154934022351617,"Random"
"23",0.6,0.997425,0.00467885313583005,"Random"
"24",0.7,0.998125,0.00185620926097055,"Random"
"25",0.8,0.99855,0.00125983311878181,"Random"
"26",0.9,0.9983,0.00178598532741554,"Random"
"27",1,0.994325,0.0230310687595068,"Random"
"28",1.1,0.998475,0.00151889804860342,"Random"
"29",1.2,0.997725,0.00437936595340538,"Random"
"30",1.5,0.998625,0.00105459920689307,"Random"
"31",0,0.00805,0.00571973641135539,"Deg targeted"
"32",0.05,0.0215,0.0272697822807779,"Deg targeted"
"33",0.1,0.042075,0.0558084579105979,"Deg targeted"
"34",0.2,0.187675,0.179936368738707,"Deg targeted"
"35",0.3,0.29485,0.251717948587354,"Deg targeted"
"36",0.4,0.370325,0.266667601360541,"Deg targeted"
"37",0.5,0.41545,0.289453326471002,"Deg targeted"
"38",0.6,0.5145,0.307437548379905,"Deg targeted"
"39",0.7,0.5301,0.295001677526738,"Deg targeted"
"40",0.8,0.57335,0.25291871097049,"Deg targeted"
"41",0.9,0.481525,0.31719734110665,"Deg targeted"
"42",1,0.66555,0.275678552126501,"Deg targeted"
"43",1.1,0.6099,0.287085603243603,"Deg targeted"
"44",1.2,0.591675,0.289889314641968,"Deg targeted"
"45",1.5,0.717225,0.264897414831884,"Deg targeted"
