"","alpha","g_ratio","g_ratio_sd","type"
"1",0,0.009275,0.00461873275993452,"Betw Targeted"
"2",0.05,0.013675,0.00809364264605569,"Betw Targeted"
"3",0.1,0.01295,0.00951368784490307,"Betw Targeted"
"4",0.2,0.0279,0.0198646703522895,"Betw Targeted"
"5",0.3,0.0497,0.0573375967407076,"Betw Targeted"
"6",0.4,0.091,0.0882932177898864,"Betw Targeted"
"7",0.5,0.139425,0.149178586402425,"Betw Targeted"
"8",0.6,0.2265,0.196631374495266,"Betw Targeted"
"9",0.7,0.292725,0.208459918978476,"Betw Targeted"
"10",0.8,0.316275,0.23413879157019,"Betw Targeted"
"11",0.9,0.31955,0.246171708887131,"Betw Targeted"
"12",1,0.389075,0.25684010665123,"Betw Targeted"
"13",1.1,0.399075,0.285694420531933,"Betw Targeted"
"14",1.2,0.435325,0.290432779415434,"Betw Targeted"
"15",1.5,0.59795,0.258854770687527,"Betw Targeted"
"16",0,0.2888,0.22217332111526,"Random"
"17",0.05,0.770425,0.193949886139006,"Random"
"18",0.1,0.9332,0.131313521869003,"Random"
"19",0.2,0.9681,0.116755233781551,"Random"
"20",0.3,0.994425,0.00898399574171647,"Random"
"21",0.4,0.989875,0.0263012015909579,"Random"
"22",0.5,0.994725,0.0156647366514402,"Random"
"23",0.6,0.995125,0.00747710179695658,"Random"
"24",0.7,0.996375,0.00480751281716227,"Random"
"25",0.8,0.997875,0.00253374659247364,"Random"
"26",0.9,0.993625,0.016847258774208,"Random"
"27",1,0.996575,0.00464585561107687,"Random"
"28",1.1,0.996525,0.0087793098846824,"Random"
"29",1.2,0.995875,0.00734563362367968,"Random"
"30",1.5,0.998025,0.00284188002056422,"Random"
"31",0,0.017275,0.0106481911308435,"Deg targeted"
"32",0.05,0.0305,0.0231139873292431,"Deg targeted"
"33",0.1,0.0405,0.0405070427558037,"Deg targeted"
"34",0.2,0.137625,0.137114529612179,"Deg targeted"
"35",0.3,0.31065,0.25800770710015,"Deg targeted"
"36",0.4,0.481425,0.239829842190517,"Deg targeted"
"37",0.5,0.513025,0.298774547323237,"Deg targeted"
"38",0.6,0.614175,0.259489329606223,"Deg targeted"
"39",0.7,0.663325,0.243168864772758,"Deg targeted"
"40",0.8,0.664925,0.277188484193032,"Deg targeted"
"41",0.9,0.677725,0.238997799313975,"Deg targeted"
"42",1,0.700675,0.254130633427286,"Deg targeted"
"43",1.1,0.67465,0.28711541054837,"Deg targeted"
"44",1.2,0.7283,0.239915925444834,"Deg targeted"
"45",1.5,0.821175,0.195307763378462,"Deg targeted"
