"","alpha","g_ratio","g_ratio_sd","type"
"1",0,0.686168583709844,0.144381705140893,"Betw Targeted"
"2",0.05,0.66669779327401,0.168880127685175,"Betw Targeted"
"3",0.1,0.678925397505936,0.170826723016009,"Betw Targeted"
"4",0.2,0.692260316614988,0.148045338873313,"Betw Targeted"
"5",0.3,0.685100729063569,0.159684772115288,"Betw Targeted"
"6",0.4,0.683785571883153,0.174625595163105,"Betw Targeted"
"7",0.5,0.665699810395006,0.174051197077712,"Betw Targeted"
"8",0.6,0.653771325031602,0.182469198837883,"Betw Targeted"
"9",0.7,0.685296943922389,0.165784347698962,"Betw Targeted"
"10",0.8,0.688798504136954,0.140595644869821,"Betw Targeted"
"11",0.9,0.649680371022494,0.153553821958704,"Betw Targeted"
"12",1,0.632142060332732,0.152236742591869,"Betw Targeted"
"13",1.1,0.656935289554012,0.166298590271964,"Betw Targeted"
"14",1.2,0.705643838057299,0.173641412423219,"Betw Targeted"
"15",1.5,0.711635179831651,0.172214077582843,"Betw Targeted"
"16",0,0.880294581646756,0.109433143488338,"Random"
"17",0.05,0.884279467857507,0.123714110087611,"Random"
"18",0.1,0.912336220328612,0.0688814195998961,"Random"
"19",0.2,0.899068383953586,0.103412667507571,"Random"
"20",0.3,0.912829542687251,0.0928688500543324,"Random"
"21",0.4,0.913900718204646,0.0793412658452887,"Random"
"22",0.5,0.882528714611173,0.110774707643101,"Random"
"23",0.6,0.905055523483114,0.0877410007801314,"Random"
"24",0.7,0.941374871605187,0.0449785500115701,"Random"
"25",0.8,0.896776822344573,0.116908987520583,"Random"
"26",0.9,0.907326796540597,0.0839067899176704,"Random"
"27",1,0.898789492738799,0.0943933189919564,"Random"
"28",1.1,0.913133801301468,0.087826814383454,"Random"
"29",1.2,0.902789554758412,0.102391519835387,"Random"
"30",1.5,0.914968492139246,0.0747883182406071,"Random"
"31",0,0.933602680844596,0.130003493184311,"Deg targeted"
"32",0.05,0.90691739024613,0.140469152696368,"Deg targeted"
"33",0.1,0.928437562667085,0.146900700509022,"Deg targeted"
"34",0.2,0.915531633513785,0.145151768543155,"Deg targeted"
"35",0.3,0.935078209758937,0.130817677530672,"Deg targeted"
"36",0.4,0.902387092364461,0.141462743778225,"Deg targeted"
"37",0.5,0.9333424380096,0.124972174077157,"Deg targeted"
"38",0.6,0.951097112427752,0.123907487057166,"Deg targeted"
"39",0.7,0.940244406210878,0.129851178828979,"Deg targeted"
"40",0.8,0.956161969831953,0.0916210734956548,"Deg targeted"
"41",0.9,0.9142390328301,0.147695424900358,"Deg targeted"
"42",1,0.907963008810742,0.162354399565661,"Deg targeted"
"43",1.1,0.900656792031823,0.168706984969221,"Deg targeted"
"44",1.2,0.941961505369162,0.119254253470739,"Deg targeted"
"45",1.5,0.93995719944027,0.123715915842282,"Deg targeted"
