"","alpha","g_ratio","g_ratio_sd","type"
"1",0,0.0101804315337381,0.00477491526080518,"Betw Targeted"
"2",0.05,0.0818219618002032,0.122988246653871,"Betw Targeted"
"3",0.1,0.696290366368372,0.190575224744135,"Betw Targeted"
"4",0.2,0.990019491786376,0.00600871781744222,"Betw Targeted"
"5",0.3,0.993771168812747,0.00279100714373575,"Betw Targeted"
"6",0.4,0.995647395389874,0.00152997681693184,"Betw Targeted"
"7",0.5,0.995972821618762,0.00183376606002856,"Betw Targeted"
"8",0.6,0.996748096892677,0.000588309634444202,"Betw Targeted"
"9",0.7,0.996572971819062,0.00115344268479603,"Betw Targeted"
"10",0.8,0.996673147044388,0.000655765971175452,"Betw Targeted"
"11",0.9,0.996723522921719,0.000715949054404106,"Betw Targeted"
"12",1,0.996947470164198,0.000221084412351139,"Betw Targeted"
"13",1.1,0.996998648197295,1.91856518116422e-06,"Betw Targeted"
"14",1.2,0.996873548147346,0.000464115925967978,"Betw Targeted"
"15",1.5,0.996723647141873,0.000639982970969107,"Betw Targeted"
"16",0,0.0398225258324457,0.0209618280105072,"Random"
"17",0.05,0.886168626692674,0.233043212426297,"Random"
"18",0.1,0.997973422821619,0.00250924013574562,"Random"
"19",0.2,0.998899424173673,0.000496020399513889,"Random"
"20",0.3,0.998899499198446,0.000496035970570828,"Random"
"21",0.4,0.998999449047945,8.16852834440681e-07,"Random"
"22",0.5,0.998999449098246,7.84476958427981e-07,"Random"
"23",0.6,0.998999398997592,8.12478965057835e-07,"Random"
"24",0.7,0.998999424123371,7.48760938230088e-07,"Random"
"25",0.8,0.998999424073221,7.82415824071567e-07,"Random"
"26",0.9,0.998999549348948,6.78625453340107e-07,"Random"
"27",1,0.998999173421466,9.60151882257476e-07,"Random"
"28",1.1,0.998999549399099,6.39521727038026e-07,"Random"
"29",1.2,0.998999549449249,5.97865844171785e-07,"Random"
"30",1.5,0.998999574072316,8.76451361451302e-07,"Random"
"31",0,0.0117060823348398,0.00495550441338063,"Deg targeted"
"32",0.05,0.366138806917462,0.275195430355221,"Deg targeted"
"33",0.1,0.986093065861453,0.0130110623672971,"Deg targeted"
"34",0.2,0.997298447495592,0.00240073957305983,"Deg targeted"
"35",0.3,0.998073823322169,0.00144023077201539,"Deg targeted"
"36",0.4,0.998548947895037,0.00117676961259481,"Deg targeted"
"37",0.5,0.998724399048196,0.000816022479188325,"Deg targeted"
"38",0.6,0.998949398997592,0.000316131331647929,"Deg targeted"
"39",0.7,0.998899323922971,0.000441985278080809,"Deg targeted"
"40",0.8,0.998899399048196,0.000378906053315671,"Deg targeted"
"41",0.9,0.998849449248848,0.000533912625940256,"Deg targeted"
"42",1,0.998999173421466,9.60151882257476e-07,"Deg targeted"
"43",1.1,0.998999549399099,6.39521727038026e-07,"Deg targeted"
"44",1.2,0.998974549449249,0.000158041932020722,"Deg targeted"
"45",1.5,0.998899524022266,0.000441682109813982,"Deg targeted"
