"","alpha","g_ratio","g_ratio_sd","type"
"1",0,0.00945380470651012,0.00330802692820252,"Betw Targeted"
"2",0.01,0.0316890163209302,0.0146943388952585,"Betw Targeted"
"3",0.02,0.0460706052746133,0.0175045762286896,"Betw Targeted"
"4",0.03,0.0511058676913386,0.0287616744406732,"Betw Targeted"
"5",0.04,0.0461535428798285,0.0211893221865142,"Betw Targeted"
"6",0.05,0.0554981826562675,0.0515365293228575,"Betw Targeted"
"7",0.06,0.0759983827013386,0.116969592166342,"Betw Targeted"
"8",0.07,0.240888144256481,0.250848459497379,"Betw Targeted"
"9",0.08,0.450109893410444,0.269720304223756,"Betw Targeted"
"10",0.09,0.543058166834169,0.257803326407655,"Betw Targeted"
"11",0.1,0.575169906630077,0.281208533210835,"Betw Targeted"
"12",0.11,0.779586928781041,0.212207674451367,"Betw Targeted"
"13",0.12,0.897354886850779,0.104796827020772,"Betw Targeted"
"14",0.13,0.932425273820915,0.082254108395567,"Betw Targeted"
"15",0.14,0.968460932121488,0.0222559595490983,"Betw Targeted"
"16",0.15,0.973486482875661,0.0224838931889776,"Betw Targeted"
"17",0.16,0.97988662690098,0.0120816974218433,"Betw Targeted"
"18",0.17,0.984291984858558,0.00955042935451615,"Betw Targeted"
"19",0.18,0.986368991336025,0.00528944086319397,"Betw Targeted"
"20",0.19,0.988544668415911,0.00579965781052854,"Betw Targeted"
"21",0.2,0.991171394390382,0.00386413044637316,"Betw Targeted"
"22",0.21,0.98957129544374,0.0050633487273825,"Betw Targeted"
"23",0.22,0.9908199679629,0.00514090453462748,"Betw Targeted"
"24",0.23,0.991819416861752,0.00379896908821406,"Betw Targeted"
"25",0.24,0.991995344893992,0.00518801172280219,"Betw Targeted"
"26",0.25,0.993221971470468,0.00371219290609902,"Betw Targeted"
"27",0.26,0.993696670065804,0.00362544868367944,"Betw Targeted"
"28",0.27,0.994422672672673,0.00238601014966107,"Betw Targeted"
"29",0.28,0.994298021969866,0.00304766234363473,"Betw Targeted"
"30",0.29,0.994071843732087,0.00279692312858651,"Betw Targeted"
"31",0.3,0.994322745991127,0.0026161181641674,"Betw Targeted"
"32",0,0.0464406677719804,0.0209651807351138,"Random"
"33",0.01,0.0976275346488773,0.210985769173876,"Random"
"34",0.02,0.336712894858787,0.439154506120638,"Random"
"35",0.03,0.447148953261879,0.443656245348336,"Random"
"36",0.04,0.781770320520771,0.379523134554587,"Random"
"37",0.05,0.915700077384607,0.208271206242059,"Random"
"38",0.06,0.945849023973874,0.116279069660585,"Random"
"39",0.07,0.979147747597297,0.0764163986906588,"Random"
"40",0.08,0.973849098998798,0.154369141614368,"Random"
"41",0.09,0.998124349249049,0.00216296124665555,"Random"
"42",0.1,0.997798748497997,0.00301641970023792,"Random"
"43",0.11,0.99817352216886,0.00238910110410015,"Random"
"44",0.12,0.998874549449249,0.000404161316891511,"Random"
"45",0.13,0.998599349048447,0.00161486331640016,"Random"
"46",0.14,0.998674248696991,0.000917125388758971,"Random"
"47",0.15,0.998824474324023,0.000500862860424409,"Random"
"48",0.16,0.998749223772569,0.000840277406102449,"Random"
"49",0.17,0.998899474022517,0.000441321451336892,"Random"
"50",0.18,0.998599148647646,0.0012976214388766,"Random"
"51",0.19,0.998824549449249,0.000675443677126629,"Random"
"52",0.2,0.998674524323923,0.0012483288160017,"Random"
"53",0.21,0.998724449349149,0.000933905196485729,"Random"
"54",0.22,0.998799449148396,0.000648295761193385,"Random"
"55",0.23,0.998924349048447,0.00034991286364067,"Random"
"56",0.24,0.998974399299099,0.000158342232789092,"Random"
"57",0.25,0.998824549449249,0.00078067535243011,"Random"
"58",0.26,0.998999424123371,7.48760938230088e-07,"Random"
"59",0.27,0.9989995995996,4.96635573919131e-07,"Random"
"60",0.28,0.998999524273773,7.16931673346161e-07,"Random"
"61",0.29,0.998949398947442,0.000221281443735782,"Random"
"62",0.3,0.998874599348697,0.000463294035516963,"Random"
"63",0,0.0102788550073119,0.00463290126974825,"Deg targeted"
"64",0.01,0.0349399183251388,0.016795903049396,"Deg targeted"
"65",0.02,0.0440679777472864,0.0212555306027771,"Deg targeted"
"66",0.03,0.0502482543164407,0.0251463265890077,"Deg targeted"
"67",0.04,0.0906597297267921,0.122493836258509,"Deg targeted"
"68",0.05,0.256993740942417,0.29373295839524,"Deg targeted"
"69",0.06,0.555264765868072,0.316269334693831,"Deg targeted"
"70",0.07,0.723426638712861,0.271496368775634,"Deg targeted"
"71",0.08,0.82496198884255,0.235684428129242,"Deg targeted"
"72",0.09,0.95928723618408,0.068087625130864,"Deg targeted"
"73",0.1,0.963846124581495,0.065582157030824,"Deg targeted"
"74",0.11,0.980493562745544,0.0454454176430842,"Deg targeted"
"75",0.12,0.991221670167161,0.0123060457329626,"Deg targeted"
"76",0.13,0.994198047947747,0.00360418489548745,"Deg targeted"
"77",0.14,0.993520190873806,0.00540815586188916,"Deg targeted"
"78",0.15,0.994522171068864,0.00503699173094734,"Deg targeted"
"79",0.16,0.996197521067257,0.00394603199397624,"Deg targeted"
"80",0.17,0.995397872019108,0.00412109407057151,"Deg targeted"
"81",0.18,0.996848272420717,0.0025282195138071,"Deg targeted"
"82",0.19,0.996473423022221,0.00269963695755427,"Deg targeted"
"83",0.2,0.997824298948247,0.00166238378383367,"Deg targeted"
"84",0.21,0.997649274123823,0.00255783279515955,"Deg targeted"
"85",0.22,0.997773598046794,0.00214393810608345,"Deg targeted"
"86",0.23,0.998123873472671,0.00188484219680872,"Deg targeted"
"87",0.24,0.997798598347847,0.00235738980007419,"Deg targeted"
"88",0.25,0.998024249148949,0.00168715045263559,"Deg targeted"
"89",0.26,0.997999324023271,0.00252156842104497,"Deg targeted"
"90",0.27,0.998124174174174,0.0014184989564736,"Deg targeted"
"91",0.28,0.998149449198698,0.00154493881323118,"Deg targeted"
"92",0.29,0.998199098647142,0.00148916224499727,"Deg targeted"
"93",0.3,0.998099424173522,0.00137369625296507,"Deg targeted"
