"","alpha","g_ratio","g_ratio_sd","type"
"1",0,0.509317111942023,0.151439275206118,"Betw Targeted"
"2",0.01,0.532426885441888,0.197385026090987,"Betw Targeted"
"3",0.02,0.54651142541083,0.205138013600524,"Betw Targeted"
"4",0.03,0.530769574391095,0.19940565388873,"Betw Targeted"
"5",0.04,0.544012385734796,0.195808352575933,"Betw Targeted"
"6",0.05,0.568921879920061,0.211321416497727,"Betw Targeted"
"7",0.06,0.517785019521736,0.192955427520352,"Betw Targeted"
"8",0.07,0.591769154823386,0.199351327459014,"Betw Targeted"
"9",0.08,0.555190485188351,0.198596605350797,"Betw Targeted"
"10",0.09,0.460054917442338,0.181096930783156,"Betw Targeted"
"11",0.1,0.56021937187604,0.186924949060586,"Betw Targeted"
"12",0.11,0.556531754841796,0.205345978965048,"Betw Targeted"
"13",0.12,0.546814846494674,0.195473852919942,"Betw Targeted"
"14",0.13,0.544327644630202,0.184933321547979,"Betw Targeted"
"15",0.14,0.564009657080696,0.190013632233878,"Betw Targeted"
"16",0.15,0.54694379429656,0.178623251116242,"Betw Targeted"
"17",0.16,0.571196030029064,0.18630184468846,"Betw Targeted"
"18",0.17,0.590248083023515,0.19395040791072,"Betw Targeted"
"19",0.18,0.549439201798322,0.197078032286955,"Betw Targeted"
"20",0.19,0.538770504486461,0.186388769622543,"Betw Targeted"
"21",0.2,0.565229022875388,0.210374707646437,"Betw Targeted"
"22",0.21,0.591895664161786,0.186199507659391,"Betw Targeted"
"23",0.22,0.471637902885055,0.176192589507368,"Betw Targeted"
"24",0.23,0.607276110557768,0.20145829240154,"Betw Targeted"
"25",0.24,0.56348586077687,0.230634087688596,"Betw Targeted"
"26",0.25,0.575818060458168,0.192298459955836,"Betw Targeted"
"27",0.26,0.575380890522088,0.210805533133539,"Betw Targeted"
"28",0.27,0.553867020384399,0.212642135825157,"Betw Targeted"
"29",0.28,0.569684254780865,0.172858021462735,"Betw Targeted"
"30",0.29,0.516486325168984,0.2163007118895,"Betw Targeted"
