"","alpha","g_ratio","g_ratio_sd","type"
"1",0,0.0071,0.00219322967567385,"Betw Targeted"
"2",0.05,0.0103,0.00550151494287407,"Betw Targeted"
"3",0.1,0.01475,0.00709911514890665,"Betw Targeted"
"4",0.2,0.04075,0.0296559329472933,"Betw Targeted"
"5",0.3,0.09125,0.081209368538744,"Betw Targeted"
"6",0.4,0.1936,0.127311811847516,"Betw Targeted"
"7",0.5,0.3013,0.168983264229756,"Betw Targeted"
"8",0.6,0.44735,0.202948970471359,"Betw Targeted"
"9",0.7,0.515175,0.160064712474321,"Betw Targeted"
"10",0.8,0.585025,0.144742474672637,"Betw Targeted"
"11",0.9,0.639975,0.133903043281324,"Betw Targeted"
"12",1,0.6902,0.0906136345658355,"Betw Targeted"
"13",1.1,0.74455,0.109327536588045,"Betw Targeted"
"14",1.2,0.736225,0.0834150842596906,"Betw Targeted"
"15",1.5,0.826,0.0749598182960335,"Betw Targeted"
"16",0,0.3259,0.205612755266314,"Random"
"17",0.05,0.828425,0.206538614692203,"Random"
"18",0.1,0.9584,0.0985317337922284,"Random"
"19",0.2,0.99255,0.0147560504756871,"Random"
"20",0.3,0.99615,0.00528932160838449,"Random"
"21",0.4,0.989025,0.0577654352776859,"Random"
"22",0.5,0.998575,0.0010098870208453,"Random"
"23",0.6,0.998225,0.00199341865866605,"Random"
"24",0.7,0.998475,0.00148475155480208,"Random"
"25",0.8,0.9986,0.0014105827128331,"Random"
"26",0.9,0.99875,0.000630425171956116,"Random"
"27",1,0.9986,0.00194540879627275,"Random"
"28",1.1,0.998775,0.000919517710820636,"Random"
"29",1.2,0.99865,0.00133108785277114,"Random"
"30",1.5,0.998825,0.00110679718105893,"Random"
"31",0,0.012,0.00493548116792825,"Deg targeted"
"32",0.05,0.037125,0.0288178964160494,"Deg targeted"
"33",0.1,0.1112,0.09077252492936,"Deg targeted"
"34",0.2,0.34125,0.219492509071407,"Deg targeted"
"35",0.3,0.5513,0.174647806771962,"Deg targeted"
"36",0.4,0.729725,0.115215291786891,"Deg targeted"
"37",0.5,0.7799,0.114351639410624,"Deg targeted"
"38",0.6,0.85005,0.0748697843952059,"Deg targeted"
"39",0.7,0.8644,0.0552415674038198,"Deg targeted"
"40",0.8,0.888425,0.0588840179004674,"Deg targeted"
"41",0.9,0.90075,0.0371108871992836,"Deg targeted"
"42",1,0.92105,0.0307862356856487,"Deg targeted"
"43",1.1,0.931725,0.0380896294520552,"Deg targeted"
"44",1.2,0.92585,0.0326210172930086,"Deg targeted"
"45",1.5,0.951225,0.0288065942415078,"Deg targeted"
