"","alpha","g_ratio","g_ratio_sd","type"
"1",0,0.01065,0.00520133119055556,"Betw Targeted"
"2",0.03,0.01835,0.0099241998967042,"Betw Targeted"
"3",0.06,0.034275,0.0197717585433728,"Betw Targeted"
"4",0.09,0.050875,0.0232182371953932,"Betw Targeted"
"5",0.12,0.08215,0.036139012232326,"Betw Targeted"
"6",0.15,0.12975,0.0571079724103431,"Betw Targeted"
"7",0.18,0.185175,0.0581522702777934,"Betw Targeted"
"8",0.21,0.2206,0.0685512348165356,"Betw Targeted"
"9",0.24,0.33865,0.0872845479319926,"Betw Targeted"
"10",0.27,0.3534,0.0816963734562155,"Betw Targeted"
"11",0.3,0.42295,0.100556133067237,"Betw Targeted"
"12",0.33,0.47685,0.119623887075176,"Betw Targeted"
"13",0.36,0.532925,0.0947672959655143,"Betw Targeted"
"14",0.39,0.57995,0.110412037155004,"Betw Targeted"
"15",0.42,0.619925,0.0885088399177717,"Betw Targeted"
"16",0.45,0.659,0.105422714430756,"Betw Targeted"
"17",0.48,0.6836,0.0907280523717967,"Betw Targeted"
"18",0,0.423525,0.175307932375709,"Random"
"19",0.03,0.888675,0.124972076368263,"Random"
"20",0.06,0.90985,0.165787870330486,"Random"
"21",0.09,0.97225,0.0599220647687798,"Random"
"22",0.12,0.987775,0.0259659416968676,"Random"
"23",0.15,0.992325,0.0246850806182237,"Random"
"24",0.18,0.9967,0.00711877258218881,"Random"
"25",0.21,0.997875,0.00369467739128074,"Random"
"26",0.24,0.996675,0.00838921010309351,"Random"
"27",0.27,0.992275,0.0304133805741604,"Random"
"28",0.3,0.996475,0.00891264587034942,"Random"
"29",0.33,0.99765,0.00644722162382113,"Random"
"30",0.36,0.998375,0.00253880145354315,"Random"
"31",0.39,0.997975,0.00482773769814096,"Random"
"32",0.42,0.9984,0.00320896180990611,"Random"
"33",0.45,0.998925,0.000349908412925293,"Random"
"34",0.48,0.99895,0.000316227766016838,"Random"
"35",0,0.010475,0.00576010817206119,"Deg targeted"
"36",0.03,0.04405,0.020343146013918,"Deg targeted"
"37",0.06,0.1682,0.097634378140447,"Deg targeted"
"38",0.09,0.335525,0.0952018065708786,"Deg targeted"
"39",0.12,0.44065,0.132460066551279,"Deg targeted"
"40",0.15,0.58195,0.145162322935395,"Deg targeted"
"41",0.18,0.681025,0.0958721069833969,"Deg targeted"
"42",0.21,0.725025,0.104331200314069,"Deg targeted"
"43",0.24,0.820925,0.0489659156703507,"Deg targeted"
"44",0.27,0.8274,0.0474400025943701,"Deg targeted"
"45",0.3,0.864475,0.0541256787723175,"Deg targeted"
"46",0.33,0.882275,0.0435830992296502,"Deg targeted"
"47",0.36,0.896725,0.0385153898644458,"Deg targeted"
"48",0.39,0.91225,0.0348592407643463,"Deg targeted"
"49",0.42,0.9197,0.028177277625047,"Deg targeted"
"50",0.45,0.92485,0.0352031102938217,"Deg targeted"
"51",0.48,0.9298,0.0338860836726032,"Deg targeted"
