"","X0.2","X0.5","X1"
"1",0.272,0.783,0.92
"2",0.36,0.812,0.959
"3",0.34,0.825,0.96
"4",0.375,0.819,0.95
"5",0.163,0.687,0.912
"6",0.289,0.818,0.96
"7",0.197,0.715,0.935
"8",0.146,0.649,0.89
"9",0.253,0.754,0.935
"10",0.164,0.691,0.904
"11",0.199,0.72,0.942
"12",0.205,0.656,0.917
"13",0.217,0.703,0.919
"14",0.174,0.664,0.903
"15",0.151,0.643,0.896
"16",0.31,0.817,0.973
"17",0.324,0.806,0.937
"18",0.223,0.687,0.934
"19",0.315,0.81,0.955
"20",0.145,0.588,0.904
"21",0.174,0.646,0.928
"22",0.162,0.649,0.911
"23",0.133,0.662,0.915
"24",0.178,0.649,0.892
"25",0.171,0.622,0.907
"26",0.105,0.567,0.889
"27",0.142,0.57,0.879
"28",0.137,0.638,0.907
"29",0.252,0.721,0.94
"30",0.277,0.794,0.956
"31",0.155,0.615,0.911
"32",0.2,0.679,0.923
"33",0.285,0.802,0.952
"34",0.226,0.759,0.924
"35",0.219,0.625,0.913
"36",0.203,0.745,0.916
"37",0.357,0.825,0.959
"38",0.133,0.603,0.882
"39",0.342,0.816,0.963
"40",0.236,0.772,0.943
"41",0.111,0.5,0.862
"42",0.275,0.82,0.946
"43",0.178,0.66,0.906
"44",0.333,0.836,0.964
"45",0.209,0.709,0.921
"46",0.207,0.728,0.915
"47",0.114,0.56,0.854
"48",0.287,0.793,0.939
"49",0.153,0.63,0.885
"50",0.193,0.697,0.942
"51",0.194,0.633,0.89
"52",0.266,0.765,0.938
"53",0.073,0.606,0.877
"54",0.232,0.768,0.933
"55",0.305,0.808,0.956
"56",0.209,0.742,0.944
"57",0.143,0.591,0.913
"58",0.178,0.691,0.926
"59",0.125,0.666,0.912
"60",0.343,0.821,0.958
"61",0.17,0.611,0.894
"62",0.263,0.786,0.937
"63",0.317,0.84,0.966
"64",0.19,0.678,0.934
"65",0.153,0.61,0.869
"66",0.238,0.768,0.943
"67",0.222,0.719,0.932
"68",0.314,0.801,0.936
"69",0.168,0.621,0.9
"70",0.169,0.656,0.894
"71",0.224,0.784,0.939
"72",0.238,0.736,0.932
"73",0.235,0.768,0.933
"74",0.04,0.573,0.87
"75",0.164,0.683,0.926
"76",0.058,0.494,0.843
"77",0.185,0.73,0.929
"78",0.35,0.842,0.973
"79",0.236,0.75,0.96
"80",0.146,0.643,0.898
"81",0.175,0.682,0.913
"82",0.283,0.844,0.963
"83",0.144,0.654,0.901
"84",0.148,0.534,0.848
"85",0.202,0.781,0.921
"86",0.272,0.842,0.947
"87",0.262,0.786,0.947
"88",0.132,0.605,0.88
"89",0.263,0.778,0.933
"90",0.224,0.692,0.912
"91",0.215,0.738,0.905
"92",0.413,0.858,0.974
"93",0.131,0.55,0.883
"94",0.171,0.569,0.888
"95",0.165,0.631,0.9
"96",0.166,0.619,0.902
"97",0.25,0.712,0.91
"98",0.431,0.843,0.963
"99",0.312,0.791,0.946
"100",0.234,0.753,0.91
"101",0.356,0.8,0.96
"102",0.125,0.532,0.862
"103",0.211,0.751,0.944
"104",0.136,0.629,0.894
"105",0.407,0.866,0.98
"106",0.224,0.762,0.934
"107",0.217,0.762,0.934
"108",0.26,0.788,0.94
"109",0.281,0.806,0.96
"110",0.291,0.812,0.951
"111",0.188,0.699,0.907
"112",0.198,0.669,0.905
"113",0.135,0.631,0.889
"114",0.255,0.755,0.948
"115",0.2,0.737,0.918
