"","alpha","g_ratio","g_ratio_sd","type"
"1",0,0.02735,0.0109931213924307,"Betw Targeted"
"2",0.01,0.0579,0.0306433579200352,"Betw Targeted"
"3",0.02,0.06355,0.025224072751121,"Betw Targeted"
"4",0.03,0.059125,0.0296052555105703,"Betw Targeted"
"5",0.04,0.037225,0.019519204875567,"Betw Targeted"
"6",0.05,0.035225,0.0194323118436727,"Betw Targeted"
"7",0.06,0.0436,0.0197299719936901,"Betw Targeted"
"8",0.07,0.04755,0.0273486042394517,"Betw Targeted"
"9",0.08,0.0382,0.0228329496505289,"Betw Targeted"
"10",0.09,0.165575,0.319076864584101,"Betw Targeted"
"11",0.1,0.4013,0.467558536030928,"Betw Targeted"
"12",0.11,0.6408,0.466048374291218,"Betw Targeted"
"13",0.12,0.7847,0.398389334117345,"Betw Targeted"
"14",0.13,0.854175,0.343120438412535,"Betw Targeted"
"15",0.14,0.97265,0.153031009091588,"Betw Targeted"
"16",0.15,0.996875,0.000515776735638243,"Betw Targeted"
"17",0.16,0.99695,0.000316227766016838,"Betw Targeted"
"18",0.17,0.997,0,"Betw Targeted"
"19",0.18,0.99695,0.000316227766016838,"Betw Targeted"
"20",0.19,0.997,0,"Betw Targeted"
"21",0.2,0.997,0,"Betw Targeted"
"22",0.21,0.997,0,"Betw Targeted"
"23",0.22,0.997,0,"Betw Targeted"
"24",0.23,0.997,0,"Betw Targeted"
"25",0.24,0.997,0,"Betw Targeted"
"26",0.25,0.997,0,"Betw Targeted"
"27",0,0.0317,0.0125722527202383,"Random"
"28",0.01,0.0413,0.0226525597127226,"Random"
"29",0.02,0.0346,0.0194327241844979,"Random"
"30",0.03,0.045375,0.0244463698736643,"Random"
"31",0.04,0.040475,0.0285135932495363,"Random"
"32",0.05,0.081925,0.213695492375339,"Random"
"33",0.06,0.138175,0.291107424660223,"Random"
"34",0.07,0.30275,0.434609565425077,"Random"
"35",0.08,0.616925,0.473974162852029,"Random"
"36",0.09,0.737775,0.429942899458605,"Random"
"37",0.1,0.878,0.323793302222425,"Random"
"38",0.11,0.95095,0.212022610066679,"Random"
"39",0.12,0.9988,0.000464095480892258,"Random"
"40",0.13,0.998825,0.000549475274168982,"Random"
"41",0.14,0.998875,0.000647975149887552,"Random"
"42",0.15,0.99895,0.000220721427863152,"Random"
"43",0.16,0.998925,0.000474341649025257,"Random"
"44",0.17,0.9989,0.000496138938356834,"Random"
"45",0.18,0.9989,0.000378932373372537,"Random"
"46",0.19,0.998975,0.000158113883008419,"Random"
"47",0.2,0.999,0,"Random"
"48",0.21,0.999,0,"Random"
"49",0.22,0.998975,0.000158113883008419,"Random"
"50",0.23,0.999,0,"Random"
"51",0.24,0.999,0,"Random"
"52",0.25,0.998975,0.000158113883008419,"Random"
"53",0,0.03045,0.00922635578252004,"Deg targeted"
"54",0.01,0.041125,0.0216678747197734,"Deg targeted"
"55",0.02,0.0421,0.0271584146661672,"Deg targeted"
"56",0.03,0.05235,0.0249610465756916,"Deg targeted"
"57",0.04,0.03865,0.0220297584283227,"Deg targeted"
"58",0.05,0.080575,0.213858554681024,"Deg targeted"
"59",0.06,0.188375,0.34575719118539,"Deg targeted"
"60",0.07,0.259575,0.404048225574304,"Deg targeted"
"61",0.08,0.5147,0.490206821867187,"Deg targeted"
"62",0.09,0.690475,0.45019984095385,"Deg targeted"
"63",0.1,0.927375,0.253371996459245,"Deg targeted"
"64",0.11,0.95045,0.213052774249444,"Deg targeted"
"65",0.12,0.926875,0.255856248451733,"Deg targeted"
"66",0.13,0.998725,0.000715667162289488,"Deg targeted"
"67",0.14,0.998925,0.000266746782836919,"Deg targeted"
"68",0.15,0.998975,0.000158113883008419,"Deg targeted"
"69",0.16,0.998875,0.00046340434799815,"Deg targeted"
"70",0.17,0.998925,0.000349908412925293,"Deg targeted"
"71",0.18,0.999,0,"Deg targeted"
"72",0.19,0.999,0,"Deg targeted"
"73",0.2,0.999,0,"Deg targeted"
"74",0.21,0.999,0,"Deg targeted"
"75",0.22,0.999,0,"Deg targeted"
"76",0.23,0.999,0,"Deg targeted"
"77",0.24,0.998975,0.000158113883008419,"Deg targeted"
"78",0.25,0.999,0,"Deg targeted"
