"","alpha","g_ratio","g_ratio_sd","type"
"1",0,0.0731204546145669,0.0189716592445124,"Betw Targeted"
"2",0.05,0.227118606153027,0.0546063656673215,"Betw Targeted"
"3",0.1,0.244588017988658,0.05721406927902,"Betw Targeted"
"4",0.2,0.383815307795616,0.23168487742803,"Betw Targeted"
"5",0.3,0.631104762204735,0.332769919084112,"Betw Targeted"
"6",0.4,0.890535364089513,0.225151660502775,"Betw Targeted"
"7",0.5,0.986485556189849,0.0111118116484741,"Betw Targeted"
"8",0.6,0.989751529758169,0.00863872570380483,"Betw Targeted"
"9",0.7,0.992729086628333,0.00561815765895758,"Betw Targeted"
"10",0.8,0.99275057114673,0.00589907724558311,"Betw Targeted"
"11",0.9,0.993933930379818,0.00314554173492494,"Betw Targeted"
"12",1,0.994984181764898,0.0031958719444117,"Betw Targeted"
"13",1.1,0.994713941366401,0.00319470310314669,"Betw Targeted"
"14",1.2,0.994737897779528,0.00352789439282067,"Betw Targeted"
"15",1.5,0.994834908896017,0.00327586265965259,"Betw Targeted"
"16",0,0.185506966593427,0.208038073955517,"Random"
"17",0.05,0.79035935602519,0.2497648573085,"Random"
"18",0.1,0.950896773576493,0.131806193482051,"Random"
"19",0.2,0.998059891775317,0.00247476904004997,"Random"
"20",0.3,0.998186090508073,0.00167062892130266,"Random"
"21",0.4,0.998239779946189,0.00196617544485332,"Random"
"22",0.5,0.998566007749944,0.00103891564806952,"Random"
"23",0.6,0.998665092120461,0.0010055290736005,"Random"
"24",0.7,0.998993449409692,2.88668662611791e-06,"Random"
"25",0.8,0.998841656143266,0.000583868275463786,"Random"
"26",0.9,0.998841632063555,0.000585207586460443,"Random"
"27",1,0.998815972316278,0.000818272966237397,"Random"
"28",1.1,0.998866782076774,0.000652897039504754,"Random"
"29",1.2,0.9987668354439,0.000897259128874704,"Random"
"30",1.5,0.998966745480446,0.00015844869035378,"Random"
"31",0,0.0684084593767142,0.0331544410250394,"Deg targeted"
"32",0.05,0.492609767289503,0.186336316666674,"Deg targeted"
"33",0.1,0.706196511471237,0.178009561758149,"Deg targeted"
"34",0.2,0.951607810584481,0.121258117531223,"Deg targeted"
"35",0.3,0.990417233849855,0.010177977397805,"Deg targeted"
"36",0.4,0.99341098132566,0.00782539358039231,"Deg targeted"
"37",0.5,0.995348648718845,0.00575724056300533,"Deg targeted"
"38",0.6,0.99758232992896,0.00279162666730532,"Deg targeted"
"39",0.7,0.997760059441977,0.00199463939749096,"Deg targeted"
"40",0.8,0.997632425494863,0.00234298743287078,"Deg targeted"
"41",0.9,0.998086210898096,0.00179448655358517,"Deg targeted"
"42",1,0.998311960618451,0.00125798348929032,"Deg targeted"
"43",1.1,0.997986292233358,0.00180737595943066,"Deg targeted"
"44",1.2,0.99856635747715,0.00106159887996678,"Deg targeted"
"45",1.5,0.997934666605048,0.00218511357486281,"Deg targeted"
