"","alpha","g_ratio","g_ratio_sd","type"
"1",0,0.07485,0.0266915428841883,"Betw Targeted"
"2",0.05,0.089275,0.0355073033296474,"Betw Targeted"
"3",0.1,0.13125,0.0724348513652626,"Betw Targeted"
"4",0.2,0.224475,0.111045379381815,"Betw Targeted"
"5",0.3,0.424525,0.204957529997227,"Betw Targeted"
"6",0.4,0.5477,0.213932316159658,"Betw Targeted"
"7",0.5,0.758875,0.16686631951878,"Betw Targeted"
"8",0.6,0.832125,0.123609224512637,"Betw Targeted"
"9",0.7,0.852025,0.158332575571736,"Betw Targeted"
"10",0.8,0.915925,0.0886547285678316,"Betw Targeted"
"11",0.9,0.95365,0.040607912579971,"Betw Targeted"
"12",1,0.96775,0.0334585468748175,"Betw Targeted"
"13",1.1,0.968275,0.0442017446575272,"Betw Targeted"
"14",1.2,0.9837,0.0251897415017121,"Betw Targeted"
"15",1.5,0.990525,0.0159871542985017,"Betw Targeted"
"16",0,0.096875,0.0465150582180184,"Random"
"17",0.05,0.227975,0.208423322615912,"Random"
"18",0.1,0.454825,0.323533923042043,"Random"
"19",0.2,0.86415,0.22113176835172,"Random"
"20",0.3,0.9464,0.142914677791349,"Random"
"21",0.4,0.996325,0.0135672824783062,"Random"
"22",0.5,0.9969,0.0087083808733827,"Random"
"23",0.6,0.998575,0.00190663483925381,"Random"
"24",0.7,0.999,0,"Random"
"25",0.8,0.99895,0.000316227766016838,"Random"
"26",0.9,0.998975,0.000158113883008419,"Random"
"27",1,0.999,0,"Random"
"28",1.1,0.998975,0.000158113883008419,"Random"
"29",1.2,0.998825,0.00110679718105893,"Random"
"30",1.5,0.999,0,"Random"
"31",0,0.075975,0.0345531827173335,"Deg targeted"
"32",0.05,0.144875,0.0808868115458341,"Deg targeted"
"33",0.1,0.26095,0.121000519176678,"Deg targeted"
"34",0.2,0.526875,0.232922039064686,"Deg targeted"
"35",0.3,0.733675,0.247923208489428,"Deg targeted"
"36",0.4,0.932225,0.0639188136904131,"Deg targeted"
"37",0.5,0.9707,0.030952569173843,"Deg targeted"
"38",0.6,0.982725,0.0236469627257677,"Deg targeted"
"39",0.7,0.989525,0.0145143386222393,"Deg targeted"
"40",0.8,0.9954,0.00792529219715314,"Deg targeted"
"41",0.9,0.996425,0.00619713540109358,"Deg targeted"
"42",1,0.99395,0.0106889590771902,"Deg targeted"
"43",1.1,0.9984,0.00213397426269535,"Deg targeted"
"44",1.2,0.9976,0.00427755022149781,"Deg targeted"
"45",1.5,0.9988,0.000516397779494323,"Deg targeted"
