"","alpha","mean","err","mean_random","err_mean_random"
"1",0,0.2029,0.0609955021460704,0.997575,0.00245876245711391
"2",0.05,0.21125,0.0470726389034366,0.9928,0.0255726215777533
"3",0.1,0.207775,0.0592601770984832,0.9979,0.00327226103905118
"4",0.2,0.215475,0.0693119989982125,0.996975,0.00490675881323732
"5",0.3,0.206725,0.0736853976070756,0.99675,0.00528058854528692
"6",0.4,0.2009,0.0582561980855652,0.9946,0.012276306134489
"7",0.5,0.201575,0.0656548424210533,0.991825,0.040699579472407
"8",0.6,0.19735,0.0621361408521643,0.997725,0.00309662761146745
"9",0.7,0.199425,0.0667175014520178,0.99735,0.00254749751515946
"10",0.8,0.20015,0.0637726530893241,0.994475,0.011043010319794
"11",0.9,0.195775,0.052999510157388,0.996175,0.00571945622303201
"12",1,0.202575,0.0549787313189009,0.995225,0.0133809805704082
"13",1.1,0.198525,0.0521196786006581,0.97745,0.115775855505147
"14",1.2,0.20695,0.0661369790661775,0.995225,0.0109813069606538
"15",1.5,0.2121,0.0572658219095331,0.995625,0.0144802031080811
