"","alpha","mean","err","mean_random","err_mean_random"
"1",0,0.201544,0.0568891373010449,0.9992,NA
"2",0.04,0.204644,0.0557288668099251,0.9992,NA
"3",0.08,0.20492,0.0497616030977414,0.9992,NA
"4",0.1,0.208564,0.0571605356939237,0.9992,NA
"5",0.12,0.214804,0.0622055380433712,0.9992,NA
"6",0.15,0.204536,0.0641708489987821,0.9992,NA
"7",0.16,0.195732,0.0477608260619773,0.9992,NA
"8",0.2,0.217056,0.0565500109529212,0.9992,NA
"9",0.24,0.196676,0.0562484850045414,0.9992,NA
"10",0.25,0.206296,0.0566948327919408,0.9992,NA
"11",0.28,0.211388,0.0595309613836809,0.9992,NA
"12",0.3,0.200916,0.0668245474877217,0.9992,NA
"13",0.32,0.198704,0.0609590192218493,0.9992,NA
"14",0.35,0.214592,0.0688499102307004,0.9992,NA
"15",0.36,0.201056,0.0527324249085389,0.9992,NA
"16",0.4,0.202244,0.0672452385386687,0.9992,NA
"17",0.44,0.20724,0.0627898990966814,0.9992,NA
"18",0.45,0.209308,0.0558032141565706,0.9992,NA
"19",0.48,0.204984,0.0580010674074897,0.9992,NA
"20",0.5,0.205316,0.0522439035013773,0.9992,NA
"21",0.55,0.21508,0.0657378963795478,0.9992,NA
"22",0.6,0.206596,0.0637599258699285,0.9992,NA
"23",0.65,0.196212,0.0629360467102137,0.9992,NA
"24",0.7,0.214408,0.0496861654460746,0.9992,NA
"25",0.75,0.210772,0.059271151533285,0.9992,NA
"26",0.8,0.21324,0.0547979144545796,0.9992,NA
"27",0.85,0.200676,0.0565782375411722,0.9992,NA
"28",0.9,0.194504,0.0453826585598418,0.9992,NA
"29",0.95,0.19266,0.0536139983243792,0.9992,NA
"30",1,0.196288,0.0553498728498069,0.9992,NA
"31",1.1,0.1977,0.0633145468019372,0.9992,NA
"32",1.2,0.216548,0.0642412393455564,0.9992,NA
"33",1.5,0.20984,0.0558836692585224,0.9992,NA
"34",1.7,0.19904,0.0555236004243388,0.9992,NA
"35",2,0.194216,0.0532721290993284,0.9992,NA
