# index, _pos
0,"array([-1.47415576, -0.41609653])"
1,"array([-2.43893329,  0.86234408])"
2,"array([-2.69635592,  0.82662336])"
3,"array([-2.4120142 , -0.90243229])"
4,"array([-0.82671079,  0.94841537])"
5,"array([-0.64033359,  1.2279699 ])"
6,"array([-0.46103965,  0.87625013])"
7,"array([-0.44286497,  0.86248309])"
8,"array([-0.47636353,  0.84697391])"
9,"array([-0.51394334,  0.80726772])"
10,"array([-0.54091005,  0.78653983])"
11,"array([-0.50616331,  0.84870413])"
12,"array([-0.62225221,  1.25290839])"
13,"array([-0.62515378,  1.21771892])"
14,"array([-0.68733234,  1.23912697])"
15,"array([-0.60276396,  1.24048325])"
16,"array([-0.67496422,  1.27106322])"
17,"array([-0.69772971,  1.27278825])"
18,"array([-0.73577977,  1.11615716])"
19,"array([-0.74383364,  1.09164436])"
20,"array([-0.75267267,  1.02395625])"
21,"array([-0.66721109,  1.19584214])"
22,"array([-0.42093073,  0.67060597])"
23,"array([-0.21545233,  0.82873242])"
24,"array([-0.29142353,  0.80504661])"
25,"array([-0.60279962,  1.07153132])"
26,"array([-0.57608033,  0.82140589])"
27,"array([-0.73250629,  1.21115535])"
28,"array([-0.48515221,  0.76764657])"
29,"array([-0.71575518,  1.20589668])"
30,"array([-0.67330334,  0.82908208])"
31,"array([-0.62739637,  0.97912947])"
32,"array([-0.65906112,  0.94575458])"
33,"array([-0.81635608,  0.7226469 ])"
34,"array([-0.79844258,  0.73898561])"
35,"array([-0.83142904,  0.7609491 ])"
36,"array([-0.76415418,  0.86092761])"
37,"array([-0.76195365,  0.83764807])"
38,"array([-0.78779406,  0.84473496])"
39,"array([-0.7880513 ,  0.86914743])"
40,"array([-0.71294232,  0.72174613])"
41,"array([-0.56336493,  1.00034152])"
42,"array([-0.53279558,  0.89476036])"
43,"array([-0.50878943,  0.89514092])"
44,"array([-0.68442922,  0.91311592])"
45,"array([-0.70903819,  0.91429828])"
46,"array([-0.80311205,  0.90750019])"
47,"array([-0.69554032,  0.89417637])"
48,"array([-0.59762678,  0.8545123 ])"
49,"array([-0.42168798,  0.58730669])"
50,"array([-0.57027991,  0.77202865])"
51,"array([-0.65288573,  1.16567864])"
52,"array([-0.82969851,  1.05228786])"
53,"array([-0.27689742,  0.84327002])"
54,"array([-0.7828995 ,  1.19655262])"
55,"array([-0.80399764,  0.95328827])"
56,"array([-0.87004922,  1.03729521])"
57,"array([-0.44448603,  0.74022983])"
58,"array([-0.5837504 ,  1.03957295])"
59,"array([-0.61812182,  1.04313012])"
60,"array([-0.64935267,  1.02538418])"
61,"array([-0.48270783,  0.79526572])"
62,"array([-0.65035063,  0.99646077])"
63,"array([-1.07670176,  0.65069626])"
64,"array([-1.09857982,  0.65258329])"
65,"array([-1.11143389,  0.67043281])"
66,"array([-0.93014788,  0.65061007])"
67,"array([-0.75316979,  0.62827766])"
68,"array([-1.08162864,  0.68113048])"
69,"array([-0.94213437,  0.67035605])"
70,"array([-0.7292878 ,  0.62999765])"
71,"array([-0.46104723,  1.11897662])"
72,"array([-0.236534  ,  0.92793713])"
73,"array([-0.23803604,  0.89547518])"
74,"array([-0.46488627,  0.78768384])"
75,"array([-0.55182057,  0.8347731 ])"
76,"array([-0.50855976,  1.04104922])"
77,"array([-0.52597735,  0.97972457])"
78,"array([-0.83704853,  1.10280357])"
79,"array([-0.84734134,  1.03951053])"
80,"array([-0.8535124 ,  0.97216034])"
81,"array([-0.42108822,  0.72664177])"
82,"array([-0.45537265,  0.76087421])"
83,"array([-0.58563512,  1.1609715 ])"
84,"array([-0.27018415,  0.79105439])"
85,"array([-0.50502182,  0.63423478])"
86,"array([-0.49330832,  1.08672677])"
87,"array([-0.84692543,  0.94673244])"
88,"array([-0.81906583,  0.97243919])"
89,"array([-0.86276372,  0.92629448])"
90,"array([-0.83548145,  0.97998093])"
91,"array([-0.2105101 ,  0.87550826])"
92,"array([-0.59252409,  0.88123697])"
93,"array([-0.51082797,  0.872674  ])"
94,"array([-0.53207092,  0.8545965 ])"
95,"array([-0.45850129,  0.84522751])"
96,"array([-0.80453732,  1.10499686])"
97,"array([-0.75693245,  0.72996318])"
98,"array([-0.49754122,  0.79194488])"
99,"array([-0.4795671 ,  0.64801215])"
100,"array([-0.49086651,  0.71954282])"
101,"array([-0.61799182,  0.88484123])"
102,"array([-0.69929555,  0.78931715])"
103,"array([-0.69421876,  1.0838764 ])"
104,"array([-0.62179267,  0.94637136])"
105,"array([-0.99351691,  0.84036158])"
106,"array([-0.62780307,  0.83610197])"
107,"array([-0.79599962,  0.9334757 ])"
108,"array([-0.515161  ,  0.59081095])"
109,"array([-0.81367036,  1.15445631])"
110,"array([-0.51109364,  1.07163574])"
111,"array([-0.80519739,  1.06343117])"
112,"array([-0.2155533 ,  0.92499593])"
113,"array([-0.20222043,  0.89282127])"
114,"array([-0.56029436,  0.71326194])"
115,"array([-0.54877461,  0.73307475])"
116,"array([-0.44180041,  0.60993711])"
117,"array([-0.41793874,  0.61804213])"
118,"array([-0.44829183,  0.63477255])"
119,"array([-0.85345714,  1.06753222])"
120,"array([-0.64137278,  1.19841414])"
121,"array([-0.65229887,  0.78707203])"
122,"array([-0.64291813,  0.81188243])"
123,"array([-0.64122613,  0.84606456])"
124,"array([-0.65019908,  1.05942628])"
125,"array([-0.49795312,  0.82503015])"
126,"array([-0.34989067,  0.81620485])"
127,"array([-0.35615752,  0.7908938 ])"
128,"array([-0.31724067,  0.80885984])"
129,"array([-0.33400096,  0.79223751])"
130,"array([-0.73362338,  1.15160904])"
131,"array([-0.56390616,  0.81627175])"
132,"array([-0.31238064,  0.74204308])"
133,"array([-0.37696026,  0.70637985])"
134,"array([-0.60284991,  0.87534606])"
135,"array([-0.53217821,  0.8210464 ])"
136,"array([-0.63376619,  1.08196318])"
137,"array([-0.42057289,  1.09175078])"
138,"array([-0.63473772,  0.76080665])"
139,"array([-0.60985184,  0.79235545])"
140,"array([-0.67396684,  0.79756496])"
141,"array([-0.75782281,  0.77879938])"
142,"array([-0.79637397,  0.7723986 ])"
143,"array([-0.61825243,  0.70919615])"
144,"array([-0.78409073,  1.08511485])"
145,"array([-0.68509857,  1.12480207])"
146,"array([-0.66782947,  1.06535591])"
147,"array([-0.74279578,  1.22811522])"
148,"array([-0.82487149,  1.08543909])"
149,"array([-0.86439957,  1.01772108])"
150,"array([-0.58516875,  0.84044655])"
151,"array([-0.56251325,  0.6705646 ])"
152,"array([-0.881968 ,  1.0152385])"
153,"array([-0.69004967,  1.02862545])"
154,"array([-0.68584947,  1.00103925])"
155,"array([-0.67915926,  0.97143181])"
156,"array([-0.66841615,  0.99873444])"
157,"array([-0.72610441,  0.9589017 ])"
158,"array([-0.70497434,  1.05189298])"
159,"array([-0.70910988,  1.01046488])"
160,"array([-0.72702851,  1.24348239])"
161,"array([-0.72045179,  1.184655  ])"
162,"array([-0.46861624,  0.95487261])"
163,"array([-0.50004136,  0.92800437])"
164,"array([-0.47411636,  0.93347771])"
165,"array([-0.44345142,  0.96976005])"
166,"array([-0.71043565,  1.22821259])"
167,"array([-0.56196923,  1.02892424])"
168,"array([-0.47392272,  1.01126555])"
169,"array([-0.47896487,  1.02880364])"
170,"array([-0.51120323,  0.97084867])"
171,"array([-0.56432399,  0.89881026])"
172,"array([-0.82784309,  1.014975  ])"
173,"array([-0.66976501,  1.03612406])"
174,"array([-0.62958176,  0.92691018])"
175,"array([-0.8782785 ,  1.06694409])"
176,"array([-0.68415972,  1.21851557])"
177,"array([-0.72934634,  0.90062089])"
178,"array([-0.77561769,  0.93382241])"
179,"array([-0.675936  ,  0.87251906])"
180,"array([-0.74545392,  0.88642064])"
181,"array([-0.55773621,  0.87181583])"
182,"array([-0.9155537 ,  0.90399331])"
183,"array([-0.93020939,  0.93448649])"
184,"array([-0.90858899,  0.92590627])"
185,"array([-0.4880135 ,  1.06144903])"
186,"array([-0.65776824,  0.82044319])"
187,"array([-0.47441661,  1.08224564])"
188,"array([-0.51043123,  0.77019645])"
189,"array([-0.648249,  0.96476 ])"
190,"array([-0.71220388,  1.10848069])"
191,"array([-0.54347141,  0.91344482])"
192,"array([-0.77346469,  1.04953581])"
193,"array([-0.74867416,  1.00403225])"
194,"array([-0.65641091,  1.11656402])"
195,"array([-0.80818226,  1.00849684])"
196,"array([-0.70016865,  1.15925756])"
197,"array([-0.78268286,  0.9954184 ])"
198,"array([-0.85268311,  0.99603943])"
199,"array([-0.76101883,  0.95113574])"
200,"array([-0.88544967,  0.96283352])"
201,"array([-0.80082865,  0.98041179])"
202,"array([-0.66746337,  0.71468469])"
203,"array([-0.59418561,  0.80563783])"
204,"array([-0.80366828,  1.03886671])"
205,"array([-0.53948942,  0.75948397])"
206,"array([-0.57399188,  0.79081514])"
207,"array([-0.47030527,  0.71209206])"
208,"array([-0.48379672,  0.81807219])"
209,"array([-0.45002514,  0.80681771])"
210,"array([-0.59181707,  0.92983893])"
211,"array([-0.5747252 ,  0.95906618])"
212,"array([-0.59493319,  0.95754537])"
213,"array([-0.56676798,  0.94038492])"
214,"array([-0.20873389,  0.97306263])"
215,"array([-0.22465789,  0.951752  ])"
216,"array([-0.49748486,  1.16739904])"
217,"array([-0.56279104,  1.11328035])"
218,"array([-0.57087052,  1.08485996])"
219,"array([-0.41171011,  1.15501661])"
220,"array([-0.54540063,  1.22215389])"
221,"array([-0.55376323,  1.19226395])"
222,"array([-0.61277591,  0.91196658])"
223,"array([-0.41400113,  1.06518524])"
224,"array([-0.42655799,  1.12807405])"
225,"array([-0.52073679,  1.1904735 ])"
226,"array([-0.43903258,  1.08271037])"
227,"array([-0.43916041,  1.0406073 ])"
228,"array([-0.48568619,  1.12993394])"
229,"array([-0.44594066,  1.05774784])"
230,"array([-0.45263211,  1.09867091])"
231,"array([-0.26095924,  0.87402582])"
232,"array([-0.60478178,  1.03040454])"
233,"array([-0.65477928,  0.67382286])"
234,"array([-0.63654916,  0.68956855])"
235,"array([-0.33020794,  0.82593814])"
236,"array([-0.57030998,  0.84883665])"
237,"array([-0.60032722,  0.83412368])"
238,"array([-2.27448223, -1.74995616])"
239,"array([-2.30260568, -2.00364423])"
240,"array([-2.2532622 , -1.95189758])"
241,"array([-2.22800947, -1.860216  ])"
242,"array([-2.17302875, -1.88028197])"
243,"array([-2.31352291, -2.0959372 ])"
244,"array([-2.24375361, -2.1605122 ])"
245,"array([-2.14115932, -2.11476754])"
246,"array([-2.18392927, -2.07877897])"
247,"array([-2.14796793, -2.08745909])"
248,"array([-2.07577561, -1.97545856])"
249,"array([-2.1371827 , -1.95009276])"
250,"array([-2.09874104, -1.9595926 ])"
251,"array([-2.41774248, -1.80095179])"
252,"array([-2.35818402, -1.80376899])"
253,"array([-2.34906055, -1.87996474])"
254,"array([-2.1116648 , -1.97434416])"
255,"array([-2.11324714, -1.99273005])"
256,"array([-2.23382814, -2.05910761])"
257,"array([-2.18810468, -2.02592111])"
258,"array([-2.17985025, -1.99031971])"
259,"array([-2.21180678, -2.04767497])"
260,"array([-2.3701692, -1.8774539])"
261,"array([-2.34112065, -1.86620048])"
262,"array([-2.3006015 , -1.90605766])"
263,"array([-2.59232043, -1.90876695])"
264,"array([-2.35012559, -1.7891784 ])"
265,"array([-2.32956788, -2.46227326])"
266,"array([-2.40517539, -1.85480118])"
267,"array([-2.37616046, -1.85457786])"
268,"array([-2.25708151, -2.25340874])"
269,"array([-2.23410757, -2.23182986])"
270,"array([-2.19336067, -2.25915094])"
271,"array([-2.17336129, -2.2523648 ])"
272,"array([-2.17232909, -2.27449292])"
273,"array([-2.15671063, -2.22587045])"
274,"array([-2.1815802 , -2.22839132])"
275,"array([-2.15324716, -2.24875395])"
276,"array([-2.27210804, -1.82266434])"
277,"array([-2.29363245, -2.05212452])"
278,"array([-2.21452674, -2.11934543])"
279,"array([-2.12841997, -1.90045706])"
280,"array([-2.14515258, -1.93668933])"
281,"array([-2.33725829, -1.79912936])"
282,"array([-2.10855141, -1.8977237 ])"
283,"array([-2.08636926, -1.91470252])"
284,"array([-2.11603945, -1.91626447])"
285,"array([-2.05453896, -1.93169736])"
286,"array([-2.26568947, -1.80002639])"
287,"array([-2.32355783, -1.86116308])"
288,"array([-2.25202552, -1.70411227])"
289,"array([-2.39202739, -1.79472628])"
290,"array([-2.22879755, -1.71446564])"
291,"array([-2.22351793, -2.21375189])"
292,"array([-2.2047125 , -2.20177912])"
293,"array([-2.23672914, -2.10433952])"
294,"array([-2.30264397, -2.51240041])"
295,"array([-2.12319003, -1.88543246])"
296,"array([-2.13718424, -1.87701039])"
297,"array([-2.29578595, -2.44908179])"
298,"array([-2.2155388 , -2.09065004])"
299,"array([-2.1759492 , -2.04761124])"
300,"array([-2.29873146, -2.48490747])"
301,"array([-2.09996784, -1.84931568])"
302,"array([-2.10981507, -1.87826846])"
303,"array([-2.20456057, -1.94381021])"
304,"array([-2.15998189, -1.9468204 ])"
305,"array([-2.12880349, -1.93643123])"
306,"array([-2.12647044, -1.95991018])"
307,"array([-2.22280241, -1.92816795])"
308,"array([-2.31445581, -2.43688291])"
309,"array([-2.39371584, -2.13033443])"
310,"array([-2.21377147, -1.99872098])"
311,"array([-2.23234461, -1.9646882 ])"
312,"array([-2.1546082, -1.9240129])"
313,"array([-2.13106615, -1.9136034 ])"
314,"array([-2.28423335, -2.01661194])"
315,"array([-2.24118445, -1.99870354])"
316,"array([-2.17904285, -1.9574781 ])"
317,"array([-2.08821753, -1.6196823 ])"
318,"array([-2.18433811, -1.70461485])"
319,"array([-2.45449836, -1.82750428])"
320,"array([-2.50578216, -1.86452684])"
321,"array([-2.55141233, -1.90589207])"
322,"array([-2.40827767, -1.81741293])"
323,"array([-2.34175163, -2.43977685])"
324,"array([-2.22008802, -2.26783334])"
325,"array([-2.20665479, -2.23765914])"
326,"array([-2.32438977, -2.01004048])"
327,"array([-2.29688809, -1.95593015])"
328,"array([-2.32321107, -1.96780095])"
329,"array([-2.11341432, -2.02428908])"
330,"array([-2.11987783, -2.06770658])"
331,"array([-2.26793467, -2.43637438])"
332,"array([-2.35101843, -2.06199453])"
333,"array([-2.33367399, -2.03092001])"
334,"array([-2.33844942, -1.82398397])"
335,"array([-2.2370926 , -2.13024846])"
336,"array([-2.22311002, -1.78074151])"
337,"array([-2.25042067, -1.88474043])"
338,"array([-2.22140707, -1.75804078])"
339,"array([-2.20785933, -1.74210205])"
340,"array([-2.28643435, -2.41069266])"
341,"array([-2.27084767, -2.3545752 ])"
342,"array([-2.29348862, -2.08183497])"
343,"array([-2.25841839, -2.09090785])"
344,"array([-2.26400957, -1.92773521])"
345,"array([-2.27414878, -1.94006801])"
346,"array([-2.25380739, -2.29549307])"
347,"array([-2.29850421, -1.79658117])"
348,"array([-2.31719384, -1.78851237])"
349,"array([-2.44066807, -1.8787679 ])"
350,"array([-2.41067412, -1.87566597])"
351,"array([-2.28109236, -1.845871  ])"
352,"array([-2.30860578, -1.81819582])"
353,"array([-2.36538257, -2.0860077 ])"
354,"array([-2.335881  , -2.05304813])"
355,"array([-2.32068057, -2.07026231])"
356,"array([-2.27912577, -2.03669479])"
357,"array([-2.1077009 , -2.10000857])"
358,"array([-2.39433204, -2.15796316])"
359,"array([-2.25860408, -2.19922739])"
360,"array([-2.15905411, -1.982289  ])"
361,"array([-2.23296236, -2.18042838])"
362,"array([-2.19986808, -2.16114202])"
363,"array([-2.18560003, -1.85289924])"
364,"array([-2.19859213, -1.87707809])"
365,"array([-2.15734576, -1.85949302])"
366,"array([-2.1522275 , -1.89670486])"
367,"array([-2.44332579, -1.78288767])"
368,"array([-2.21173684, -2.02079481])"
369,"array([-2.39674183, -1.88745559])"
370,"array([-2.44893578, -1.80260799])"
371,"array([-2.17693697, -2.1018721 ])"
372,"array([-2.16727474, -2.30463821])"
373,"array([-2.26469491, -2.14534153])"
374,"array([-2.39565133, -2.08160073])"
375,"array([-2.17746805, -2.14275706])"
376,"array([-2.37545963, -1.77490954])"
377,"array([-2.10205668, -2.12777333])"
378,"array([-2.18898814, -2.11611322])"
379,"array([-2.32378968, -1.94551774])"
380,"array([-2.25573024, -2.46044837])"
381,"array([-2.16652931, -2.01193946])"
382,"array([-2.38128092, -1.90449422])"
383,"array([-1.37817128, -0.48932346])"
384,"array([-1.38270378, -0.43847371])"
385,"array([-1.40392822, -0.38761923])"
386,"array([-1.42561188, -0.40249814])"
387,"array([-1.43593108, -0.3834534 ])"
388,"array([-1.33580736, -0.75058752])"
389,"array([-1.60139158, -0.47656211])"
390,"array([-1.35859234, -0.81883865])"
391,"array([-1.33657868, -0.83393441])"
392,"array([-1.37049436, -0.85705802])"
393,"array([-1.43576805, -0.310435  ])"
394,"array([-1.30896803, -0.82834813])"
395,"array([-1.50965358, -0.39419358])"
396,"array([-1.54974071, -0.33883165])"
397,"array([-1.56418457, -0.35445381])"
398,"array([-1.53350575, -0.35610362])"
399,"array([-1.5833734 , -0.34053385])"
400,"array([-1.57100736, -0.32338843])"
401,"array([-1.39158476, -0.97642217])"
402,"array([-1.3906387 , -0.99908473])"
403,"array([-1.41427668, -0.99343515])"
404,"array([-1.35791284, -0.90089906])"
405,"array([-1.33686961, -0.88823484])"
406,"array([-1.36477964, -0.87680462])"
407,"array([-1.54201541, -0.49397236])"
408,"array([-1.53235328, -0.47142356])"
409,"array([-1.3175935 , -0.87800189])"
410,"array([-1.40919903, -1.0918599 ])"
411,"array([-1.41047811, -1.11770424])"
412,"array([-1.18378216, -1.05590382])"
413,"array([-1.35230666, -0.60939896])"
414,"array([-1.36196646, -0.65564159])"
415,"array([-1.3776181 , -0.61339418])"
416,"array([-1.30116494, -0.70679249])"
417,"array([-1.27387205, -0.70619451])"
418,"array([-1.45854898, -0.47089332])"
419,"array([-1.5043402 , -0.43568262])"
420,"array([-1.45831531, -0.44718582])"
421,"array([-1.476723  , -0.44994673])"
422,"array([-1.2726574 , -1.14708001])"
423,"array([-1.32691017, -0.78753057])"
424,"array([-1.33985992, -0.68844128])"
425,"array([-1.35341888, -0.70095857])"
426,"array([-1.32733607, -0.55165841])"
427,"array([-1.17439606, -0.68894477])"
428,"array([-1.33273993, -0.57937351])"
429,"array([-1.37304849, -0.45904941])"
430,"array([-1.31287034, -0.74200372])"
431,"array([-1.31666214, -0.92092071])"
432,"array([-1.34753452, -0.93043756])"
433,"array([-1.29189953, -0.91967207])"
434,"array([-1.46411405, -1.03366932])"
435,"array([-1.46928341, -1.05685582])"
436,"array([-1.37768337, -0.92822261])"
437,"array([-1.56735407, -0.47343204])"
438,"array([-1.28330356, -1.02259466])"
439,"array([-1.32029015, -1.06197324])"
440,"array([-1.26380754, -0.76410717])"
441,"array([-1.28947089, -0.76884081])"
442,"array([-1.2871538 , -0.80214281])"
443,"array([-1.32778327, -0.66454539])"
444,"array([-1.32687563, -0.71191041])"
445,"array([-1.40581103, -0.44877473])"
446,"array([-1.39333038, -0.42192677])"
447,"array([-1.37538418, -0.4278822 ])"
448,"array([-1.51088901, -0.57526737])"
449,"array([-1.50630743, -0.5485402 ])"
450,"array([-1.30100754, -0.66947995])"
451,"array([-1.49631515, -0.45778354])"
452,"array([-1.33088213, -0.60019482])"
453,"array([-1.48328441, -0.49225057])"
454,"array([-1.35665243, -0.49963378])"
455,"array([-1.36311797, -0.52505911])"
456,"array([-1.51204558, -0.47680345])"
457,"array([-1.32000582, -0.85670875])"
458,"array([-1.51001627, -1.01315855])"
459,"array([-1.35449704, -0.56903408])"
460,"array([-1.33803461, -0.86607735])"
