"","alpha","g_ratio","g_ratio_sd","type"
"1",0,0.0233095338093238,0,"Betw Targeted"
"2",0.05,0.0447291054178916,0,"Betw Targeted"
"3",0.1,0.0758084838303234,0,"Betw Targeted"
"4",0.15,0.842713145737085,0,"Betw Targeted"
"5",0.2,0.930281394372113,0,"Betw Targeted"
"6",0.25,0.929021419571609,0,"Betw Targeted"
"7",0.3,0.98215035699286,0,"Betw Targeted"
"8",0.4,0.984670306593868,0,"Betw Targeted"
"9",0.5,0.991390172196556,0,"Betw Targeted"
"10",0.6,0.99160016799664,0,"Betw Targeted"
"11",0.7,0.995590088198236,0,"Betw Targeted"
"12",0.8,0.996010079798404,0,"Betw Targeted"
"13",0.9,0.996010079798404,0,"Betw Targeted"
"14",1,0.996010079798404,0,"Betw Targeted"
"15",0,0.808315833683326,0.428149261210481,"Random"
"16",0.05,0.812137757244855,0.419251042815895,"Random"
"17",0.1,0.916295674086518,0.120629984914402,"Random"
"18",0.15,0.999706005879882,0.000187825953590928,"Random"
"19",0.2,0.999496010079798,0.000460077746749424,"Random"
"20",0.25,0.999664006719866,0.000318474399162178,"Random"
"21",0.3,0.999622007559849,0.000230038873374723,"Random"
"22",0.4,0.999538009239815,0.000582714696577549,"Random"
"23",0.5,0.999034019319614,0.000673952395459108,"Random"
"24",0.6,0.999790004199916,0.000148489454260103,"Random"
"25",0.7,0.99907601847963,0.00104577065081804,"Random"
"26",0.8,0.998992020159597,0.00105417055002194,"Random"
"27",0.9,0.999790004199916,0.000148489454260103,"Random"
"28",1,0.999664006719866,0.000187825953590934,"Random"
"29",0,0.0467870642587148,0.0203909057737059,"Deg targeted"
"30",0.05,0.107853842923142,0.0823838976561648,"Deg targeted"
"31",0.1,0.471734565308694,0.348884863393922,"Deg targeted"
"32",0.15,0.880512389752205,0.0701117138710563,"Deg targeted"
"33",0.2,0.962116757664847,0.026865759973411,"Deg targeted"
"34",0.25,0.965812683746325,0.0242826344104338,"Deg targeted"
"35",0.3,0.986686266274674,0.0059518159431647,"Deg targeted"
"36",0.4,0.992902141957161,0.00347097077049887,"Deg targeted"
"37",0.5,0.995632087358253,0.0016360815775542,"Deg targeted"
"38",0.6,0.994498110037799,0.0037985448314473,"Deg targeted"
"39",0.7,0.995632087358253,0.00193834200070799,"Deg targeted"
"40",0.8,0.996640067198656,0.00187238077489785,"Deg targeted"
"41",0.9,0.997186056278874,0.000860726649807645,"Deg targeted"
"42",1,0.997102057958841,0.000619398622585149,"Deg targeted"
