"nodes","max.update","n.seeds","threshold","z","time","n.run","cascade.fraction"
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,3,2,2e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,3,2,2e-04
10000,100,1,0.12,20,2,1,1e-04
"nodes","max.update","n.seeds","threshold","z","time","n.run","cascade.fraction"
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,1,1e-04
"nodes","max.update","n.seeds","threshold","z","time","n.run","cascade.fraction"
10000,100,1,0.12,20,2,1,1e-04
10000,100,1,0.12,20,2,2,1e-04
10000,100,1,0.12,20,2,3,1e-04
10000,100,1,0.12,20,2,4,1e-04
10000,100,1,0.12,20,2,5,1e-04
10000,100,1,0.12,20,2,6,1e-04
10000,100,1,0.12,20,2,7,1e-04
10000,100,1,0.12,20,2,8,1e-04
10000,100,1,0.12,20,2,9,1e-04
10000,100,1,0.12,20,2,10,1e-04
10000,100,1,0.12,20,2,11,1e-04
10000,100,1,0.12,20,2,12,1e-04
10000,100,1,0.12,20,2,13,1e-04
10000,100,1,0.12,20,2,14,1e-04
10000,100,1,0.12,20,2,15,1e-04
10000,100,1,0.12,20,2,16,1e-04
10000,100,1,0.12,20,2,17,1e-04
