gamma,s,count
2.3,1,38694
2.3,2,6260
2.3,3,2378
2.3,4,995
2.3,5,448
2.3,6,257
2.3,7,145
2.3,8,102
2.3,9,62
2.3,10,43
2.3,11,30
2.3,12,28
2.3,13,20
2.3,14,15
2.3,15,9
2.3,16,7
2.3,17,4
2.3,18,3
2.3,19,2
2.3,20,2
2.3,21,1
2.3,22,2
2.3,23,2
2.3,26,1
2.3,30,2
2.3,33,1
2.3,43,1
2.4,1,34424
2.4,2,5521
2.4,3,2105
2.4,4,856
2.4,5,439
2.4,6,247
2.4,7,149
2.4,8,92
2.4,9,56
2.4,10,43
2.4,11,30
2.4,12,24
2.4,13,11
2.4,14,10
2.4,15,7
2.4,16,2
2.4,17,2
2.4,18,1
2.4,19,3
2.4,20,3
2.4,21,2
2.4,22,1
2.4,23,3
2.4,25,2
2.4,26,2
2.4,27,1
2.4,28,1
2.4,30,1
2.4,49,1
2.5,1,31067
2.5,2,5215
2.5,3,1871
2.5,4,768
2.5,5,406
2.5,6,220
2.5,7,123
2.5,8,98
2.5,9,42
2.5,10,24
2.5,11,27
2.5,12,26
2.5,13,16
2.5,14,13
2.5,15,10
2.5,16,9
2.5,17,5
2.5,18,3
2.5,19,2
2.5,21,4
2.5,22,4
2.5,23,1
2.5,24,1
2.5,25,1
2.5,27,2
2.6,1,28742
2.6,2,4811
2.6,3,1781
2.6,4,712
2.6,5,391
2.6,6,194
2.6,7,117
2.6,8,86
2.6,9,41
2.6,10,34
2.6,11,20
2.6,12,16
2.6,13,6
2.6,14,8
2.6,15,6
2.6,16,8
2.6,17,4
2.6,18,1
2.6,19,3
2.6,20,3
2.6,21,3
2.6,22,1
2.6,23,2
2.6,25,1
2.6,29,1
2.6,33,1
2.7,1,26933
2.7,2,4434
2.7,3,1540
2.7,4,708
2.7,5,354
2.7,6,193
2.7,7,121
2.7,8,87
2.7,9,41
2.7,10,39
2.7,11,24
2.7,12,15
2.7,13,15
2.7,14,11
2.7,15,5
2.7,16,7
2.7,17,5
2.7,18,5
2.7,19,2
2.7,20,3
2.7,23,3
2.7,28,1
2.7,29,1
2.8,1,25300
2.8,2,4281
2.8,3,1530
2.8,4,642
2.8,5,305
2.8,6,185
2.8,7,104
2.8,8,86
2.8,9,64
2.8,10,34
2.8,11,22
2.8,12,17
2.8,13,10
2.8,14,5
2.8,15,12
2.8,16,5
2.8,17,1
2.8,18,1
2.8,20,4
2.8,21,3
2.8,25,2
2.8,26,1
2.8,27,1
2.8,28,1
2.9,1,24039
2.9,2,4044
2.9,3,1460
2.9,4,650
2.9,5,331
2.9,6,196
2.9,7,100
2.9,8,63
2.9,9,41
2.9,10,29
2.9,11,16
2.9,12,18
2.9,13,9
2.9,14,5
2.9,15,9
2.9,16,6
2.9,17,3
2.9,18,5
2.9,19,1
2.9,20,3
2.9,21,3
2.9,22,2
2.9,23,1
2.9,24,3
2.9,31,1
